bdgt_id,bdgtyr,opertype,oper01_DT,fuel01_DT,powr01_DT,capc01_DT,oper02_DT,fuel02_DT,powr02_DT,capc02_DT,oper03_DT,fuel03_DT,powr03_DT,capc03_DT,oper04_DT,fuel04_DT,powr04_DT,capc04_DT,oper05_DT,fuel05_DT,powr05_DT,capc05_DT,oper01_AC,fuel01_AC,powr01_AC,capc01_AC,oper02_AC,fuel02_AC,powr02_AC,capc02_AC,n_AC,p2o5_AC,k2o_AC,lime_AC,herb_AC
FULL.01.HWL.IW,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.01.HWL.NC,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.01.HWL.NE,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.01.HWL.PN,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.01.HWU.IW,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.01.HWU.NC,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.01.HWU.NE,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.01.HWU.PN,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (thin),0.0614,3.4,2.376,Loader (medium),0.4134,174,12.343,,,,,,,,,,,,,,,,,
FULL.02.HWU.IW,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (CC),0.0573,3.4,2.376,Loader (large),0.2315,174,6.643,,,,,,,,,,,,,,,,,
FULL.02.HWU.NC,1,HARV,Cable Skidder (large),0.6322,155,4.628,Chainsaw Delimbing,0.0124,3.4,5.188,Hand Felling (CC),0.0573,3.4,2.376,Loader (large),0.2315,174,6.643,,,,,,,,,,,,,,,,,
