bdgt_id,crop,till,bdgtyr,operunit,opertype,polyfrr,oper01ac,fuel01_galac,powr01_hpac,time01_hrac,oper02ac,fuel02_galac,powr02_hpac,time02_hrac,oper03ac,fuel03_galac,powr03_hpac,time03_hrac,n_lbac,p2o5_lbac,k2o_lbac,lime_lbac,n_lbdt,p2o5_lbdt,k2o_lbdt,lime_lbdt,herb_lbac,insc_lbac,othr_lbac
BA.CT.01,Barley,CT,1,7,HRVR,1,Tractor 2wd 160 hp,0.7425,160,0.103125,,,,,,,,,,,,,,,,,,,
BA.CT.01,Barley,CT,1,8,HRVR,1,Tractor 2wd 135 hp,0.737040441,135,0.121323529,,,,,,,,,,,,,,,,,,,
BA.CT.01,Barley,CT,1,6,HRVC,1,Combine (2wd),3.830357143,390,0.218253968,Single-axle Truck (2 ton),3.382936508,250,0,,,,,,,,,,,,,,,
BA.CT.01,Barley,CT,1,4,ESTC,1,Tractor 2wd 175 hp,2.209821429,175,0.280612245,,,,,,,,,0,45,80,0,,,,,,,
BA.CT.01,Barley,CT,1,4,MNTR,1,,,,,,,,,,,,,,,,,0,2.8,24.7,0,,,
BA.CT.01,Barley,CT,1,5,MNTR,1,,,,,,,,,,,,,,,,,10.98,0,0,0,,,
BA.CT.01,Barley,CT,1,1,ESTC,1,Tractor 2wd 100 hp,0.392857143,100,0.087301587,,,,,,,,,0,0,0,1000,,,,,,,
BA.CT.01,Barley,CT,1,5,MNTC,1,Tractor 2wd 135 hp,0.530357143,135,0.087301587,,,,,,,,,30.15,0,0,0,,,,,,,
BA.CT.01,Barley,CT,1,3,ESTC,1,Tractor 2wd 175 hp,1.268920898,175,0.161132813,,,,,,,,,,,,,,,,,,,
BA.CT.01,Barley,CT,1,2,ESTC,1,Tractor 2wd 175 hp,0.587952489,175,0.074660634,,,,,,,,,,,,,,,,,,,
BA.CT.02,Barley,CT,1,7,HRVR,2,Tractor 2wd 160 hp,0.7425,160,0.103125,,,,,,,,,,,,,,,,,,,
BA.CT.02,Barley,CT,1,5,MNTC,2,Tractor 2wd 135 hp,0.237248521,135,0.039053254,,,,,,,,,,,,,,,,,0.35625,,
BA.CT.02,Barley,CT,1,8,HRVR,2,Tractor 2wd 135 hp,0.737040441,135,0.121323529,,,,,,,,,,,,,,,,,,,
BA.CT.02,Barley,CT,1,4,ESTC,2,Tractor 2wd 160 hp,1.885714286,160,0.261904762,,,,,,,,,0,20,30,0,,,,,,,
BA.CT.02,Barley,CT,1,2,MNTR,2,,,,,,,,,,,,,,,,,10.98,0,0,0,,,
BA.CT.02,Barley,CT,1,2,ESTC,2,Tractor 2wd 135 hp,0.530357143,135,0.087301587,,,,,,,,,90,0,0,0,,,,,,,
BA.CT.02,Barley,CT,1,3,ESTC,2,Tractor 2wd 160 hp,1.885714286,160,0.261904762,,,,,,,,,,,,,,,,,0.75,,
BA.CT.02,Barley,CT,1,6,HRVC,2,Combine (2wd),3.830357143,390,0.218253968,Single-axle Truck (2 ton),3.382936508,250,0,,,,,,,,,,,,,,,
BA.CT.02,Barley,CT,1,4,MNTR,2,,,,,,,,,,,,,,,,,0,2.8,24.7,0,,,
BA.CT.02,Barley,CT,1,1,ESTC,2,Tractor 2wd 160 hp,0.537556561,160,0.074660634,,,,,,,,,,,,,,,,,,,
BA.CT.03,Barley,CT,1,2,ESTC,3,Tractor 2wd 135 hp,0.795535714,135,0.130952381,,,,,,,,,20,40,40,660,,,,,,,
BA.CT.03,Barley,CT,1,6,HRVR,3,Tractor 2wd 160 hp,0.7425,160,0.103125,,,,,,,,,,,,,,,,,,,
BA.CT.03,Barley,CT,1,3,MNTR,3,,,,,,,,,,,,,,,,,9.6,0,0,0,,,
BA.CT.03,Barley,CT,1,1,ESTC,3,Tractor 2wd 135 hp,0.652587891,135,0.107421875,,,,,,,,,,,,,,,,,,,
