fips,ozone_8hr_2008,co_1971,no2_1971,pm10_1987,pm25_1997_2006_2012,so2_1971_2010
8007,,,,,,
8013,Whole County NAA,,,,,
8014,Whole County NAA,,,,,
8019,,,,,,
8031,Whole County NAA,,,,,
8035,Whole County NAA,,,,,
8041,,,,,,
8043,,,,,,
8047,,,,,,
8059,Whole County NAA,,,,,
8069,Partial County NAA,,,,,
8093,,,,,,
8097,,,,,,
8099,,,,,,
8107,,,,,,
8113,,,,,,
8119,,,,,,
8123,Partial County NAA,,,,,
9001,Whole County NAA,,,,Whole County Maintenance,
9003,Whole County NAA,,,,,
9005,Whole County NAA,,,,,
9007,Whole County NAA,,,,,
9009,Whole County NAA,,,,Whole County Maintenance,
9011,Whole County NAA,,,,,
9013,Whole County NAA,,,,,
9015,Whole County NAA,,,,,
10001,,,,,,
10003,Whole County NAA,,,,Whole County Maintenance,
10005,Whole County NAA,,,,,
11001,Whole County NAA,,,,Whole County Maintenance,
12011,,,,,,
12057,,,,,,Partial County NAA
12089,,,,,,Partial County NAA
12103,,,,,,
13013,,,,,Whole County NAA,
13015,Whole County NAA,,,,Whole County NAA,
13021,,,,,Whole County Maintenance,
13045,,,,,Whole County NAA,
13047,,,,,Whole County Maintenance,
13057,Whole County NAA,,,,Whole County NAA,
13063,Whole County NAA,,,,Whole County NAA,
13067,Whole County NAA,,,,Whole County NAA,
13077,Whole County NAA,,,,Whole County NAA,
13089,Whole County NAA,,,,Whole County NAA,
13097,Whole County NAA,,,,Whole County NAA,
13113,Whole County NAA,,,,Whole County NAA,
13115,,,,,Whole County Maintenance,
13117,Whole County NAA,,,,Whole County NAA,
13121,Whole County NAA,,,,Whole County NAA,
13135,Whole County NAA,,,,Whole County NAA,
13139,,,,,Whole County NAA,
13149,,,,,Partial County NAA,
13151,Whole County NAA,,,,Whole County NAA,
13207,,,,,Partial County Maintenance,
13213,,,,,,
13217,Whole County NAA,,,,Whole County NAA,
13223,Whole County NAA,,,,Whole County NAA,
13237,,,,,Partial County NAA,
13247,Whole County NAA,,,,Whole County NAA,
13255,,,,,Whole County NAA,
13295,,,,,Whole County Maintenance,
13297,,,,,Whole County NAA,
15003,,,,,,
15009,,,,,,
16001,,,,,,
16005,,,,Partial County NAA,,
16017,,,,Partial County Maintenance,,
16041,,,,,Partial County NAA,
16077,,,,Partial County NAA,,
16079,,,,Partial County NAA,Partial County NAA,
17031,Whole County NAA,,,,Whole County Maintenance,Partial County NAA
17043,Whole County NAA,,,,Whole County Maintenance,
17063,Partial County NAA,,,,Partial County Maintenance,
17083,,,,,,
17089,Whole County NAA,,,,Whole County Maintenance,
17093,Partial County NAA,,,,Partial County Maintenance,
17097,Whole County NAA,,,,Whole County Maintenance,
17099,,,,,,
17111,Whole County NAA,,,,Whole County Maintenance,
17119,Whole County NAA,,,,Whole County NAA,
17127,,,,,,
17133,Whole County NAA,,,,Whole County NAA,
17143,,,,,,Partial County NAA
17157,,,,,Partial County NAA,
17161,,,,,,
17163,Whole County NAA,,,,Whole County NAA,
17179,,,,,,Partial County NAA
17197,Whole County NAA,,,,Whole County Maintenance,Partial County NAA
18003,,,,,,
18011,,,,,,
18019,,,,,Whole County NAA,
18027,,,,,,Partial County NAA
18029,Partial County NAA,,,,Partial County Maintenance,
18035,,,,,,
18037,,,,,Whole County Maintenance,
18039,,,,,,
18043,,,,,Whole County NAA,
18051,,,,,Partial County Maintenance,
18055,,,,,,
18057,,,,,Whole County Maintenance,
18059,,,,,,
18063,,,,,Whole County Maintenance,
18071,,,,,,
18077,,,,,Partial County NAA,
18081,,,,,Whole County Maintenance,
18089,Whole County NAA,,,,Whole County Maintenance,
18091,,,,,,
18095,,,,,,
18097,,,,,Whole County Maintenance,Partial County NAA
18109,,,,,Whole County Maintenance,Partial County NAA
18125,,,,,Partial County Maintenance,Partial County NAA
18127,Whole County NAA,,,,Whole County Maintenance,
18141,,,,,,
18145,,,,,,
18147,,,,,Partial County Maintenance,
18163,,,,,Whole County Maintenance,
18165,,,,,,
18167,,,,,,Partial County NAA
18173,,,,,Whole County Maintenance,
18177,,,,,,
19061,,,,,,
19139,,,,,,Partial County NAA
19153,,,,,,
20173,,,,,,
20209,,,,,,
21015,Partial County NAA,,,,Whole County Maintenance,
21019,,,,,Whole County Maintenance,Partial County Maintenance
21029,,,,,Whole County NAA,
21037,Partial County NAA,,,,Whole County Maintenance,Partial County NAA
21047,,,,,,
21059,,,,,,
21089,,,,,,
21101,,,,,,
21111,,,,,Whole County NAA,Partial County NAA
21117,Partial County NAA,,,,Whole County Maintenance,
21127,,,,,Partial County Maintenance,
21145,,,,,,
21177,,,,,,
21185,,,,,,
21233,,,,,,
22005,Whole County NAA,,,,,
22033,Whole County NAA,,,,,
22047,Whole County NAA,,,,,
22063,Whole County NAA,,,,,
22087,,,,,,Whole County NAA
22121,Whole County NAA,,,,,
23001,,,,,,
23003,,,,,,
23005,,,,,,
23009,,,,,,
23013,,,,,,
23015,,,,,,
23019,,,,,,
23023,,,,,,
23027,,,,,,
23031,,,,,,
24001,,,,,,
24003,Whole County NAA,,,,Whole County Maintenance,
24005,Whole County NAA,,,,Whole County Maintenance,
24009,Whole County NAA,,,,,
24013,Whole County NAA,,,,Whole County Maintenance,
24015,Whole County NAA,,,,,
24017,Whole County NAA,,,,Whole County Maintenance,
24021,Whole County NAA,,,,Whole County Maintenance,
24025,Whole County NAA,,,,Whole County Maintenance,
24027,Whole County NAA,,,,Whole County Maintenance,
24029,,,,,,
24031,Whole County NAA,,,,Whole County Maintenance,
24033,Whole County NAA,,,,Whole County Maintenance,
24035,,,,,,
24043,,,,,Whole County Maintenance,
24510,Whole County NAA,,,,Whole County Maintenance,
25001,,,,,,
25003,,,,,,
25005,,,,,,
25007,Whole County NAA,,,,,
25009,,,,,,
25011,,,,,,
25013,,,,,,
25015,,,,,,
25017,,,,,,
25019,,,,,,
25021,,,,,,
25023,,,,,,
25025,,,,,,
25027,,,,,,
26005,,,,,,
26019,,,,,,
26021,,,,,,
26025,,,,,,
26027,,,,,,
26037,,,,,,
26045,,,,,,
26049,,,,,,
26063,,,,,,
26065,,,,,,
26077,,,,,,
26081,,,,,,
26087,,,,,,
26091,,,,,,
26093,,,,,Whole County Maintenance,
26099,,,,,Whole County Maintenance,
26105,,,,,,
26111,,,,,,
26115,,,,,Whole County Maintenance,
26121,,,,,,
26125,,,,,Whole County Maintenance,
26139,,,,,,
26145,,,,,,
26147,,,,,Whole County Maintenance,
26159,,,,,,
26161,,,,,Whole County Maintenance,
26163,,,,,Whole County Maintenance,Partial County NAA
27003,,,,,,
27009,,,,,,
27019,,,,,,
27037,,,,,,
27053,,,,,,
27109,,,,,,
27123,,,,,,
27137,,,,,,
27139,,,,,,
27141,,,,,,
27145,,,,,,
27163,,,,,,
27171,,,,,,
28033,Partial County NAA,,,,,
29071,Whole County NAA,,,,Whole County NAA,
29093,,,,,,
29095,,,,,,Partial County NAA
29099,Whole County NAA,,,,Whole County NAA,Partial County NAA
29183,Whole County NAA,,,,Whole County NAA,
29189,Whole County NAA,,,,Whole County NAA,
29510,Whole County NAA,,,,Whole County NAA,
30013,,,,,,
30023,,,,,,
30029,,,,Partial County NAA,,
30047,,,,Partial County NAA,,
30049,,,,,,Partial County NAA
30053,,,,Partial County NAA,Partial County NAA,
30063,,Partial County Maintenance,,Partial County NAA,,
30087,,,,Partial County NAA,,
30089,,,,Partial County NAA,,
30093,,,,Partial County NAA,,
30111,,,,,,Partial County NAA
31055,,,,,,
31109,,,,,,
32003,,Partial County Maintenance,,Partial County Maintenance,,
32005,,,,,,
32031,,Partial County Maintenance,,Partial County NAA,,
32033,,,,,,
32510,,,,,,
33007,,,,,,
33011,,,,,,Partial County NAA
33013,,,,,,Partial County NAA
33015,,,,,,Partial County NAA
33017,,,,,,
34001,Whole County NAA,,,,,
34003,Whole County NAA,,,,Whole County Maintenance,
34005,Whole County NAA,,,,Whole County Maintenance,
34007,Whole County NAA,,,,Whole County Maintenance,
34009,Whole County NAA,,,,,
34011,Whole County NAA,,,,,
34013,Whole County NAA,,,,Whole County Maintenance,
34015,Whole County NAA,,,,Whole County Maintenance,
34017,Whole County NAA,,,,Whole County Maintenance,
34019,Whole County NAA,,,,,
34021,Whole County NAA,,,,Whole County Maintenance,
34023,Whole County NAA,,,,Whole County Maintenance,
34025,Whole County NAA,,,,Whole County Maintenance,
34027,Whole County NAA,,,,Whole County Maintenance,
34029,Whole County NAA,,,,,
34031,Whole County NAA,,,,Whole County Maintenance,
34033,Whole County NAA,,,,,
34035,Whole County NAA,,,,Whole County Maintenance,
34037,Whole County NAA,,,,,
34039,Whole County NAA,,,,Whole County Maintenance,
34041,Whole County NAA,,,,,Partial County NAA
35001,,,,,,
35013,,,,Partial County NAA,,
35017,,,,,,
35045,,,,,,
35049,,,,,,
36001,,,,,,
36005,Whole County NAA,,,,Whole County Maintenance,
36013,Whole County NAA,,,,,
36027,,,,,,
36029,,,,,,
36031,,,,,,
36037,,,,,,
36039,,,,,,
36045,,,,,,
36047,Whole County NAA,,,,Whole County Maintenance,
36051,,,,,,
36055,,,,,,
36057,,,,,,
36059,Whole County NAA,,,,Whole County Maintenance,
36061,Whole County NAA,,,Whole County NAA,Whole County Maintenance,
36063,,,,,,
36067,,,,,,
36069,,,,,,
36071,,,,,Whole County Maintenance,
36073,,,,,,
36079,,,,,,
36081,Whole County NAA,,,,Whole County Maintenance,
36083,,,,,,
36085,Whole County NAA,,,,Whole County Maintenance,
36087,Whole County NAA,,,,Whole County Maintenance,
36091,,,,,,
36093,,,,,,
36095,,,,,,
36103,Whole County NAA,,,,Whole County Maintenance,
36117,,,,,,
36119,Whole County NAA,,,,Whole County Maintenance,
37025,Partial County Maintenance,,,,,
37035,,,,,Whole County Maintenance,
37037,,,,,,
37057,,,,,Whole County Maintenance,
37063,,,,,,
37065,,,,,,
37067,,,,,,
37069,,,,,,
37071,Partial County Maintenance,,,,,
37077,,,,,,
37081,,,,,Whole County Maintenance,
37087,,,,,,
37097,Partial County Maintenance,,,,,
37101,,,,,,
37109,Partial County Maintenance,,,,,
37119,Whole County Maintenance,,,,,
37127,,,,,,
37135,,,,,,
37145,,,,,,
37159,Partial County Maintenance,,,,,
37173,,,,,,
37179,Partial County Maintenance,,,,,
37183,,,,,,
39001,,,,,Partial County Maintenance,
39003,,,,,,
39007,Whole County NAA,,,,Partial County Maintenance,
39009,,,,,,
39013,,,,,Whole County Maintenance,
39017,Whole County NAA,,,,Whole County Maintenance,
39023,,,,,Whole County Maintenance,
39025,Whole County NAA,,,,Whole County Maintenance,Partial County NAA
39027,Whole County NAA,,,,,
39029,,,,,,
39031,,,,,Partial County Maintenance,
39035,Whole County NAA,,,,Whole County NAA,
39041,Whole County NAA,,,,Whole County Maintenance,
39043,,,,,,
39045,Whole County NAA,,,,Whole County Maintenance,
39049,Whole County NAA,,,,Whole County Maintenance,
39053,,,,,Partial County Maintenance,
39055,Whole County NAA,,,,,
39057,,,,,Whole County Maintenance,
39061,Whole County NAA,,,,Whole County Maintenance,
39081,,,,,Whole County Maintenance,Partial County NAA
39083,Whole County NAA,,,,,
39085,Whole County NAA,,,,Whole County Maintenance,Whole County NAA
39087,,,,,Whole County Maintenance,
39089,Whole County NAA,,,,Whole County Maintenance,
39093,Whole County NAA,,,,Whole County NAA,
39095,,,,,,
39097,Whole County NAA,,,,,
39099,,,,,,
39101,,,,,,
39103,Whole County NAA,,,,Whole County Maintenance,
39109,,,,,,
39113,,,,,Whole County Maintenance,
39115,,,,,,Partial County NAA
39119,,,,,,
39129,,,,,,
39133,Whole County NAA,,,,Whole County Maintenance,
39145,,,,,Whole County Maintenance,
39147,,,,,,
39151,,,,,Whole County Maintenance,
39153,Whole County NAA,,,,Whole County Maintenance,
39155,,,,,,
39165,Whole County NAA,,,,Whole County Maintenance,
39167,,,,,Whole County Maintenance,Partial County NAA
39173,,,,,,
40143,,,,,,
40147,,,,,,
41005,,,,,,
41029,,,,Partial County Maintenance,,
41033,,,,,,
41035,,,,,Partial County NAA,
41037,,,,Partial County Maintenance,,
41039,,,,Partial County NAA,Partial County NAA,
41047,,Partial County Maintenance,,,,
41051,,,,,,
41053,,Partial County Maintenance,,,,
41061,,,,Partial County Maintenance,,
41067,,,,,,
42001,,,,,,
42003,Whole County NAA,,,,Whole County NAA,Partial County NAA
42005,Whole County NAA,,,,Partial County Maintenance,Partial County NAA
42007,Whole County NAA,,,,Whole County Maintenance,Partial County NAA
42011,Whole County NAA,,,,Whole County Maintenance,
42013,,,,,,
42017,Whole County NAA,,,,Whole County Maintenance,
42019,Whole County NAA,,,,Whole County Maintenance,
42021,,,,,Whole County Maintenance,
42025,Whole County NAA,,,,,
42027,,,,,,
42029,Whole County NAA,,,,Whole County Maintenance,
42033,,,,,,
42041,,,,,Whole County Maintenance,
42043,,,,,Whole County Maintenance,
42045,Whole County NAA,,,,Whole County NAA,
42049,,,,,,
42051,Whole County NAA,,,,,
42055,,,,,,
42059,,,,,Partial County Maintenance,
42063,,,,,Partial County Maintenance,Whole County NAA
42069,,,,,,
42071,Whole County NAA,,,,Whole County Maintenance,
42073,,,,,Partial County Maintenance,
42075,,,,,Whole County NAA,
42077,Whole County NAA,,,,Whole County Maintenance,
42079,,,,,,
42085,,,,,,
42089,,,,,,
42091,Whole County NAA,,,,Whole County Maintenance,
42095,Whole County NAA,,,,Whole County Maintenance,
42097,,,,,,
42099,,,,,,
42101,Whole County NAA,,,,Whole County Maintenance,
42109,,,,,,
42117,,,,,,
42123,,,,,,Partial County NAA
42125,Whole County NAA,,,,Whole County Maintenance,
42129,Whole County NAA,,,,Whole County Maintenance,
42131,,,,,,
42133,,,,,Whole County Maintenance,
44001,,,,,,
44003,,,,,,
44005,,,,,,
44007,,,,,,
44009,,,,,,
45079,,,,,,
45091,Partial County NAA,,,,,
47001,Partial County Maintenance,,,,Whole County NAA,
47005,,,,,,
47009,Whole County Maintenance,,,,Whole County NAA,
47029,,,,,,
47037,,,,,,
47065,,,,,Whole County NAA,
47085,,,,,,
47089,,,,,,
47093,Whole County Maintenance,,,,Whole County NAA,
47105,,,,,Whole County NAA,
47125,,,,,,
47139,,,,,,
47145,,,,,Partial County NAA,
47155,,,,,,
47157,Whole County NAA,,,,,
47163,,,,,,Partial County NAA
48039,Whole County NAA,,,,,
48071,Whole County NAA,,,,,
48085,Whole County NAA,,,,,
48113,Whole County NAA,,,,,
48121,Whole County NAA,,,,,
48139,Whole County NAA,,,,,
48141,,Partial County Maintenance,,Partial County NAA,,
48157,Whole County NAA,,,,,
48167,Whole County NAA,,,,,
48199,,,,,,
48201,Whole County NAA,,,,,
48245,,,,,,
48251,Whole County NAA,,,,,
48257,Whole County NAA,,,,,
48291,Whole County NAA,,,,,
48339,Whole County NAA,,,,,
48361,,,,,,
48367,Whole County NAA,,,,,
48397,Whole County NAA,,,,,
48439,Whole County NAA,,,,,
48473,Whole County NAA,,,,,
48497,Whole County NAA,,,,,
49003,,,,,Partial County NAA,
49005,,,,,Partial County NAA,
49011,,,,,Whole County NAA,
49021,,,,,,
49035,,,,Whole County NAA,Whole County NAA,Whole County NAA
49045,,,,,Partial County NAA,Partial County NAA
49049,,Partial County Maintenance,,Whole County NAA,Partial County NAA,
49057,,,,Partial County NAA,Partial County NAA,
50007,,,,,,
51013,Whole County NAA,,,,Whole County Maintenance,
51036,,,,,,
51041,,,,,,
51059,Whole County NAA,,,,Whole County Maintenance,
51073,,,,,,
51085,,,,,,
51087,,,,,,
51093,,,,,,
51095,,,,,,
51107,Whole County NAA,,,,Whole County Maintenance,
51113,,,,,,
51139,,,,,,
51149,,,,,,
51153,Whole County NAA,,,,Whole County Maintenance,
51177,,,,,,
51179,,,,,,
51199,,,,,,
51510,Whole County NAA,,,,Whole County Maintenance,
51550,,,,,,
51570,,,,,,
51600,Whole County NAA,,,,Whole County Maintenance,
51610,Whole County NAA,,,,Whole County Maintenance,
51630,,,,,,
51650,,,,,,
51670,,,,,,
51683,Whole County NAA,,,,Whole County Maintenance,
51685,Whole County NAA,,,,Whole County Maintenance,
51700,,,,,,
51710,,,,,,
51730,,,,,,
51735,,,,,,
51740,,,,,,
51760,,,,,,
51800,,,,,,
51810,,,,,,
51830,,,,,,
53011,,,,,,
53033,,,,,,
53053,,,,,Partial County Maintenance,
53061,,,,,,
53063,,,,,,
53067,,,,,,
53071,,,,,,
53077,,,,,,
54003,,,,,Whole County Maintenance,
54009,,,,Partial County Maintenance,Whole County Maintenance,Partial County NAA
54011,,,,,Whole County Maintenance,
54029,,,,Partial County Maintenance,Whole County Maintenance,
54039,,,,,Whole County Maintenance,
54051,,,,,Whole County Maintenance,Partial County NAA
54053,,,,,Partial County Maintenance,
54069,,,,,Whole County Maintenance,
54073,,,,,Partial County Maintenance,
54079,,,,,Whole County Maintenance,
54099,,,,,Whole County Maintenance,
54107,,,,,Whole County Maintenance,
55009,,,,,,
55025,,,,,,
55029,,,,,,
55059,Partial County NAA,,,,,
55061,,,,,,
55071,,,,,,
55073,,,,,,
55075,,,,,,
55079,,,,,Whole County Maintenance,
55085,,,,,,Partial County NAA
55089,,,,,,
55101,,,,,Whole County Maintenance,
55117,Whole County NAA,,,,,
55131,,,,,,
55133,,,,,Whole County Maintenance,
56023,Partial County NAA,,,,,
56033,,,,Partial County NAA,,
56035,Whole County NAA,,,,,
56037,Partial County NAA,,,,,
66016,,,,,,Partial County NAA
66020,,,,,,Partial County NAA
72061,,,,Partial County Maintenance,,
