fips,ozone_8hr_2008,co_1971,no2_1971,pm10_1987,pm25_1997_2006_2012,so2_1971_2010
1033,,,,,,
1071,,,,,Partial County Maintenance,
1073,,,,,Whole County Maintenance,
1077,,,,,,
1117,,,,,Whole County Maintenance,
1127,,,,,Partial County Maintenance,
2020,,,,Partial County Maintenance,,
2090,,,,,Partial County NAA,
2110,,,,Partial County Maintenance,,
4003,,,,Partial County NAA,,Partial County Maintenance
4005,,,,,,
4007,,,,Partial County NAA,,Partial County NAA
4011,,,,,,
4013,Partial County NAA,,,Partial County NAA,,
4015,,,,,,
4017,,,,,,
4019,,,,Partial County NAA,,
4021,Partial County NAA,,,Partial County NAA,Partial County NAA,Partial County NAA
4023,,,,Partial County NAA,Partial County NAA,
4027,,,,Partial County NAA,,
5035,Whole County NAA,,,,,
6001,Whole County NAA,,,,Whole County NAA,
6005,,,,,,
6007,Whole County NAA,,,,Partial County NAA,
6009,Whole County NAA,,,,,
6013,Whole County NAA,,,,Whole County NAA,
6017,Partial County NAA,,,,Partial County NAA,
6019,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6025,Whole County NAA,,,Partial County NAA,Partial County NAA,
6027,,,,Partial County NAA,,
6029,Partial County NAA,,,Partial County NAA,Partial County NAA,
6031,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6037,Partial County NAA,Partial County Maintenance,,Partial County Maintenance,Partial County NAA,
6039,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6041,Whole County NAA,,,,Whole County NAA,
6043,Whole County NAA,,,,,
6047,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6051,,,,Partial County NAA,,
6055,Whole County NAA,,,,Whole County NAA,
6057,Partial County NAA,,,,,
6059,Whole County NAA,Whole County Maintenance,,Whole County Maintenance,Whole County NAA,
6061,Partial County NAA,,,,Partial County NAA,
6063,,,,,Partial County NAA,
6065,Partial County NAA,Partial County Maintenance,,Partial County NAA,Partial County NAA,
6067,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6071,Partial County NAA,Partial County Maintenance,,Partial County NAA,Partial County NAA,
6073,Partial County NAA,,,,,
6075,Whole County NAA,,,,Whole County NAA,
6077,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6079,Partial County NAA,,,,,
6081,Whole County NAA,,,,Whole County NAA,
6083,,,,,,
6085,Whole County NAA,,,,Whole County NAA,
6095,Partial County NAA,,,,Partial County NAA,
6097,Partial County NAA,,,,Partial County NAA,
6099,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6101,Partial County NAA,,,,Whole County Maintenance,
6103,Partial County NAA,,,,,
6107,Whole County NAA,,,Whole County Maintenance,Whole County NAA,
6109,,,,,,
6111,Partial County NAA,,,,,
6113,Whole County NAA,,,,Partial County NAA,
6115,,,,,Partial County Maintenance,
6582,Whole County NAA,,,,,
6586,Whole County NAA,,,,,
8001,Whole County NAA,,,,,
8005,Whole County NAA,,,,,
