feedstock,tillage_type,equipment_group,rotation_year,activity,equipment_name,equipment_horsepower,resource,rate,unit_numerator,unit_denominator
barley straw,conventional tillage,1,1,harvest,tractor 2wd 160 hp,160,time,0.103125,hour,acre
barley straw,conventional tillage,1,1,harvest,tractor 2wd 135 hp,135,time,0.121323529,hour,acre
barley,conventional tillage,1,1,harvest,combine (2wd),390,time,0.218253968,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 175 hp,175,time,0.280612245,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 100 hp,100,time,0.087301587,hour,acre
barley,conventional tillage,1,1,maintenance,tractor 2wd 135 hp,135,time,0.087301587,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 175 hp,175,time,0.161132813,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 175 hp,175,time,0.074660634,hour,acre
barley straw,conventional tillage,2,1,harvest,tractor 2wd 160 hp,160,time,0.103125,hour,acre
barley,conventional tillage,2,1,maintenance,tractor 2wd 135 hp,135,time,0.039053254,hour,acre
barley straw,conventional tillage,2,1,harvest,tractor 2wd 135 hp,135,time,0.121323529,hour,acre
barley,conventional tillage,2,1,establishment,tractor 2wd 160 hp,160,time,0.261904762,hour,acre
barley,conventional tillage,2,1,establishment,tractor 2wd 135 hp,135,time,0.087301587,hour,acre
barley,conventional tillage,2,1,establishment,tractor 2wd 160 hp,160,time,0.261904762,hour,acre
barley,conventional tillage,2,1,harvest,combine (2wd),390,time,0.218253968,hour,acre
barley,conventional tillage,2,1,establishment,tractor 2wd 160 hp,160,time,0.074660634,hour,acre
barley,conventional tillage,3,1,establishment,tractor 2wd 135 hp,135,time,0.130952381,hour,acre
barley straw,conventional tillage,3,1,harvest,tractor 2wd 160 hp,160,time,0.103125,hour,acre
barley,conventional tillage,3,1,establishment,tractor 2wd 135 hp,135,time,0.107421875,hour,acre
barley straw,conventional tillage,3,1,harvest,tractor 2wd 135 hp,135,time,0.121323529,hour,acre
barley,conventional tillage,3,1,maintenance,tractor 2wd 100 hp,100,time,0.039053254,hour,acre
barley,conventional tillage,3,1,harvest,combine with row header (2wd),390,time,0.218253968,hour,acre
barley,conventional tillage,3,1,maintenance,tractor 2wd 100 hp,100,time,0.087301587,hour,acre
barley,conventional tillage,4,1,establishment,tractor 2wd 135 hp,135,time,0.105769231,hour,acre
barley,conventional tillage,4,1,harvest,combine (2wd),390,time,0.218253968,hour,acre
barley,conventional tillage,4,1,establishment,tractor 2wd 160 hp,160,time,0.261904762,hour,acre
barley,conventional tillage,4,1,establishment,tractor 2wd 160 hp,160,time,0.074660634,hour,acre
