feedstock,tillage_type,equipment_group,rotation_year,activity,equipment_name,equipment_horsepower,resource,rate,unit_numerator,unit_denominator
barley straw,conventional tillage,1,1,harvest,tractor 2wd 160 hp,160,time,0.103125,hour,acre
barley straw,conventional tillage,1,1,harvest,tractor 2wd 135 hp,135,time,0.121323529,hour,acre
barley,conventional tillage,1,1,harvest,combine (2wd),390,time,0.218253968,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 175 hp,175,time,0.280612245,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 100 hp,100,time,0.087301587,hour,acre
barley,conventional tillage,1,1,maintenance,tractor 2wd 135 hp,135,time,0.087301587,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 175 hp,175,time,0.161132813,hour,acre
barley,conventional tillage,1,1,establishment,tractor 2wd 175 hp,175,time,0.074660634,hour,acre
barley straw,no tillage,1,1,harvest,tractor 2wd 160 hp,160,time,0.103125,hour,acre
barley,no tillage,1,1,maintenance,tractor 2wd 135 hp,135,time,0.087301587,hour,acre
barley,no tillage,1,1,establishment,tractor 2wd 175 hp,175,time,0.261904762,hour,acre
barley,no tillage,1,1,establishment,tractor 2wd 160 hp,160,time,0.039053254,hour,acre
barley straw,no tillage,1,1,harvest,tractor 2wd 135 hp,135,time,0.121323529,hour,acre
barley,no tillage,1,1,establishment,tractor 2wd 100 hp,100,time,0.087301587,hour,acre
barley,no tillage,1,1,harvest,combine (2wd),390,time,0.218253968,hour,acre
corn grain,conventional tillage,1,1,establishment,tractor 4wd 205 hp,205,time,0.114583333,hour,acre
corn grain,conventional tillage,1,1,establishment,tractor 4wd 205 hp,205,diesel,1.05703125,gallon,acre
corn grain,conventional tillage,1,1,establishment,tractor 2wd 100 hp,100,time,0.087301587,hour,acre
corn grain,conventional tillage,1,1,establishment,tractor 2wd 100 hp,100,diesel,0.392857143,gallon,acre
corn stover,conventional tillage,1,1,harvest,tractor 2wd 135 hp,135,time,0.0859375,hour,acre
corn grain,conventional tillage,1,1,establishment,tractor 2wd 100 hp,100,lime,1000,pound,acre
corn grain,conventional tillage,1,1,establishment,tractor 4wd 205 hp,205,time,0.161132813,hour,acre
corn grain,conventional tillage,1,1,establishment,tractor 4wd 205 hp,205,diesel,1.486450195,gallon,acre
corn grain,conventional tillage,1,1,establishment,tractor 4wd 205 hp,205,time,0.261904762,hour,acre
corn stover,conventional tillage,1,1,harvest,tractor 2wd 160 hp,160,time,0.103125,hour,acre
corn stover,conventional tillage,1,1,harvest,tractor 2wd 135 hp,135,time,0.121323529,hour,acre
