from_fips,to_fips
01001,01073
01003,01099
01005,01067
01007,01073
01009,01073
01011,01067
01013,01099
01015,13115
01017,13063
01019,13115
01021,01073
01023,01099
01025,01099
01027,01073
01029,13115
01031,01067
01033,01083
01035,01099
01037,01073
01039,01099
01041,01067
01043,01073
01045,01067
01047,01065
01049,01071
01051,01073
01053,01099
01055,01071
01057,01065
01059,01083
01061,01067
01063,01065
01065,01065
01067,01067
01069,01067
01071,01071
01073,01073
01075,01065
01077,01083
01079,01083
01081,01067
01083,01083
01085,01099
01087,01067
01089,01083
01091,01065
01093,01083
01095,01083
01097,01099
01099,01099
01101,01067
01103,01083
01105,01065
01107,01065
01109,01067
01111,13115
01113,01067
01115,01073
01117,01073
01119,01065
01121,01073
01123,01073
01125,01065
01127,01073
01129,01099
01131,01099
01133,01083
04001,04013
04003,04013
04005,04013
04007,04013
04009,04013
04011,04013
04012,04013
04013,04013
04015,32003
04017,04013
04019,04013
04021,04013
04023,04013
04025,04013
04027,04013
05001,05041
05003,05003
05005,05063
05007,29217
05009,05063
05011,05003
05013,05003
05015,29217
05017,28151
05019,48037
05021,05063
05023,05063
05025,05003
05027,48037
05029,05063
05031,05063
05033,40143
05035,47157
05037,47157
05039,05003
05041,05041
05043,05041
05045,05063
05047,48037
05049,05063
05051,48037
05053,05003
05055,05063
05057,48037
05059,05003
05061,48037
05063,05063
05065,05063
05067,05063
05069,05041
05071,05063
05073,48037
05075,05063
05077,05107
05079,05041
05081,48037
05083,48037
05085,05063
05087,29217
05089,05063
05091,48037
05093,47157
05095,05107
05097,48037
05099,48037
05101,05063
05103,05003
05105,05063
05107,05107
05109,48037
05111,47157
05113,48037
05115,05063
05117,05107
05119,05063
05121,05063
05123,05107
05125,05063
05127,48037
05129,05063
05131,48037
05133,48037
05135,05063
05137,05063
05139,05003
05141,05063
05143,40143
05145,05063
05147,05063
05149,48037
06001,06001
06003,06039
06005,06077
06007,06095
06009,06077
06011,06095
06013,06001
06015,06095
06017,06077
06019,06019
06021,06095
06023,06095
06025,06065
06027,06071
06029,06029
06031,06019
06033,06095
06035,06077
06037,06037
06039,06039
06041,06095
06043,06039
06045,06095
06047,06019
06049,06077
06051,06039
06053,06001
06055,06095
06057,06077
06059,06059
06061,06077
06063,06077
06065,06065
06067,06077
06069,06019
06071,06065
06073,06065
06075,06001
06077,06077
06079,06029
06081,06001
06083,06029
06085,06001
06087,06001
06089,06095
06091,06077
06093,06095
06095,06095
06097,06095
06099,06077
06101,06095
06103,06095
06105,06095
06107,06019
06109,06039
06111,06029
06113,06095
06115,06077
08001,08031
08003,08031
08005,08031
08007,08031
08009,40139
08011,08063
08013,08031
08014,08031
08015,08031
08017,08063
08019,08031
08021,08031
08023,08031
08025,08063
08027,08031
08029,08031
08031,08031
08033,08031
08035,08031
08037,08031
08039,08031
08041,08031
08043,08031
08045,08031
08047,08031
08049,08031
08051,08031
08053,08031
08055,08031
08057,08031
08059,08031
08061,08063
08063,08063
08065,08031
08067,08031
08069,08031
08071,08063
08073,08063
08075,31157
08077,08031
08079,08031
08081,08031
08083,08031
08085,08031
08087,08031
08089,08063
08091,08031
08093,08031
08095,08063
08097,08031
08099,08063
08101,08031
08103,08031
08105,08031
08107,08031
08109,08031
08111,08031
08113,08031
08115,08063
08117,08031
08119,08031
08121,08063
08123,08031
08125,08063
09001,36047
09003,25003
09005,25003
09007,25003
09009,25003
09011,25017
09013,25003
09015,25017
