feedstock,moisture_content
barley straw,0.069
biomass sorghum,0.65
corn stover,0.15
energy cane,0.1
eucalyptus,0.1
hay,0.069
miscanthus,0.1
oats straw,0.069
pine,0.1
poplar,0.1
sorghum stubble,0.65
switchgrass,0.052
wheat straw,0.083
willow,0.1
forest residues,0.5
whole tree,0.5
