resource,resource_subtype,activity,pollutant,rate,unit_numerator,unit_denominator
nitrogen,anhydrous ammonia,chemical application,nox,0.013881429,pound,pound
nitrogen,anhydrous ammonia,chemical application,nh3,0.039828571,pound,pound
nitrogen,ammonium nitrate,chemical application,nox,0.029314286,pound,pound
nitrogen,ammonium nitrate,chemical application,nh3,0.008349429,pound,pound
nitrogen,ammonium sulfate,chemical application,nox,0.008871429,pound,pound
nitrogen,ammonium sulfate,chemical application,nh3,0.088254286,pound,pound
nitrogen,urea,chemical application,nox,0.0165,pound,pound
nitrogen,urea,chemical application,nh3,0.025458714,pound,pound
nitrogen,nitrogen solutions,chemical application,nox,0.004909286,pound,pound
nitrogen,nitrogen solutions,chemical application,nh3,0.028171429,pound,pound
herbicide,generic herbicide,chemical application,voc,0.7506,pound,pound
insecticide,generic insecticide,chemical application,voc,0.7506,pound,pound
