st_name,st_fips,uprsm_pct_silt
Alabama,01,3.9
Alaska,02,3.8
Arizona,04,3
Arkansas,05,3.9
California,06,2.6
Colorado,08,1.5
Connecticut,09,3.9
Delaware,10,3.9
DC,11,0
Florida,12,3.9
Georgia,13,3.9
Hawaii,15,3.8
Idaho,16,3.9
Illinois,17,2.6
Indiana,18,2.6
Iowa,19,2.5
Kansas,20,3.9
Kentucky,21,3.9
Louisiana,22,3.9
Maine,23,3.9
Maryland,24,3.9
Massachusetts,25,3.9
Michigan,26,2.6
Minnesota,27,2.7
Mississippi,28,3.9
Missouri,29,6.5
Montana,30,6.6
Nebraska,31,4.2
Nevada,32,1.7
"New Hampshire",33,3.9
"New Jersey",34,3.9
"New Mexico",35,4.3
"New York",36,4.7
"North Carolina",37,5.1
"North Dakota",38,3.9
Ohio,39,3.1
Oklahoma,40,4.4
Oregon,41,7.2
Pennsylvania,42,3.3
"Rhode Island",44,3.9
"South Carolina",45,3.9
"South Dakota",46,3.1
Tennessee,47,2
Texas,48,5.6
Utah,49,3.9
Vermont,50,3.9
Virginia,51,3.2
Washington,53,3.9
"West Virginia",54,3.9
Wisconsin,55,4.2
Wyoming,56,7.1
