feed_id,sply_fips,used_qnty,avg_total_cost,avg_dist
SWPRSD,1059,4551,40.27,0
SWPRSD,47049,801,40.29,0
SWNRSD,47049,1108,40.37,0
SWNRSD,1059,1561,40.63,0
MIXRSD,47049,3814,41.10,0
MIXRSD,1059,5017,41.10,0
HWURSD,1059,6294,41.64,0
SWNRSD,28127,3572,41.68,6.74
SWNRSD,51079,335,41.80,18.39
SWPRSD,28127,382,41.82,6.74
HWURSD,47049,3313,41.86,0
SWNRSD,37145,3145,42.26,9.12
MIXRSD,28127,5405,42.37,6.74
SWNRSD,37033,6507,42.59,12.61
SWPRSD,13003,4270,42.62,10.75
SWNRSD,13003,347,42.89,10.75
SWPRSD,1029,1099,42.94,12.46
SWNRSD,5141,2220,43.02,13.36
SWPRSD,22119,2352,43.02,14.4
SWPRSD,37033,577,43.17,12.61
SWNRSD,1029,1181,43.18,12.46
SWPRSD,5141,86,43.28,13.36
HWURSD,28127,1316,43.33,6.74
SWNRSD,22119,5912,43.48,14.4
MIXRSD,1029,7281,43.51,12.46
SWPRSD,55085,623,43.70,23.54
SWNRSD,30057,19216,43.74,17.03
SWPRSD,55069,202,43.75,23.94
MIXRSD,37033,9787,43.78,12.61
MIXRSD,5141,4670,43.83,13.36
SWPRSD,13143,1370,43.84,15.88
SWNRSD,26093,296,43.85,10.17
SWNRSD,41067,9708,44.11,17.24
SWPRSD,13045,1773,44.15,16.56
SWNRSD,13143,2527,44.16,15.88
HWURSD,37145,3813,44.20,9.12
HWURSD,1029,2905,44.23,12.46
MIXRSD,13143,3086,44.34,15.88
MIXRSD,22119,2675,44.36,14.4
SWNRSD,28029,10615,44.37,20.19
SWNRSD,13045,1114,44.46,16.56
HWURSD,37033,636,44.47,12.61
SWPRSD,13019,1570,44.65,18.91
HWURSD,5141,18786,44.70,13.36
MIXRSD,13045,3232,44.70,16.56
HWLRSD,47137,2397,44.78,14.41
MIXRSD,13019,805,44.88,18.91
SWPRSD,28029,3916,44.89,20.19
SWNRSD,13019,1256,44.92,18.91
SWPRSD,23031,907,45.02,15.47
HWURSD,47137,173,45.15,14.41
HWURSD,13143,1166,45.16,15.88
HWURSD,26093,743,45.24,10.17
SWNRSD,23031,13832,45.25,15.47
MIXRSD,28029,5798,45.26,20.19
SWPRSD,45079,594,45.37,22.04
HWURSD,13045,835,45.46,16.56
SWPRSD,45085,1130,45.49,20.4
