feed_id,sply_fips,used_qnty,avg_flddep_dist,avg_depref_dist,avg_total_cost,avg_dist
SRWC - coppice,21069,133072,0,0,49.84,0
SRWC - coppice,19057,18359,0,3.313400512,49.94449752,3.313400512
SRWC - coppice,21113,93162,8.54,0,50.63,8.54
SRWC - coppice,42121,17726,5.75,0,50.66,5.75
SRWC - coppice,55071,16330,3.29,0,51.16,3.29
SRWC - coppice,26023,129990,5.37,0,51.42,5.37
SRWC - coppice,18097,8779,14.45,0,52.01,14.45
SRWC - coppice,21079,106544,13.63,0,52.56,13.63
SRWC - coppice,42069,4240,9.16,0,52.85,9.16
SRWC - coppice,21081,79991,15.83,0,52.92,15.83
SRWC - coppice,21021,76569,16.33,0,53.05,16.33
SRWC - coppice,18077,77280,17.43,0,53.18,17.43
SRWC - coppice,19157,61115,17.81,0,53.26,17.81
SRWC - coppice,18057,4316,18.14,0,53.41,18.14
SRWC - coppice,18027,17322,17.45,0,53.48,17.45
SRWC - coppice,18143,13262,20.65,0,53.57,20.65
SRWC - coppice,18063,115047,22.82,0,53.74,22.82
SRWC - coppice,17071,13000,16.39,0,53.88,16.39
SRWC - coppice,18019,58218,19.1,0,53.9,19.1
SRWC - coppice,25021,50,9.66,0,54.13,9.66
SRWC - coppice,54033,72939,10.52,0,54.17,10.52
SRWC - coppice,29173,65267,5.2,0,54.35,5.2
SRWC - coppice,21067,104629,24.12,0,54.37,24.12
SRWC - coppice,21137,167931,23.36,0,54.46,23.36
SRWC - coppice,42099,49513,10.52,0,54.49,10.52
SRWC - coppice,39067,59699,15.74,0,54.66,15.74
SRWC - coppice,19185,67978,18.35,0,54.93,18.35
SRWC - coppice,21161,84895,23.49,0,55.02,23.49
SRWC - coppice,34039,1,24.61,0,55.05,24.61
SRWC - coppice,39079,34387,15.93,0,55.05,15.93
SRWC - coppice,19095,74491,25.4,0,55.06,25.4
SRWC - coppice,18059,43,32.83,0,55.08,32.83
SRWC - coppice,51161,978,13.4,0,55.09,13.4
SRWC - coppice,21167,142769,26.09,0,55.19,26.09
SRWC - coppice,39139,69213,30.83,0,55.24,30.83
