feed_id,sply_fips,used_qnty,avg_total_cost,avg_dist
corn stover,47079,21523,50.23,99.4
corn stover,21123,14478,52.03,115.8
corn stover,21145,6791,53.12,127.7
corn stover,47099,9769,54.11,119.9
corn stover,21029,889,54.67,138.4
corn stover,31133,14366,57.78,43
corn stover,20131,51409,59.71,88.2
corn stover,6047,274596,60.10,43
corn stover,17003,377,60.56,164
corn stover,6101,6246,63.12,143.8
corn stover,6077,245032,64.28,60
corn stover,31079,298242,64.74,6.9
corn stover,6099,72000,64.89,35.2
corn stover,20117,35636,64.90,69.8
corn stover,31185,339057,65.78,13.2
corn stover,31083,109162,66.88,12.8
corn stover,31059,305336,66.99,18.7
corn stover,6039,37434,67.25,71.5
corn stover,31137,267524,67.27,18.4
corn stover,31159,180508,67.29,14.8
corn stover,31019,294101,67.36,20.5
corn stover,31089,176303,67.48,13.5
corn stover,31177,82956,67.92,12.3
corn stover,46091,114054,68.00,11.9
corn stover,31001,299684,68.20,25.4
corn stover,31081,318674,68.24,24.3
corn stover,31169,164599,68.62,24.4
corn stover,18077,4584,68.82,209.3
corn stover,31119,154146,69.07,20.7
corn stover,31129,112698,69.18,21
corn stover,31003,255245,69.21,26.1
corn stover,31021,170672,69.30,20.3
corn stover,48421,68296,69.50,21.1
corn stover,21151,604,69.55,202.2
corn stover,31099,270029,69.56,31.6
corn stover,31093,146757,69.57,25.9
corn stover,31011,134546,69.68,17.9
corn stover,31151,127405,69.70,21.2
corn stover,31077,100244,70.04,28.5
corn stover,46099,114200,70.07,31.5
corn stover,31143,183610,70.09,31.5
corn stover,31095,125372,70.13,22.3
corn stover,46109,145116,70.17,22.2
corn stover,31035,244635,70.23,31.9
corn stover,31047,332304,70.56,35.3
corn stover,31037,107023,70.58,28.5
corn stover,46061,70376,70.65,19.1
corn stover,48205,208740,70.68,36.5
corn stover,46013,310570,70.78,26
corn stover,31061,130194,70.85,35.1
corn stover,21049,1568,70.86,213.4
corn stover,31139,146757,71.30,35
corn stover,46115,260337,71.32,27.2
corn stover,21141,86104,71.42,69
corn stover,21017,1774,71.49,212.5
corn stover,31181,70325,71.65,27
corn stover,31141,245173,71.69,31.5
corn stover,46035,67124,71.71,32.5
corn stover,31125,106006,71.93,37.2
corn stover,6067,80386,72.36,97.3
corn stover,31039,143745,72.45,38.1
corn stover,31027,188809,72.60,41.3
corn stover,19129,198935,72.66,103.3
corn stover,38021,85278,72.68,26.9
corn stover,31127,79387,72.84,26.3
corn stover,46037,109890,72.93,31.4
corn stover,38045,77346,73.00,0
corn stover,21227,49442,73.01,78.3
corn stover,46011,49302,73.04,40
corn stover,46077,131815,73.10,19.9
corn stover,31055,32823,73.11,34.7
corn stover,46009,57079,73.23,33.2
corn stover,46057,112113,73.46,40
corn stover,31175,103397,74.07,49.4
corn stover,38081,98923,74.12,34.7
corn stover,46079,150782,74.19,42.8
corn stover,20085,33654,74.22,109.6
corn stover,31153,47561,74.22,43.9
corn stover,46027,67138,74.45,37.9
corn stover,31173,111195,74.54,45.1
corn stover,46049,127316,74.72,32.4
corn stover,46097,36918,74.73,32.5
corn stover,31101,113460,74.80,46.6
corn stover,46135,76360,75.06,45.2
corn stover,31053,173646,75.15,45.1
corn stover,31121,175499,75.24,55.6
corn stover,48341,44015,75.43,15.5
corn stover,31149,19273,75.45,57.4
corn stover,31029,170833,75.81,44.7
corn stover,46087,95918,76.13,22.4
corn stover,6095,26982,76.53,113.7
corn stover,31041,308665,76.55,62.7
corn stover,46067,55119,76.91,31.8
corn stover,46107,66678,76.94,23.4
corn stover,31015,16662,77.16,48.5
corn stover,31147,99903,77.20,32.9
corn stover,31067,121832,77.39,35.8
