feed_id,sply_fips,used_qnty,avg_flddep_dist,avg_depref_dist,avg_total_cost,avg_dist
Switchgrass,20119,66,118.65,0,64.13,118.65
Switchgrass,40119,184,131.03,0,65.34,131.03
Biosorghum,48405,1,76.27,0,65.6,76.27
Biosorghum,21007,6,33.31,59.19,67.01,92.5
Corn stover,46077,442196,0,0,70.27327956,0
Miscanthus,20133,689504,0,0,70.31,0
Corn stover,46087,381749,0.62,0,70.36672822,0.62
Corn stover,48189,103716,0,0,70.3733018,0
Corn stover,46003,208410,0.62,0,70.40405067,0.62
Miscanthus,29013,896618,1.55,0,70.67,1.55
Miscanthus,18083,290826,0,0,70.81,0
Miscanthus,29011,569544,0.43,0,70.9,0.43
Miscanthus,40035,1281869,0,0,70.93,0
Miscanthus,29211,570732,0.15,0,71,0.15
Miscanthus,19057,196427,0,0,71.01,0
Corn stover,46135,315903,0,2.29082978,71.02057407,2.29082978
Miscanthus,17065,238919,0.08,0,71.04,0.08
Miscanthus,29015,460879,2.83,0,71.25,2.83
Corn stover,48463,43131,2.08,0,71.25170597,2.08
Miscanthus,21107,161789,0.63,0,71.39,0.63
Miscanthus,19117,180952,0,0,71.4,0
Miscanthus,17095,329385,0.62,0,71.45,0.62
Miscanthus,17151,72891,0,0,71.53,0
Miscanthus,20003,650836,4.34,0,71.59,4.34
Miscanthus,27045,514197,3.47,0,71.59,3.47
Miscanthus,29139,325590,0.49,0,71.6,0.49
Miscanthus,19083,273121,0,0,71.66,0
Miscanthus,29131,310276,0,0,71.66,0
Miscanthus,18065,224811,3.54,0,71.7,3.54
Miscanthus,21031,175498,1.98,0,71.72,1.98
Miscanthus,20045,327867,3.08,0,71.76,3.08
Switchgrass,46055,267,156.02,0,71.83,156.02
Miscanthus,17025,245373,3.52,0,71.85,3.52
Miscanthus,21083,160713,0.94,0,71.87,0.94
Miscanthus,55123,348874,4.28,0,71.91,4.28
Miscanthus,17021,476064,3.35,0,72,3.35
Miscanthus,27123,205,2.48,0,72.23,2.48
Miscanthus,29019,349614,6.35,0,72.25,6.35
Miscanthus,29049,266634,5.51,0,72.25,5.51
Miscanthus,20197,965557,0,0,72.27,0
Miscanthus,29167,631486,3.26,0,72.27,3.26
Miscanthus,17107,379023,4.08,0,72.3,4.08
Miscanthus,47187,248105,2.99,0,72.35,2.99
Miscanthus,29173,309642,5.2,0,72.36,5.2
Miscanthus,29145,484140,5.56,0,72.46,5.56
Miscanthus,39113,96157,4.45,0,72.47,4.45
Miscanthus,55053,128564,1.41,0,72.51,1.41
Miscanthus,18163,71914,5.5,0,72.52,5.5
Miscanthus,47051,53596,1.57,0,72.52,1.57
Miscanthus,29095,124412,10.18,0,72.58,10.18
Miscanthus,21091,66254,7.4,0,72.61,7.4
Miscanthus,47147,247228,5.7,0,72.61,5.7
Miscanthus,29023,322138,4.13,0,72.65,4.13
Miscanthus,1017,106107,0,0,72.66,0
Miscanthus,29175,318625,9.2,0,72.69,9.2
Corn stover,46091,289592,11.85,0,72.72697022,11.85
Miscanthus,19041,30034,0,0,72.74,0
Miscanthus,27047,369372,8.8,0,72.74,8.8
Miscanthus,47055,346923,4,0,72.77,4
Miscanthus,5077,279377,2.08,0,72.79,2.08
Miscanthus,17197,247425,4.99,0,72.8,4.99
Miscanthus,21113,22184,8.54,0,72.81,8.54
Miscanthus,17019,646538,6.99,0,72.81,6.99
Miscanthus,17145,267240,9.46,0,72.84,9.46
Corn stover,31083,296544,12.8,0,72.87633973,12.8
Miscanthus,48039,9642,4.93,0,72.88,4.93
Miscanthus,19109,256720,2.96,0,72.99,2.96
Miscanthus,29031,374858,8.56,0,72.99,8.56
Miscanthus,20005,320761,5.35,0,73.06,5.35
Miscanthus,26023,173179,5.37,0,73.11,5.37
Miscanthus,28017,18914,5.8,0,73.11,5.8
Miscanthus,18067,145895,8.08,0,73.13,8.08
Miscanthus,19137,256721,5.01,0,73.18,5.01
Corn stover,46005,536497,13.67,0,73.21,13.67
Miscanthus,18167,125570,10.26,0,73.25,10.26
Corn stover,31159,497122,12.44,0,73.26585361,12.44
Miscanthus,19165,262909,3.05,0,73.27,3.05
Miscanthus,39011,210211,7.2,0,73.27,7.2
Miscanthus,17027,343240,11.72,0,73.3,11.72
Switchgrass,40107,549042,0,0,73.3,0
Miscanthus,48499,323591,0,0,73.31,0
Switchgrass,48015,631938,1.2,0,73.32,1.2
Miscanthus,55101,100502,9.23,0,73.36,9.23
Miscanthus,21029,71422,11.89,0,73.37,11.89
Corn stover,46023,367134,13.97,0,73.39905849,13.97
Switchgrass,21083,191019,0.94,0,73.4,0.94
Switchgrass,17151,19070,0,0,73.41,0
Switchgrass,1059,133732,0,0,73.42,0
Switchgrass,5077,310353,2.08,0,73.45,2.08
Miscanthus,27043,409155,7.56,0,73.47,7.56
Miscanthus,26045,166713,4.12,0,73.48,4.12
Miscanthus,17015,254650,9.51,0,73.49,9.51
Corn stover,31177,235530,12.29,0,73.49904853,12.29
Miscanthus,29117,303665,13.43,0,73.52,13.43
Miscanthus,28089,34992,4.66,0,73.53,4.66
Miscanthus,55049,402008,13.45,0,73.54,13.45
Switchgrass,20133,49477,0,0,73.55,0
Miscanthus,29209,176609,6.31,0,73.56,6.31
Switchgrass,29011,167208,0.43,0,73.59,0.43
Miscanthus,1103,4553,4.82,0,73.6,4.82
Switchgrass,21107,51786,0.63,0,73.6,0.63
Miscanthus,17157,302532,11.97,0,73.61,11.97
Miscanthus,17005,231029,11.73,0,73.62,11.73
Switchgrass,5073,152651,0.42,0,73.62,0.42
Miscanthus,29103,383660,12.66,0,73.64,12.66
Corn stover,31153,113920,14.18542881,1.400429863,73.64923894,15.58585867
Switchgrass,17065,162583,0.08,0,73.67,0.08
Miscanthus,18045,223855,12.27,0,73.7,12.27
Miscanthus,29133,290780,9.56,0,73.7,9.56
Miscanthus,29199,283037,12.83,0,73.7,12.83
Miscanthus,5079,207920,8.91,0,73.71,8.91
Miscanthus,17001,444637,14.09,0,73.71,14.09
Miscanthus,47045,238258,10.09,0,73.72,10.09
Corn stover,46035,205305,18.53,0,73.73011856,18.53
Miscanthus,27163,79122,9.73,0,73.74,9.73
Miscanthus,17101,192777,14.84,0,73.75,14.84
Miscanthus,21199,255895,10.77,0,73.75,10.77
Miscanthus,27081,222554,0,0,73.75,0
Miscanthus,27133,21506,0.55,0,73.75,0.55
Miscanthus,29081,248090,11.66,0,73.77,11.66
Miscanthus,18121,177340,14.29,0,73.8,14.29
Miscanthus,20149,693655,5.31,0,73.8,5.31
Miscanthus,29099,126028,12.48,0,73.83,12.48
Miscanthus,29195,518110,15.41,0,73.84,15.41
Miscanthus,40097,634492,10.46,0,73.85,10.46
Miscanthus,5111,185332,8.83,0,73.89,8.83
Miscanthus,13093,73820,0.45,0,73.89,0.45
Switchgrass,48039,1426245,4.93,0,73.9,4.93
Switchgrass,48041,496332,0.74,0,73.9,0.74
Miscanthus,19069,399979,12.25,0,73.91,12.25
Corn stover,46061,243074,19.05,0,73.91732049,19.05
Miscanthus,29075,180194,11.12,0,73.93,11.12
Switchgrass,47051,66266,1.57,0,73.96,1.57
Miscanthus,29155,163642,13.1,0,73.98,13.1
Miscanthus,18179,226061,10.87,0,74,10.87
Miscanthus,26027,131066,6.83,0,74.02,6.83
Miscanthus,17053,300290,10.4,0,74.02,10.4
Miscanthus,21209,57890,14.35,0,74.02,14.35
Miscanthus,18097,21535,14.45,0,74.03,14.45
Miscanthus,28137,5179,8.09,0,74.06,8.09
Miscanthus,46077,136069,0,0,74.11,0
Corn stover,38073,205719,18.04,0,74.12,18.04
Corn stover,31043,212110,16.66,0,74.12422394,16.66
Miscanthus,21079,64943,13.63,0,74.13,13.63
Miscanthus,48037,15737,3.38,0,74.14,3.38
Miscanthus,39149,209868,13.64,0,74.15,13.64
Miscanthus,20041,451107,3.39,0,74.16,3.39
Switchgrass,21031,17789,1.98,0,74.16,1.98
Corn stover,46029,230652,19.4,0,74.17246774,19.4
Miscanthus,48201,898,7,0,74.2,7
Miscanthus,19175,231102,10.41,0,74.24,10.41
Corn stover,48369,123346,8.56,0,74.2442127,8.56
Miscanthus,18085,268993,12.76,0,74.25,12.76
Miscanthus,18081,59434,16.38,0,74.25,16.38
Miscanthus,19033,307154,15,0,74.27,15
Switchgrass,28017,158198,5.8,0,74.27,5.8
Miscanthus,19077,321234,11.22,0,74.28,11.22
Miscanthus,48015,9722,1.2,0,74.29,1.2
Switchgrass,28089,168309,4.66,0,74.29,4.66
Switchgrass,48217,710643,1.93,0,74.31,1.93
Switchgrass,48037,404758,3.38,0,74.32,3.38
Switchgrass,48201,463969,7,0,74.35,7
Switchgrass,48225,671077,1.89,0,74.36,1.89
Miscanthus,19099,386411,14.35,0,74.37,14.35
Miscanthus,29137,413480,16.36,0,74.37,16.36
Miscanthus,21101,247947,14.5,0,74.39,14.5
Miscanthus,18099,203614,13.9,0,74.4,13.9
Miscanthus,20111,1203604,14.36,0,74.41,14.36
