feed_id,sply_fips,used_qnty,avg_flddep_dist,avg_depref_dist,avg_total_cost,avg_dist
Coppice wood,19057,139012,0,0,45.34,0
Coppice wood,21069,185531,0,0,45.68,0
Coppice wood,18083,225759,0,0,45.83,0
Coppice wood,18065,170332,3.54,0,46.15,3.54
Coppice wood,47049,90650,0,0,46.27,0
Coppice wood,39113,77905,4.45,0,46.51,4.45
Coppice wood,21113,108076,8.54,0,46.8,8.54
Coppice wood,42121,24360,5.75,0,46.85,5.75
Coppice wood,55071,159537,3.29,0,47,3.29
Coppice wood,26023,159119,5.37,0,47.43,5.37
Coppice wood,18013,5426,11.2,0,47.47,11.2
Coppice wood,17025,164254,3.52,0,47.73,3.52
Coppice wood,18167,72216,10.26,0,47.94,10.26
Coppice wood,18081,29896,16.38,0,48.44,16.38
Coppice wood,39149,162571,13.64,0,48.44,13.64
Coppice wood,19099,400430,14.35,0,48.45,14.35
Coppice wood,21079,134049,13.63,0,48.51,13.63
Coppice wood,17001,212008,14.09,0,48.59,14.09
Coppice wood,39005,132327,15.59,0,48.7,15.59
Coppice wood,21081,102731,15.83,0,48.8,15.83
Coppice wood,18121,135679,14.29,2.712230043,48.84356437,17.00223004
Coppice wood,36067,99047,7.08,0,48.95,7.08
Coppice wood,29081,138665,11.66,0,48.99,11.66
Coppice wood,19187,317353,12.71,0,49,12.71
Coppice wood,42111,131117,5.35,0,49.05,5.35
Coppice wood,17035,89323,16.81,0,49.1,16.81
Coppice wood,17101,154528,14.84,0,49.11,14.84
Coppice wood,21021,92032,16.33,0,49.13,16.33
Coppice wood,18085,175906,12.76,0,49.17,12.76
Coppice wood,29173,89313,5.2,0,49.21,5.2
Coppice wood,19157,342643,17.81,0,49.22,17.81
Coppice wood,39159,164282,14.32,0,49.25,14.32
Coppice wood,18077,48409,17.43,0,49.25,17.43
Coppice wood,18099,150131,13.9,0,49.3,13.9
Coppice wood,51770,76,8.62,0,49.38,8.62
Coppice wood,29075,124434,11.12,0,49.38,11.12
Coppice wood,55049,24882,13.45,0,49.39,13.45
Coppice wood,18027,159105,17.45,0,49.41,17.45
Coppice wood,18109,60573,17.14,0,49.46,17.14
Coppice wood,54033,89777,10.52,0,49.53,10.52
Coppice wood,39033,193021,19.75,0,49.54,19.75
Coppice wood,25021,65,9.66,0,49.56,9.66
Coppice wood,39101,151242,14.55,0,49.62,14.55
Coppice wood,47137,23616,14.41,0,49.63,14.41
Coppice wood,39169,204263,18.56,0,49.67,18.56
Coppice wood,19013,11970,14.36,0,49.68,14.36
Coppice wood,17071,122861,16.39,0,49.68,16.39
Coppice wood,18143,46497,20.65,0,49.68,20.65
Coppice wood,19105,72472,16.5,0,49.69,16.5
Coppice wood,18021,81008,19.05,0,49.72,19.05
Coppice wood,21209,110267,14.35,7.760682707,49.75233724,22.11068271
Coppice wood,36093,2393,9.9,0,49.76,9.9
Coppice wood,17159,90234,18.41,0,49.86,18.41
Coppice wood,21117,26530,19.95,0,49.87,19.95
Coppice wood,18019,56887,19.1,0,49.88,19.1
Coppice wood,39047,200570,18.74,0,49.94,18.74
Coppice wood,19011,330186,18.7,0,49.95,18.7
Coppice wood,17029,228352,18.32,0,49.97,18.32
Coppice wood,17067,336658,20.77,0,50.01,20.77
Coppice wood,42093,23611,12.05,0,50.05,12.05
Coppice wood,39067,81075,15.74,0,50.13,15.74
Coppice wood,54087,81297,12.17,0,50.13,12.17
Coppice wood,18073,224276,14.14,0,50.17,14.14
Coppice wood,54035,62301,11.94,0,50.25,11.94
Coppice wood,36121,128565,16.1,0,50.27,16.1
Coppice wood,18181,194815,14.76,0,50.33,14.76
Coppice wood,42011,132802,14.78,0,50.37,14.78
Coppice wood,39147,230624,19.46,0,50.4,19.46
Coppice wood,55027,180025,16.25,0,50.4,16.25
Coppice wood,18177,145265,23,0,50.45,23
Coppice wood,51161,957,13.4,0,50.47,13.4
Coppice wood,19185,72200,18.35,0,50.5,18.35
Coppice wood,21137,190065,23.36,0,50.5,23.36
Coppice wood,39109,161388,23.08,0,50.5,23.08
Coppice wood,18017,141350,18.33,0,50.54,18.33
Coppice wood,18153,143093,21.63,0,50.54,21.63
Coppice wood,21067,134199,24.24524028,0,50.58873948,24.24524028
Coppice wood,26091,196745,10.01,0,50.59,10.01
Coppice wood,17075,275971,17.04,0,50.6,17.04
Coppice wood,18165,96513,23.84,0,50.68,23.84
Coppice wood,39001,128304,22.35,0,50.7,22.35
Coppice wood,51135,3695,7.99,0,50.71,7.99
Coppice wood,39031,137981,18.15,0,50.72,18.15
Coppice wood,39011,162793,7.2,18.64354069,50.78129017,25.84354069
Coppice wood,18059,138779,27.54,0,50.79,27.54
Coppice wood,39135,181984,21.85,0,50.81,21.85
Coppice wood,39071,219713,25.4,0,50.87,25.4
Coppice wood,54049,36036,16.25,0,50.87,16.25
Coppice wood,19095,256466,25.4,0,50.95,25.4
Coppice wood,17125,2073,16.34,0,50.96,16.34
Coppice wood,39013,95679,21.69,0,50.98,21.69
Coppice wood,21161,112035,23.49,0,51,23.49
Coppice wood,51775,22,13.67,0,51,13.67
Coppice wood,39165,86862,26.47,0,51.05,26.47
Coppice wood,34039,2,24.61,0,51.16,24.61
Coppice wood,17169,60812,25.39,0,51.17,25.39
Coppice wood,18105,30321,28.92,0,51.19,28.92
Coppice wood,18007,68343,23.03,0,51.28,23.03
Coppice wood,17023,122925,25.88,0,51.29,25.88
Coppice wood,18005,50442,28.94,0,51.29,28.94
Coppice wood,21167,136499,26.09,0,51.31,26.09
Coppice wood,39057,101426,24.74,0,51.36,24.74
Coppice wood,17139,2888,23.43,0,51.38,23.43
Coppice wood,39049,3414,25.67,0,51.42,25.67
Coppice wood,17049,192839,28.62,0,51.45,28.62
Coppice wood,51630,356,14.5,0,51.55,14.5
Coppice wood,42119,49686,17.5,0,51.56,17.5
Coppice wood,21037,23544,21.16,0,51.58,21.16
Coppice wood,37005,69169,21.12,0,51.59,21.12
Coppice wood,51003,117358,18.4,0,51.61,18.4
Coppice wood,39003,68,21.62,0,51.62,21.62
Coppice wood,21181,93805,26.93,0,51.63,26.93
Coppice wood,19115,8128,24.48,0,51.73,24.48
Coppice wood,34013,2,26.29,0,51.74,26.29
Coppice wood,51077,692,13.53,0,51.74,13.53
Coppice wood,26025,157080,25.84636204,0,51.74628501,25.84636204
Coppice wood,21015,39667,24.17,0,51.75,24.17
Coppice wood,42071,365691,22.94,0,51.75,22.94
Coppice wood,19125,22017,22.41,0,51.78,22.41
Coppice wood,26059,163787,23.31,0,51.78,23.31
Coppice wood,19075,2625,24.32,0,51.8,24.32
Coppice wood,39139,134050,32.54904812,0,51.8494511,32.54904812
Coppice wood,10005,143667,14.2,0,51.89,14.2
Coppice wood,54103,278,22.62,0,51.96,22.62
Coppice wood,51515,16,26.93,0,51.99,26.93
Coppice wood,18103,3820,22.77,0,52.01,22.77
Coppice wood,42037,6929,24.09,0,52.02,24.09
Coppice wood,31097,899,8.52,0,52.04,8.52
Coppice wood,29227,55449,22.12,0,52.05,22.12
Coppice wood,19111,112375,27.39,0,52.11,27.39
Coppice wood,54091,41495,24.44,0,52.11,24.44
Coppice wood,51540,10,21.38,0,52.12,21.38
Coppice wood,13143,14491,15.88,0,52.14,15.88
Coppice wood,55039,217133,25.66,0,52.15,25.66
Coppice wood,19107,216693,26.17,4.562379403,52.15877218,30.7323794
Coppice wood,18111,146148,24.06,0,52.22,24.06
Coppice wood,17057,280591,28.79,0,52.23,28.79
Coppice wood,18145,132376,31.7,0,52.24,31.7
Coppice wood,36001,22392,23.21,0,52.26,23.21
Coppice wood,42097,83411,18.16,0,52.26,18.16
Coppice wood,36029,81578,22.3,0,52.28,22.3
Coppice wood,29163,137085,16.09,0,52.3,16.09
Coppice wood,19135,42589,26.27,0,52.33,26.27
Coppice wood,21223,4618,30,0,52.33,30
Coppice wood,19087,92700,28.74,0,52.34,28.74
Coppice wood,19039,77375,24.61,0,52.36,24.61
Coppice wood,42085,145800,26,0,52.38,26
Coppice wood,17121,164948,26.53,0,52.41,26.53
Coppice wood,18029,34772,33.13,0,52.45,33.13
Coppice wood,36057,73638,23.59,0,52.45,23.59
Coppice wood,39131,37405,25.64,0,52.46,25.64
Coppice wood,55065,98940,27.37,0,52.46,27.37
Coppice wood,39023,60337,30.78,0,52.49,30.78
Coppice wood,39077,173339,26.04,0,52.5,26.04
Coppice wood,18107,217058,31.03,0,52.5,31.03
Coppice wood,55009,114323,27.14,0,52.52,27.14
Coppice wood,42001,78927,17.05,0,52.54,17.05
Coppice wood,18043,1384,34.37,0,52.61,34.37
Coppice wood,19015,276263,31.37,0,52.71,31.37
Coppice wood,39059,95445,27.29,0,52.71,27.29
Coppice wood,19113,56507,30.37,0,52.75,30.37
Coppice wood,24013,97463,16.67,0,52.78,16.67
Coppice wood,24011,88497,17.33,0,52.79,17.33
Coppice wood,39083,117055,14.9,18.04508581,52.83589509,32.94508581
Coppice wood,21239,127378,33.11336824,0,52.88656691,33.11336824
Coppice wood,51019,172088,26.34,0,52.91,26.34
Coppice wood,36011,135471,24.05,0,53.04,24.05
