feedstock,tillage_type,region_production,region_destination,equipment_group,feedstock_measure,feedstock_amount,unit_numerator,unit_denominator
forest residues,no tillage,05047,29021,south,harvested,4365.5,dry short ton,
forest residues,no tillage,05053,05003,south,harvested,2138.1,dry short ton,
forest residues,no tillage,05049,05063,south,harvested,6520.8,dry short ton,
forest residues,no tillage,05059,48291,south,harvested,837.3,dry short ton,
forest residues,no tillage,05055,05063,south,harvested,2786.8,dry short ton,
forest residues,no tillage,05051,47039,south,harvested,2089.3,dry short ton,
forest residues,no tillage,05067,05063,south,harvested,1311.8,dry short ton,
forest residues,no tillage,05057,48037,south,harvested,783.7,dry short ton,
forest residues,no tillage,05045,05063,south,harvested,116.7,dry short ton,
forest residues,no tillage,05073,48037,south,harvested,203.6,dry short ton,
forest residues,no tillage,05075,05063,south,harvested,3325.1,dry short ton,
forest residues,no tillage,05071,22089,south,harvested,3171.5,dry short ton,
forest residues,no tillage,05079,05107,south,harvested,106.8,dry short ton,
forest residues,no tillage,05081,48037,south,harvested,203.2,dry short ton,
forest residues,no tillage,05061,48037,south,harvested,264.9,dry short ton,
forest residues,no tillage,05077,05107,south,harvested,450.5,dry short ton,
forest residues,no tillage,05065,05063,south,harvested,9904.4,dry short ton,
forest residues,no tillage,05087,48201,south,harvested,8821.1,dry short ton,
forest residues,no tillage,05089,48291,south,harvested,6790.7,dry short ton,
forest residues,no tillage,05091,48037,south,harvested,399.9,dry short ton,
forest residues,no tillage,05095,05041,south,harvested,710.7,dry short ton,
forest residues,no tillage,05097,17075,south,harvested,1175.7,dry short ton,
forest residues,no tillage,05099,47037,south,harvested,1481.8,dry short ton,
forest residues,no tillage,05101,40013,south,harvested,7147.7,dry short ton,
forest residues,no tillage,05103,05003,south,harvested,3164.7,dry short ton,
forest residues,no tillage,05063,05063,south,harvested,6793.4,dry short ton,
forest residues,no tillage,05109,48037,south,harvested,450.5,dry short ton,
forest residues,no tillage,05111,05063,south,harvested,657,dry short ton,
forest residues,no tillage,05113,48037,south,harvested,6832.8,dry short ton,
forest residues,no tillage,05115,29095,south,harvested,3511.1,dry short ton,
forest residues,no tillage,05117,05063,south,harvested,541.3,dry short ton,
forest residues,no tillage,05119,05063,south,harvested,1763.4,dry short ton,
forest residues,no tillage,05121,05063,south,harvested,6237.9,dry short ton,
forest residues,no tillage,05123,05107,south,harvested,919.1,dry short ton,
forest residues,no tillage,05125,18065,south,harvested,2023.9,dry short ton,
forest residues,no tillage,05127,08063,south,harvested,5434.3,dry short ton,
forest residues,no tillage,05083,48279,south,harvested,6198.5,dry short ton,
forest residues,no tillage,05085,05063,south,harvested,1317.3,dry short ton,
forest residues,no tillage,05131,22043,south,harvested,1234.2,dry short ton,
forest residues,no tillage,05133,48037,south,harvested,150.8,dry short ton,
forest residues,no tillage,05135,05063,south,harvested,6393.6,dry short ton,
forest residues,no tillage,05137,05063,south,harvested,10116.4,dry short ton,
forest residues,no tillage,05139,05003,south,harvested,3237.9,dry short ton,
forest residues,no tillage,05141,05063,south,harvested,7677.7,dry short ton,
forest residues,no tillage,05143,47037,south,harvested,9960.7,dry short ton,
forest residues,no tillage,05145,05063,south,harvested,4124.3,dry short ton,
forest residues,no tillage,05129,27063,south,harvested,6415.9,dry short ton,
forest residues,no tillage,08015,08063,inland west,harvested,2954.3,dry short ton,
forest residues,no tillage,08027,35009,inland west,harvested,836.4,dry short ton,
forest residues,no tillage,08029,08063,inland west,harvested,206.6,dry short ton,
forest residues,no tillage,08033,35009,inland west,harvested,158.3,dry short ton,
forest residues,no tillage,08037,04013,inland west,harvested,1493.7,dry short ton,
forest residues,no tillage,08043,20111,inland west,harvested,592.8,dry short ton,
forest residues,no tillage,08045,16075,inland west,harvested,203.8,dry short ton,
forest residues,no tillage,08049,08031,inland west,harvested,3725.9,dry short ton,
forest residues,no tillage,05149,29021,south,harvested,5106,dry short ton,
forest residues,no tillage,08013,08031,inland west,harvested,1696.8,dry short ton,
forest residues,no tillage,18061,05003,north central,harvested,1130,dry short ton,
forest residues,no tillage,18071,29217,north central,harvested,1219,dry short ton,
forest residues,no tillage,18073,17197,north central,harvested,529.6,dry short ton,
forest residues,no tillage,18077,21191,north central,harvested,117,dry short ton,
forest residues,no tillage,18091,26159,north central,harvested,459.1,dry short ton,
forest residues,no tillage,18093,39139,north central,harvested,518.1,dry short ton,
forest residues,no tillage,18105,05003,north central,harvested,798.2,dry short ton,
forest residues,no tillage,18117,21059,north central,harvested,376.3,dry short ton,
forest residues,no tillage,18123,21059,north central,harvested,633.4,dry short ton,
forest residues,no tillage,18125,21059,north central,harvested,30.4,dry short ton,
forest residues,no tillage,18127,26099,north central,harvested,97.1,dry short ton,
forest residues,no tillage,18131,18085,north central,harvested,54.1,dry short ton,
forest residues,no tillage,18149,18085,north central,harvested,388.4,dry short ton,
forest residues,no tillage,18175,17197,north central,harvested,705,dry short ton,
forest residues,no tillage,19039,19099,north central,harvested,89.3,dry short ton,
forest residues,no tillage,19047,19161,north central,harvested,593,dry short ton,
forest residues,no tillage,19053,05003,north central,harvested,305.6,dry short ton,
forest residues,no tillage,19069,19083,north central,harvested,159.2,dry short ton,
forest residues,no tillage,19085,19161,north central,harvested,202.5,dry short ton,
forest residues,no tillage,05105,48439,south,harvested,2595.9,dry short ton,
forest residues,no tillage,05107,05107,south,harvested,677.1,dry short ton,
forest residues,no tillage,19117,19099,north central,harvested,101.6,dry short ton,
forest residues,no tillage,19121,19099,north central,harvested,201.3,dry short ton,
forest residues,no tillage,19125,19099,north central,harvested,160.3,dry short ton,
forest residues,no tillage,19133,19193,north central,harvested,59.2,dry short ton,
forest residues,no tillage,19135,19099,north central,harvested,237.4,dry short ton,
forest residues,no tillage,19159,08063,north central,harvested,85.2,dry short ton,
forest residues,no tillage,19161,19161,north central,harvested,27.7,dry short ton,
forest residues,no tillage,19165,19027,north central,harvested,104.7,dry short ton,
forest residues,no tillage,19181,19099,north central,harvested,136.7,dry short ton,
forest residues,no tillage,19185,19099,north central,harvested,69.2,dry short ton,
forest residues,no tillage,20001,20111,north central,harvested,547.6,dry short ton,
forest residues,no tillage,20011,29217,north central,harvested,1451.5,dry short ton,
forest residues,no tillage,20015,20111,north central,harvested,106.9,dry short ton,
forest residues,no tillage,20021,29217,north central,harvested,1170.8,dry short ton,
forest residues,no tillage,20023,08063,north central,harvested,25.9,dry short ton,
forest residues,no tillage,20035,19099,north central,harvested,772.4,dry short ton,
forest residues,no tillage,20037,29217,north central,harvested,855.9,dry short ton,
forest residues,no tillage,20039,19083,north central,harvested,12.6,dry short ton,
forest residues,no tillage,20045,29021,north central,harvested,199.1,dry short ton,
forest residues,no tillage,20049,20111,north central,harvested,222.7,dry short ton,
forest residues,no tillage,20057,19033,north central,harvested,215.5,dry short ton,
forest residues,no tillage,20061,20111,north central,harvested,50.8,dry short ton,
forest residues,no tillage,20065,38049,north central,harvested,38.5,dry short ton,
forest residues,no tillage,20073,20111,north central,harvested,1548.6,dry short ton,
forest residues,no tillage,20075,19193,north central,harvested,77.6,dry short ton,
forest residues,no tillage,19097,19061,north central,harvested,1.5,dry short ton,
forest residues,no tillage,01001,01073,south,harvested,1251.2,dry short ton,
forest residues,no tillage,01003,01099,south,harvested,3801.4,dry short ton,
forest residues,no tillage,01005,01067,south,harvested,2002.5,dry short ton,
forest residues,no tillage,01007,01073,south,harvested,3775.7,dry short ton,
forest residues,no tillage,01009,01073,south,harvested,2833.2,dry short ton,
forest residues,no tillage,01011,01067,south,harvested,1765.2,dry short ton,
forest residues,no tillage,01013,01099,south,harvested,1136,dry short ton,
forest residues,no tillage,01015,13115,south,harvested,2478.3,dry short ton,
forest residues,no tillage,01017,13063,south,harvested,3455.9,dry short ton,
forest residues,no tillage,01019,01071,south,harvested,3613.5,dry short ton,
forest residues,no tillage,01021,01073,south,harvested,4063.4,dry short ton,
forest residues,no tillage,01023,01099,south,harvested,2355.1,dry short ton,
forest residues,no tillage,01025,01099,south,harvested,5753.7,dry short ton,
forest residues,no tillage,01027,01073,south,harvested,3818.1,dry short ton,
forest residues,no tillage,01029,13115,south,harvested,3567.5,dry short ton,
forest residues,no tillage,01031,01067,south,harvested,863,dry short ton,
forest residues,no tillage,01033,47039,south,harvested,518.3,dry short ton,
forest residues,no tillage,01035,01099,south,harvested,2329.8,dry short ton,
forest residues,no tillage,01037,01073,south,harvested,5161.3,dry short ton,
forest residues,no tillage,01039,01099,south,harvested,3373.4,dry short ton,
forest residues,no tillage,01041,01067,south,harvested,1579.3,dry short ton,
forest residues,no tillage,01043,01083,south,harvested,2422.3,dry short ton,
forest residues,no tillage,01045,01067,south,harvested,3679.3,dry short ton,
forest residues,no tillage,01047,01099,south,harvested,446.3,dry short ton,
forest residues,no tillage,01049,13115,south,harvested,3114.3,dry short ton,
forest residues,no tillage,01051,01073,south,harvested,1740.6,dry short ton,
forest residues,no tillage,01053,01099,south,harvested,636.6,dry short ton,
forest residues,no tillage,01055,13115,south,harvested,2622.9,dry short ton,
forest residues,no tillage,01057,01065,south,harvested,2803.4,dry short ton,
forest residues,no tillage,01059,01083,south,harvested,1202.4,dry short ton,
forest residues,no tillage,01061,01067,south,harvested,1990,dry short ton,
forest residues,no tillage,01063,01065,south,harvested,1209.7,dry short ton,
forest residues,no tillage,01065,01065,south,harvested,790.3,dry short ton,
forest residues,no tillage,01067,01067,south,harvested,1536.3,dry short ton,
forest residues,no tillage,01069,01067,south,harvested,1477.3,dry short ton,
forest residues,no tillage,01071,01071,south,harvested,3327.7,dry short ton,
forest residues,no tillage,01073,01073,south,harvested,8256.6,dry short ton,
forest residues,no tillage,01075,01065,south,harvested,2603.6,dry short ton,
forest residues,no tillage,01077,47039,south,harvested,236.7,dry short ton,
forest residues,no tillage,01079,01073,south,harvested,1675.2,dry short ton,
forest residues,no tillage,01081,01067,south,harvested,4026.5,dry short ton,
forest residues,no tillage,01083,01083,south,harvested,36.6,dry short ton,
forest residues,no tillage,01085,01099,south,harvested,834.4,dry short ton,
forest residues,no tillage,01087,01067,south,harvested,2890.9,dry short ton,
forest residues,no tillage,01089,01071,south,harvested,367.3,dry short ton,
forest residues,no tillage,01091,01099,south,harvested,1622.1,dry short ton,
forest residues,no tillage,01093,01083,south,harvested,2439.1,dry short ton,
forest residues,no tillage,01095,01071,south,harvested,2250.8,dry short ton,
forest residues,no tillage,01097,01099,south,harvested,3375.9,dry short ton,
forest residues,no tillage,01099,01099,south,harvested,2647.6,dry short ton,
forest residues,no tillage,01101,01067,south,harvested,1638.4,dry short ton,
forest residues,no tillage,01103,01083,south,harvested,1184.7,dry short ton,
forest residues,no tillage,01105,01073,south,harvested,304.3,dry short ton,
forest residues,no tillage,01107,01065,south,harvested,5099.3,dry short ton,
forest residues,no tillage,01109,01067,south,harvested,2086.8,dry short ton,
forest residues,no tillage,01111,13115,south,harvested,6304,dry short ton,
forest residues,no tillage,01113,01067,south,harvested,435.1,dry short ton,
forest residues,no tillage,01115,01073,south,harvested,3323.2,dry short ton,
forest residues,no tillage,01117,01065,south,harvested,5087.5,dry short ton,
forest residues,no tillage,01119,01065,south,harvested,1108.7,dry short ton,
forest residues,no tillage,01121,01073,south,harvested,4445.2,dry short ton,
forest residues,no tillage,01123,13115,south,harvested,5618.2,dry short ton,
forest residues,no tillage,01125,01065,south,harvested,10056.6,dry short ton,
forest residues,no tillage,01127,01065,south,harvested,4541.9,dry short ton,
forest residues,no tillage,01129,01099,south,harvested,2916,dry short ton,
forest residues,no tillage,01131,01065,south,harvested,2160.2,dry short ton,
forest residues,no tillage,01133,01073,south,harvested,481.4,dry short ton,
