feedstock,tillage_type,region_production,region_destination,equipment_group,feedstock_measure,unit_numerator,feedstock_amount,unit_denominator,source_lon,source_lat,destination_lon,destination_lat
forest residues,no tillage,01001,01073,south,harvested,acre,1251.20000,,-86.65126,32.50751,-86.86054,33.54472
forest residues,no tillage,01001,01073,south,production,dry short ton,9363.70000,,-86.65126,32.50751,-86.86054,33.54472
forest residues,no tillage,01003,01099,south,harvested,acre,3801.40000,,-87.76263,30.73270,-87.38233,31.52865
forest residues,no tillage,01003,01099,south,production,dry short ton,34269.10000,,-87.76263,30.73270,-87.38233,31.52865
forest residues,no tillage,01005,01067,south,harvested,acre,2002.50000,,-85.39294,31.88281,-85.22845,31.54174
forest residues,no tillage,01005,01067,south,production,dry short ton,16351.80000,,-85.39294,31.88281,-85.22845,31.54174
forest residues,no tillage,01007,01073,south,harvested,acre,3775.70000,,-87.09665,33.03912,-86.86054,33.54472
forest residues,no tillage,01007,01073,south,production,dry short ton,36507.60000,,-87.09665,33.03912,-86.86054,33.54472
forest residues,no tillage,01009,01073,south,harvested,acre,2833.20000,,-86.53357,34.01290,-86.86054,33.54472
forest residues,no tillage,01009,01073,south,production,dry short ton,26590.90000,,-86.53357,34.01290,-86.86054,33.54472
forest residues,no tillage,01011,01067,south,harvested,acre,1765.20000,,-85.71317,32.09294,-85.22845,31.54174
forest residues,no tillage,01011,01067,south,production,dry short ton,13314.80000,,-85.71317,32.09294,-85.22845,31.54174
forest residues,no tillage,01013,01099,south,harvested,acre,1136.00000,,-86.67594,31.74352,-87.38233,31.52865
forest residues,no tillage,01013,01099,south,production,dry short ton,10300.20000,,-86.67594,31.74352,-87.38233,31.52865
forest residues,no tillage,01015,13115,south,harvested,acre,2478.30000,,-85.84203,33.76224,-85.19449,34.33305
forest residues,no tillage,01015,13115,south,production,dry short ton,23491.80000,,-85.84203,33.76224,-85.19449,34.33305
forest residues,no tillage,01017,13063,south,harvested,acre,3455.90000,,-85.39388,32.91893,-84.35204,33.50079
forest residues,no tillage,01017,13063,south,production,dry short ton,34128.60000,,-85.39388,32.91893,-84.35204,33.50079
forest residues,no tillage,01019,01071,south,harvested,acre,3613.50000,,-85.64765,34.23400,-86.03201,34.72746
forest residues,no tillage,01019,01071,south,production,dry short ton,33897.80000,,-85.64765,34.23400,-86.03201,34.72746
forest residues,no tillage,01021,01073,south,harvested,acre,4063.40000,,-86.66484,32.86550,-86.86054,33.54472
forest residues,no tillage,01021,01073,south,production,dry short ton,37822.10000,,-86.66484,32.86550,-86.86054,33.54472
forest residues,no tillage,01023,01099,south,harvested,acre,2355.10000,,-88.28592,32.00448,-87.38233,31.52865
forest residues,no tillage,01023,01099,south,production,dry short ton,20484.80000,,-88.28592,32.00448,-87.38233,31.52865
forest residues,no tillage,01025,01099,south,harvested,acre,5753.70000,,-87.81361,31.58790,-87.38233,31.52865
forest residues,no tillage,01025,01099,south,production,dry short ton,50925.20000,,-87.81361,31.58790,-87.38233,31.52865
forest residues,no tillage,01027,01073,south,harvested,acre,3818.10000,,-85.81546,33.29456,-86.86054,33.54472
forest residues,no tillage,01027,01073,south,production,dry short ton,37454.00000,,-85.81546,33.29456,-86.86054,33.54472
forest residues,no tillage,01029,13115,south,harvested,acre,3567.50000,,-85.49455,33.71674,-85.19449,34.33305
forest residues,no tillage,01029,13115,south,production,dry short ton,33717.20000,,-85.49455,33.71674,-85.19449,34.33305
forest residues,no tillage,01031,01067,south,harvested,acre,863.00000,,-85.99294,31.39905,-85.22845,31.54174
forest residues,no tillage,01031,01067,south,production,dry short ton,7252.60000,,-85.99294,31.39905,-85.22845,31.54174
forest residues,no tillage,01033,47039,south,harvested,acre,518.30000,,-87.59561,34.73654,-88.11233,35.61490
forest residues,no tillage,01033,47039,south,production,dry short ton,4582.60000,,-87.59561,34.73654,-88.11233,35.61490
forest residues,no tillage,01035,01099,south,harvested,acre,2329.80000,,-86.95147,31.46707,-87.38233,31.52865
forest residues,no tillage,01035,01099,south,production,dry short ton,21403.70000,,-86.95147,31.46707,-87.38233,31.52865
forest residues,no tillage,01037,01073,south,harvested,acre,5161.30000,,-86.26186,32.92857,-86.86054,33.54472
forest residues,no tillage,01037,01073,south,production,dry short ton,49535.00000,,-86.26186,32.92857,-86.86054,33.54472
forest residues,no tillage,01039,01099,south,harvested,acre,3373.40000,,-86.44724,31.25820,-87.38233,31.52865
forest residues,no tillage,01039,01099,south,production,dry short ton,28235.10000,,-86.44724,31.25820,-87.38233,31.52865
forest residues,no tillage,01041,01067,south,harvested,acre,1579.30000,,-86.29663,31.74661,-85.22845,31.54174
forest residues,no tillage,01041,01067,south,production,dry short ton,13053.80000,,-86.29663,31.74661,-85.22845,31.54174
forest residues,no tillage,01043,01083,south,harvested,acre,2422.30000,,-86.90442,34.08588,-87.03223,34.77491
forest residues,no tillage,01043,01083,south,production,dry short ton,23079.80000,,-86.90442,34.08588,-87.03223,34.77491
forest residues,no tillage,01045,01067,south,harvested,acre,3679.30000,,-85.60382,31.40937,-85.22845,31.54174
forest residues,no tillage,01045,01067,south,production,dry short ton,34446.60000,,-85.60382,31.40937,-85.22845,31.54174
forest residues,no tillage,01047,01099,south,harvested,acre,446.30000,,-87.12772,32.38839,-87.38233,31.52865
forest residues,no tillage,01047,01099,south,production,dry short ton,3315.60000,,-87.12772,32.38839,-87.38233,31.52865
forest residues,no tillage,01049,13115,south,harvested,acre,3114.30000,,-85.72319,34.52979,-85.19449,34.33305
forest residues,no tillage,01049,13115,south,production,dry short ton,29862.10000,,-85.72319,34.52979,-85.19449,34.33305
forest residues,no tillage,01051,01073,south,harvested,acre,1740.60000,,-86.15190,32.58758,-86.86054,33.54472
forest residues,no tillage,01051,01073,south,production,dry short ton,12983.40000,,-86.15190,32.58758,-86.86054,33.54472
forest residues,no tillage,01053,01099,south,harvested,acre,636.60000,,-87.15806,31.12763,-87.38233,31.52865
