feedstock,tillage_type,region_production,region_destination,equipment_group,feedstock_measure,unit_numerator,feedstock_amount,unit_denominator,source_lon,source_lat,destination_lon,destination_lat
forest residues,no tillage,01001,01073,south,harvested,acre,3906.00000,,-86.65126,32.50751,-86.86054,33.54472
forest residues,no tillage,01001,01073,south,production,dry short ton,12602.30000,,-86.65126,32.50751,-86.86054,33.54472
forest residues,no tillage,01003,01099,south,harvested,acre,15612.60000,,-87.76263,30.73270,-87.38233,31.52865
forest residues,no tillage,01003,01099,south,production,dry short ton,44970.20000,,-87.76263,30.73270,-87.38233,31.52865
forest residues,no tillage,01005,01067,south,harvested,acre,5536.90000,,-85.39294,31.88281,-85.22845,31.54174
forest residues,no tillage,01005,01067,south,production,dry short ton,14293.20000,,-85.39294,31.88281,-85.22845,31.54174
forest residues,no tillage,01007,01073,south,harvested,acre,5527.50000,,-87.09665,33.03912,-86.86054,33.54472
forest residues,no tillage,01007,01073,south,production,dry short ton,27711.50000,,-87.09665,33.03912,-86.86054,33.54472
forest residues,no tillage,01009,01073,south,harvested,acre,4449.70000,,-86.53357,34.01290,-86.86054,33.54472
forest residues,no tillage,01009,01073,south,production,dry short ton,15141.40000,,-86.53357,34.01290,-86.86054,33.54472
forest residues,no tillage,01011,01067,south,harvested,acre,4084.80000,,-85.71317,32.09294,-85.22845,31.54174
forest residues,no tillage,01011,01067,south,production,dry short ton,15774.40000,,-85.71317,32.09294,-85.22845,31.54174
forest residues,no tillage,01013,01099,south,harvested,acre,8345.10000,,-86.67594,31.74352,-87.38233,31.52865
forest residues,no tillage,01013,01099,south,production,dry short ton,22332.50000,,-86.67594,31.74352,-87.38233,31.52865
forest residues,no tillage,01015,13115,south,harvested,acre,4087.30000,,-85.84203,33.76224,-85.19449,34.33305
forest residues,no tillage,01015,13115,south,production,dry short ton,13893.50000,,-85.84203,33.76224,-85.19449,34.33305
forest residues,no tillage,01017,13063,south,harvested,acre,5409.20000,,-85.39388,32.91893,-84.35204,33.50079
forest residues,no tillage,01017,13063,south,production,dry short ton,18831.80000,,-85.39388,32.91893,-84.35204,33.50079
forest residues,no tillage,01019,01071,south,harvested,acre,3548.80000,,-85.64765,34.23400,-86.03201,34.72746
forest residues,no tillage,01019,01071,south,production,dry short ton,14255.80000,,-85.64765,34.23400,-86.03201,34.72746
forest residues,no tillage,01021,01073,south,harvested,acre,8583.30000,,-86.66484,32.86550,-86.86054,33.54472
forest residues,no tillage,01021,01073,south,production,dry short ton,35124.60000,,-86.66484,32.86550,-86.86054,33.54472
forest residues,no tillage,01023,01099,south,harvested,acre,6288.70000,,-88.28592,32.00448,-87.38233,31.52865
forest residues,no tillage,01023,01099,south,production,dry short ton,21487.20000,,-88.28592,32.00448,-87.38233,31.52865
forest residues,no tillage,01025,01099,south,harvested,acre,8233.50000,,-87.81361,31.58790,-87.38233,31.52865
forest residues,no tillage,01025,01099,south,production,dry short ton,32358.70000,,-87.81361,31.58790,-87.38233,31.52865
forest residues,no tillage,01027,01073,south,harvested,acre,9888.40000,,-85.81546,33.29456,-86.86054,33.54472
forest residues,no tillage,01027,01073,south,production,dry short ton,42892.30000,,-85.81546,33.29456,-86.86054,33.54472
forest residues,no tillage,01029,13115,south,harvested,acre,4162.40000,,-85.49455,33.71674,-85.19449,34.33305
forest residues,no tillage,01029,13115,south,production,dry short ton,15031.70000,,-85.49455,33.71674,-85.19449,34.33305
forest residues,no tillage,01031,01067,south,harvested,acre,4088.30000,,-85.99294,31.39905,-85.22845,31.54174
forest residues,no tillage,01031,01067,south,production,dry short ton,13755.70000,,-85.99294,31.39905,-85.22845,31.54174
forest residues,no tillage,01033,47039,south,harvested,acre,4096.60000,,-87.59561,34.73654,-88.11233,35.61490
forest residues,no tillage,01033,47039,south,production,dry short ton,13016.70000,,-87.59561,34.73654,-88.11233,35.61490
forest residues,no tillage,01035,01099,south,harvested,acre,4428.80000,,-86.95147,31.46707,-87.38233,31.52865
forest residues,no tillage,01035,01099,south,production,dry short ton,14009.20000,,-86.95147,31.46707,-87.38233,31.52865
forest residues,no tillage,01037,01073,south,harvested,acre,7725.40000,,-86.26186,32.92857,-86.86054,33.54472
forest residues,no tillage,01037,01073,south,production,dry short ton,31863.60000,,-86.26186,32.92857,-86.86054,33.54472
forest residues,no tillage,01039,01099,south,harvested,acre,8993.80000,,-86.44724,31.25820,-87.38233,31.52865
forest residues,no tillage,01039,01099,south,production,dry short ton,30474.20000,,-86.44724,31.25820,-87.38233,31.52865
forest residues,no tillage,01041,01067,south,harvested,acre,4348.40000,,-86.29663,31.74661,-85.22845,31.54174
forest residues,no tillage,01041,01067,south,production,dry short ton,13612.90000,,-86.29663,31.74661,-85.22845,31.54174
forest residues,no tillage,01043,01083,south,harvested,acre,4865.30000,,-86.90442,34.08588,-87.03223,34.77491
forest residues,no tillage,01043,01083,south,production,dry short ton,16045.80000,,-86.90442,34.08588,-87.03223,34.77491
forest residues,no tillage,01045,01067,south,harvested,acre,4358.10000,,-85.60382,31.40937,-85.22845,31.54174
forest residues,no tillage,01045,01067,south,production,dry short ton,18873.20000,,-85.60382,31.40937,-85.22845,31.54174
forest residues,no tillage,01047,01099,south,harvested,acre,4642.30000,,-87.12772,32.38839,-87.38233,31.52865
forest residues,no tillage,01047,01099,south,production,dry short ton,12637.60000,,-87.12772,32.38839,-87.38233,31.52865
forest residues,no tillage,01049,13115,south,harvested,acre,3167.10000,,-85.72319,34.52979,-85.19449,34.33305
forest residues,no tillage,01049,13115,south,production,dry short ton,9639.20000,,-85.72319,34.52979,-85.19449,34.33305
forest residues,no tillage,01051,01073,south,harvested,acre,5637.20000,,-86.15190,32.58758,-86.86054,33.54472
forest residues,no tillage,01051,01073,south,production,dry short ton,20482.20000,,-86.15190,32.58758,-86.86054,33.54472
forest residues,no tillage,01053,01099,south,harvested,acre,6872.70000,,-87.15806,31.12763,-87.38233,31.52865
forest residues,no tillage,01053,01099,south,production,dry short ton,16683.70000,,-87.15806,31.12763,-87.38233,31.52865
forest residues,no tillage,01055,13115,south,harvested,acre,2134.50000,,-86.04330,34.02112,-85.19449,34.33305
forest residues,no tillage,01055,13115,south,production,dry short ton,8417.80000,,-86.04330,34.02112,-85.19449,34.33305
forest residues,no tillage,01057,01065,south,harvested,acre,6740.60000,,-87.73851,33.72058,-87.63819,32.74414
forest residues,no tillage,01057,01065,south,production,dry short ton,25088.00000,,-87.73851,33.72058,-87.63819,32.74414
forest residues,no tillage,01059,01083,south,harvested,acre,6831.50000,,-87.84456,34.44305,-87.03223,34.77491
forest residues,no tillage,01059,01083,south,production,dry short ton,21952.10000,,-87.84456,34.44305,-87.03223,34.77491
forest residues,no tillage,01061,01067,south,harvested,acre,3239.50000,,-85.83901,31.09625,-85.22845,31.54174
forest residues,no tillage,01061,01067,south,production,dry short ton,10572.80000,,-85.83901,31.09625,-85.22845,31.54174
forest residues,no tillage,01063,01065,south,harvested,acre,5514.90000,,-88.00016,32.83566,-87.63819,32.74414
forest residues,no tillage,01063,01065,south,production,dry short ton,17167.40000,,-88.00016,32.83566,-87.63819,32.74414
forest residues,no tillage,01065,01065,south,harvested,acre,4478.40000,,-87.63819,32.74414,-87.63819,32.74414
forest residues,no tillage,01065,01065,south,production,dry short ton,14250.90000,,-87.63819,32.74414,-87.63819,32.74414
forest residues,no tillage,01067,01067,south,harvested,acre,4974.80000,,-85.22845,31.54174,-85.22845,31.54174
forest residues,no tillage,01067,01067,south,production,dry short ton,15603.00000,,-85.22845,31.54174,-85.22845,31.54174
forest residues,no tillage,01069,01067,south,harvested,acre,4894.90000,,-85.28093,31.15619,-85.22845,31.54174
forest residues,no tillage,01069,01067,south,production,dry short ton,15578.30000,,-85.28093,31.15619,-85.22845,31.54174
forest residues,no tillage,01071,01071,south,harvested,acre,3495.90000,,-86.03201,34.72746,-86.03201,34.72746
forest residues,no tillage,01071,01071,south,production,dry short ton,13267.90000,,-86.03201,34.72746,-86.03201,34.72746
forest residues,no tillage,01073,01073,south,harvested,acre,10991.80000,,-86.86054,33.54472,-86.86054,33.54472
forest residues,no tillage,01073,01073,south,production,dry short ton,50200.80000,,-86.86054,33.54472,-86.86054,33.54472
forest residues,no tillage,01075,01065,south,harvested,acre,5634.20000,,-88.09665,33.79292,-87.63819,32.74414
forest residues,no tillage,01075,01065,south,production,dry short ton,21953.50000,,-88.09665,33.79292,-87.63819,32.74414
forest residues,no tillage,01077,47039,south,harvested,acre,1918.60000,,-87.58445,34.87005,-88.11233,35.61490
forest residues,no tillage,01077,47039,south,production,dry short ton,6683.80000,,-87.58445,34.87005,-88.11233,35.61490
forest residues,no tillage,01079,01073,south,harvested,acre,2864.60000,,-87.31820,34.55082,-86.86054,33.54472
forest residues,no tillage,01079,01073,south,production,dry short ton,10427.00000,,-87.31820,34.55082,-86.86054,33.54472
forest residues,no tillage,01081,01067,south,harvested,acre,7725.50000,,-85.36126,32.57776,-85.22845,31.54174
forest residues,no tillage,01081,01067,south,production,dry short ton,32483.10000,,-85.36126,32.57776,-85.22845,31.54174
forest residues,no tillage,01083,01083,south,harvested,acre,549.70000,,-87.03223,34.77491,-87.03223,34.77491
forest residues,no tillage,01083,01083,south,production,dry short ton,2167.40000,,-87.03223,34.77491,-87.03223,34.77491
forest residues,no tillage,01085,01099,south,harvested,acre,5250.30000,,-86.65809,32.18417,-87.38233,31.52865
forest residues,no tillage,01085,01099,south,production,dry short ton,15734.90000,,-86.65809,32.18417,-87.38233,31.52865
forest residues,no tillage,01087,01067,south,harvested,acre,4644.50000,,-85.72758,32.41378,-85.22845,31.54174
forest residues,no tillage,01087,01067,south,production,dry short ton,17942.90000,,-85.72758,32.41378,-85.22845,31.54174
forest residues,no tillage,01089,01071,south,harvested,acre,827.50000,,-86.57222,34.73390,-86.03201,34.72746
forest residues,no tillage,01089,01071,south,production,dry short ton,3742.50000,,-86.57222,34.73390,-86.03201,34.72746
forest residues,no tillage,01091,01099,south,harvested,acre,6283.20000,,-87.76120,32.26860,-87.38233,31.52865
forest residues,no tillage,01091,01099,south,production,dry short ton,19303.40000,,-87.76120,32.26860,-87.38233,31.52865
forest residues,no tillage,01093,01083,south,harvested,acre,8631.30000,,-87.91824,34.11813,-87.03223,34.77491
forest residues,no tillage,01093,01083,south,production,dry short ton,30299.80000,,-87.91824,34.11813,-87.03223,34.77491
forest residues,no tillage,01095,01071,south,harvested,acre,721.70000,,-86.34538,34.34862,-86.03201,34.72746
forest residues,no tillage,01095,01071,south,production,dry short ton,3912.20000,,-86.34538,34.34862,-86.03201,34.72746
forest residues,no tillage,01097,01099,south,harvested,acre,5247.30000,,-88.19926,30.65817,-87.38233,31.52865
forest residues,no tillage,01097,01099,south,production,dry short ton,18137.40000,,-88.19926,30.65817,-87.38233,31.52865
forest residues,no tillage,01099,01099,south,harvested,acre,8221.40000,,-87.38233,31.52865,-87.38233,31.52865
forest residues,no tillage,01099,01099,south,production,dry short ton,22827.90000,,-87.38233,31.52865,-87.38233,31.52865
forest residues,no tillage,01101,01067,south,harvested,acre,2760.80000,,-86.20386,32.23350,-85.22845,31.54174
forest residues,no tillage,01101,01067,south,production,dry short ton,11426.60000,,-86.20386,32.23350,-85.22845,31.54174
forest residues,no tillage,01103,01083,south,harvested,acre,2083.40000,,-86.83417,34.49320,-87.03223,34.77491
forest residues,no tillage,01103,01083,south,production,dry short ton,9804.10000,,-86.83417,34.49320,-87.03223,34.77491
forest residues,no tillage,01105,01073,south,harvested,acre,3805.00000,,-87.28869,32.59118,-86.86054,33.54472
forest residues,no tillage,01105,01073,south,production,dry short ton,10178.30000,,-87.28869,32.59118,-86.86054,33.54472
forest residues,no tillage,01107,01065,south,harvested,acre,7685.20000,,-88.07266,33.26642,-87.63819,32.74414
forest residues,no tillage,01107,01065,south,production,dry short ton,33656.30000,,-88.07266,33.26642,-87.63819,32.74414
forest residues,no tillage,01109,01067,south,harvested,acre,4675.40000,,-85.92795,31.83922,-85.22845,31.54174
forest residues,no tillage,01109,01067,south,production,dry short ton,15143.10000,,-85.92795,31.83922,-85.22845,31.54174
forest residues,no tillage,01111,13115,south,harvested,acre,9263.10000,,-85.46022,33.30463,-85.19449,34.33305
forest residues,no tillage,01111,13115,south,production,dry short ton,38832.60000,,-85.46022,33.30463,-85.19449,34.33305
forest residues,no tillage,01113,01067,south,harvested,acre,6475.30000,,-85.17884,32.28585,-85.22845,31.54174
forest residues,no tillage,01113,01067,south,production,dry short ton,19154.50000,,-85.17884,32.28585,-85.22845,31.54174
forest residues,no tillage,01115,01073,south,harvested,acre,6598.20000,,-86.36469,33.69081,-86.86054,33.54472
forest residues,no tillage,01115,01073,south,production,dry short ton,22527.30000,,-86.36469,33.69081,-86.86054,33.54472
forest residues,no tillage,01117,01065,south,harvested,acre,6549.40000,,-86.67993,33.28243,-87.63819,32.74414
forest residues,no tillage,01117,01065,south,production,dry short ton,32268.60000,,-86.67993,33.28243,-87.63819,32.74414
forest residues,no tillage,01119,01065,south,harvested,acre,6293.30000,,-88.21733,32.65071,-87.63819,32.74414
forest residues,no tillage,01119,01065,south,production,dry short ton,20211.80000,,-88.21733,32.65071,-87.63819,32.74414
forest residues,no tillage,01121,01073,south,harvested,acre,5275.20000,,-86.14672,33.40010,-86.86054,33.54472
forest residues,no tillage,01121,01073,south,production,dry short ton,24453.70000,,-86.14672,33.40010,-86.86054,33.54472
forest residues,no tillage,01123,13115,south,harvested,acre,10140.60000,,-85.79777,32.80018,-85.19449,34.33305
forest residues,no tillage,01123,13115,south,production,dry short ton,42405.30000,,-85.79777,32.80018,-85.19449,34.33305
forest residues,no tillage,01125,01065,south,harvested,acre,12077.80000,,-87.50007,33.30761,-87.63819,32.74414
forest residues,no tillage,01125,01065,south,production,dry short ton,56939.70000,,-87.50007,33.30761,-87.63819,32.74414
forest residues,no tillage,01127,01065,south,harvested,acre,7989.00000,,-87.27660,33.75954,-87.63819,32.74414
forest residues,no tillage,01127,01065,south,production,dry short ton,31749.50000,,-87.27660,33.75954,-87.63819,32.74414
