feedstock,tillage_type,region_production,region_destination,equipment_group,feedstock_measure,feedstock_amount,unit_numerator,unit_denominator
forest residues,no tillage,05047,29021,south,harvested,3525.4,dry short ton,
forest residues,no tillage,05053,05003,south,harvested,7528.5,dry short ton,
forest residues,no tillage,05049,05063,south,harvested,6477.6,dry short ton,
forest residues,no tillage,05061,48037,south,harvested,3154.5,dry short ton,
forest residues,no tillage,05055,05063,south,harvested,349.4,dry short ton,
forest residues,no tillage,05051,47039,south,harvested,5504.4,dry short ton,
forest residues,no tillage,05059,48291,south,harvested,3826.5,dry short ton,
forest residues,no tillage,05067,05063,south,harvested,326.2,dry short ton,
forest residues,no tillage,05069,05041,south,harvested,1872.3,dry short ton,
forest residues,no tillage,05057,48037,south,harvested,4221,dry short ton,
forest residues,no tillage,05073,48037,south,harvested,1415.6,dry short ton,
forest residues,no tillage,05075,05063,south,harvested,446.8,dry short ton,
forest residues,no tillage,05071,22089,south,harvested,3123.7,dry short ton,
forest residues,no tillage,05081,48037,south,harvested,3472.6,dry short ton,
forest residues,no tillage,05077,05107,south,harvested,415,dry short ton,
forest residues,no tillage,05079,05107,south,harvested,1744.2,dry short ton,
forest residues,no tillage,05087,48201,south,harvested,4204.5,dry short ton,
forest residues,no tillage,05089,48291,south,harvested,6180.5,dry short ton,
forest residues,no tillage,05091,48037,south,harvested,958.4,dry short ton,
forest residues,no tillage,05095,05041,south,harvested,217.9,dry short ton,
forest residues,no tillage,05097,17075,south,harvested,3117.8,dry short ton,
forest residues,no tillage,05099,47037,south,harvested,4845.2,dry short ton,
forest residues,no tillage,05101,40013,south,harvested,2000.6,dry short ton,
forest residues,no tillage,05103,05003,south,harvested,5410.8,dry short ton,
forest residues,no tillage,05083,48279,south,harvested,6108.2,dry short ton,
forest residues,no tillage,05063,05063,south,harvested,1839.7,dry short ton,
forest residues,no tillage,05065,05063,south,harvested,7394.6,dry short ton,
forest residues,no tillage,05111,05063,south,harvested,541.1,dry short ton,
forest residues,no tillage,05113,48037,south,harvested,6342,dry short ton,
forest residues,no tillage,05115,29095,south,harvested,4396,dry short ton,
forest residues,no tillage,05119,05063,south,harvested,3157.8,dry short ton,
forest residues,no tillage,05121,05063,south,harvested,1980.6,dry short ton,
forest residues,no tillage,05125,18065,south,harvested,4835.4,dry short ton,
forest residues,no tillage,05127,08063,south,harvested,5398.9,dry short ton,
forest residues,no tillage,05085,05063,south,harvested,366.2,dry short ton,
forest residues,no tillage,05109,48037,south,harvested,5543,dry short ton,
forest residues,no tillage,05133,48037,south,harvested,2842.1,dry short ton,
forest residues,no tillage,05135,05063,south,harvested,8203.9,dry short ton,
forest residues,no tillage,05137,05063,south,harvested,6869.1,dry short ton,
forest residues,no tillage,05139,05003,south,harvested,7324.3,dry short ton,
forest residues,no tillage,05141,05063,south,harvested,7838.1,dry short ton,
forest residues,no tillage,05143,47037,south,harvested,4902.4,dry short ton,
forest residues,no tillage,05145,05063,south,harvested,2192.8,dry short ton,
forest residues,no tillage,05147,05063,south,harvested,1002.9,dry short ton,
forest residues,no tillage,05149,29021,south,harvested,6983.8,dry short ton,
forest residues,no tillage,05129,27063,south,harvested,5603.8,dry short ton,
forest residues,no tillage,05131,22043,south,harvested,2607.1,dry short ton,
forest residues,no tillage,08015,08063,inland west,harvested,1317.4,dry short ton,
forest residues,no tillage,08027,35009,inland west,harvested,245.9,dry short ton,
forest residues,no tillage,08037,04013,inland west,harvested,590.7,dry short ton,
forest residues,no tillage,08043,20111,inland west,harvested,283.3,dry short ton,
forest residues,no tillage,08049,08031,inland west,harvested,1473.5,dry short ton,
forest residues,no tillage,08051,08063,inland west,harvested,2333.5,dry short ton,
forest residues,no tillage,08013,08031,inland west,harvested,1531.4,dry short ton,
forest residues,no tillage,05045,05063,south,harvested,2319.6,dry short ton,
forest residues,no tillage,18047,39061,north central,harvested,177.3,dry short ton,
forest residues,no tillage,18061,05003,north central,harvested,1313.7,dry short ton,
forest residues,no tillage,18069,18085,north central,harvested,38.3,dry short ton,
forest residues,no tillage,18071,29217,north central,harvested,1408.2,dry short ton,
forest residues,no tillage,18073,17197,north central,harvested,890.3,dry short ton,
forest residues,no tillage,18077,21191,north central,harvested,71.1,dry short ton,
forest residues,no tillage,18085,18085,north central,harvested,51.8,dry short ton,
forest residues,no tillage,18087,18085,north central,harvested,50.8,dry short ton,
forest residues,no tillage,18089,17197,north central,harvested,131.9,dry short ton,
forest residues,no tillage,18091,26159,north central,harvested,763.8,dry short ton,
forest residues,no tillage,18093,39139,north central,harvested,682.8,dry short ton,
forest residues,no tillage,18105,05003,north central,harvested,974,dry short ton,
forest residues,no tillage,18111,18171,north central,harvested,241.7,dry short ton,
