feedstock,tillage_type,region_production,region_destination,equipment_group,feedstock_measure,unit_numerator,feedstock_amount,unit_denominator,source_lon,source_lat,destination_lon,destination_lat
forest residues,no tillage,01001,01073,south,harvested,acre,3909.80000,,-86.65126,32.50751,-86.86054,33.54472
forest residues,no tillage,01001,01073,south,production,dry short ton,12809.10000,,-86.65126,32.50751,-86.86054,33.54472
forest residues,no tillage,01003,01099,south,harvested,acre,15935.10000,,-87.76263,30.73270,-87.38233,31.52865
forest residues,no tillage,01003,01099,south,production,dry short ton,45339.50000,,-87.76263,30.73270,-87.38233,31.52865
forest residues,no tillage,01005,01067,south,harvested,acre,5292.10000,,-85.39294,31.88281,-85.22845,31.54174
forest residues,no tillage,01005,01067,south,production,dry short ton,13775.50000,,-85.39294,31.88281,-85.22845,31.54174
forest residues,no tillage,01007,01073,south,harvested,acre,5018.00000,,-87.09665,33.03912,-86.86054,33.54472
forest residues,no tillage,01007,01073,south,production,dry short ton,24395.90000,,-87.09665,33.03912,-86.86054,33.54472
forest residues,no tillage,01009,01073,south,harvested,acre,4990.70000,,-86.53357,34.01290,-86.86054,33.54472
forest residues,no tillage,01009,01073,south,production,dry short ton,16797.80000,,-86.53357,34.01290,-86.86054,33.54472
forest residues,no tillage,01011,01067,south,harvested,acre,4119.80000,,-85.71317,32.09294,-85.22845,31.54174
forest residues,no tillage,01011,01067,south,production,dry short ton,16039.20000,,-85.71317,32.09294,-85.22845,31.54174
forest residues,no tillage,01013,01099,south,harvested,acre,8509.50000,,-86.67594,31.74352,-87.38233,31.52865
forest residues,no tillage,01013,01099,south,production,dry short ton,22623.50000,,-86.67594,31.74352,-87.38233,31.52865
forest residues,no tillage,01015,13115,south,harvested,acre,3712.90000,,-85.84203,33.76224,-85.19449,34.33305
forest residues,no tillage,01015,13115,south,production,dry short ton,13157.00000,,-85.84203,33.76224,-85.19449,34.33305
forest residues,no tillage,01017,13063,south,harvested,acre,5565.60000,,-85.39388,32.91893,-84.35204,33.50079
forest residues,no tillage,01017,13063,south,production,dry short ton,19206.70000,,-85.39388,32.91893,-84.35204,33.50079
forest residues,no tillage,01019,01071,south,harvested,acre,3202.40000,,-85.64765,34.23400,-86.03201,34.72746
forest residues,no tillage,01019,01071,south,production,dry short ton,13695.40000,,-85.64765,34.23400,-86.03201,34.72746
forest residues,no tillage,01021,01073,south,harvested,acre,8447.40000,,-86.66484,32.86550,-86.86054,33.54472
forest residues,no tillage,01021,01073,south,production,dry short ton,33539.40000,,-86.66484,32.86550,-86.86054,33.54472
forest residues,no tillage,01023,01099,south,harvested,acre,6297.40000,,-88.28592,32.00448,-87.38233,31.52865
forest residues,no tillage,01023,01099,south,production,dry short ton,21319.90000,,-88.28592,32.00448,-87.38233,31.52865
forest residues,no tillage,01025,01099,south,harvested,acre,8241.80000,,-87.81361,31.58790,-87.38233,31.52865
forest residues,no tillage,01025,01099,south,production,dry short ton,31920.70000,,-87.81361,31.58790,-87.38233,31.52865
forest residues,no tillage,01027,01073,south,harvested,acre,9516.40000,,-85.81546,33.29456,-86.86054,33.54472
forest residues,no tillage,01027,01073,south,production,dry short ton,39805.20000,,-85.81546,33.29456,-86.86054,33.54472
forest residues,no tillage,01029,13115,south,harvested,acre,4030.20000,,-85.49455,33.71674,-85.19449,34.33305
forest residues,no tillage,01029,13115,south,production,dry short ton,15203.10000,,-85.49455,33.71674,-85.19449,34.33305
forest residues,no tillage,01031,01067,south,harvested,acre,4122.00000,,-85.99294,31.39905,-85.22845,31.54174
forest residues,no tillage,01031,01067,south,production,dry short ton,13957.90000,,-85.99294,31.39905,-85.22845,31.54174
forest residues,no tillage,01033,47039,south,harvested,acre,4010.90000,,-87.59561,34.73654,-88.11233,35.61490
forest residues,no tillage,01033,47039,south,production,dry short ton,12702.10000,,-87.59561,34.73654,-88.11233,35.61490
forest residues,no tillage,01035,01099,south,harvested,acre,4389.40000,,-86.95147,31.46707,-87.38233,31.52865
forest residues,no tillage,01035,01099,south,production,dry short ton,13618.10000,,-86.95147,31.46707,-87.38233,31.52865
forest residues,no tillage,01037,01073,south,harvested,acre,7708.50000,,-86.26186,32.92857,-86.86054,33.54472
