fips,category,nox,so2,pm10_primary,pm25_primary,voc,nh3,co
10001,Selective NR,259.3697859,0.587573775,20.54738828,19.94122162,33.68263699,0.216263316,435.0138966
10001,Selective P,10.8836045,0.7237813,0.11052258,0.08786949,0.68297397,0.2615336,10.3942396
10003,Selective NR,256.5848708,0.712777668,14.72211044,14.32721031,45.4270849,0.166286158,912.4377558
10003,Selective P,422.1071665,345.5019615,35.43873493,25.98670312,12.29996624,9.161272,200.514659
10005,Selective NR,505.9767681,1.234272607,36.34389345,35.29820217,73.74968071,0.389980372,1168.447529
10005,Selective P,41.488607,63.1620848,12.22575647,8.166137412,2.15179241,0.3578324,32.9451185
11001,Selective NR,82.30668435,0.255722673,3.585494555,3.500408712,17.10148238,0.043723788,392.2410955
11001,Selective P,212.9919152,7.16247682,12.3825455,12.1274782,8.463,0,129.914722
12001,Selective NR,109.4701862,0.283620433,7.228461523,7.024571029,19.73906916,0.080702515,354.7419255
12003,Selective NR,6.178010068,0.017181094,0.379335712,0.36822567,2.436482217,0.005434322,51.24662264
12005,Selective NR,40.51334183,0.125154033,1.838244434,1.792791261,10.09240907,0.023767891,229.2128939
12005,Selective P,587.4686,1262.650319,142.4268948,142.4023038,68.619177,1.397581,1199.270616
12007,Selective NR,11.87862951,0.029604312,0.851954727,0.826818008,3.056545195,0.01026823,56.73355983
12007,Selective P,4.39,3.8,0.8750073,0.81574319,0.19,,3.04
12009,Selective NR,222.5660585,0.670191074,10.694317,10.42797071,44.70072447,0.126874244,984.6355406
12009,Selective P,4.267138,0.059267,0.8384773,0.8324916,0.229316,,3.511075
12011,Selective NR,369.7472498,1.145931934,16.42065588,16.02749072,77.00851784,0.199355124,1754.019603
12011,Selective P,6.19418,0.037547,0.9485038,0.9484198,0.336155,,3.76271
12013,Selective NR,28.81694407,0.061976417,2.452727042,2.378486007,4.910474727,0.026700523,66.02555187
12015,Selective NR,35.98002809,0.082407997,2.822949661,2.739917078,4.910453903,0.029733085,62.98083971
12017,Selective NR,13.37048534,0.03578595,0.835982358,0.812761939,2.575495364,0.009513872,48.82811333
12019,Selective NR,22.90478352,0.067701922,1.17575036,1.144899816,5.767911622,0.014887892,125.4077148
12021,Selective NR,58.06669495,0.151246092,3.787466575,3.681550504,9.549230968,0.041497819,169.0646584
12023,Selective NR,25.2674359,0.065419119,1.69731164,1.64836068,6.111443411,0.020314805,116.3508344
12027,Selective NR,125.0746528,0.26046407,10.90650308,10.57797193,14.6720202,0.112539643,121.5907127
