feed_id,sply_fips,used_qnty,avg_flddep_dist,avg_depref_dist,avg_total_cost
SRWC - coppice,21069,133072,0,0,49.84
SRWC - coppice,19057,18359,0,3.313400512,49.94449752
SRWC - coppice,21113,93162,8.54,0,50.63
SRWC - coppice,42121,17726,5.75,0,50.66
SRWC - coppice,55071,16330,3.29,0,51.16
SRWC - coppice,26023,129990,5.37,0,51.42
SRWC - coppice,18097,8779,14.45,0,52.01
SRWC - coppice,21079,106544,13.63,0,52.56
SRWC - coppice,42069,4240,9.16,0,52.85
SRWC - coppice,21081,79991,15.83,0,52.92
SRWC - coppice,21021,76569,16.33,0,53.05
SRWC - coppice,18077,77280,17.43,0,53.18
SRWC - coppice,19157,61115,17.81,0,53.26
SRWC - coppice,18057,4316,18.14,0,53.41
SRWC - coppice,18027,17322,17.45,0,53.48
SRWC - coppice,18143,13262,20.65,0,53.57
SRWC - coppice,18063,115047,22.82,0,53.74
SRWC - coppice,17071,13000,16.39,0,53.88
SRWC - coppice,18019,58218,19.1,0,53.9
SRWC - coppice,25021,50,9.66,0,54.13
SRWC - coppice,54033,72939,10.52,0,54.17
SRWC - coppice,29173,65267,5.2,0,54.35
SRWC - coppice,21067,104629,24.12,0,54.37
SRWC - coppice,21137,167931,23.36,0,54.46
SRWC - coppice,42099,49513,10.52,0,54.49
SRWC - coppice,39067,59699,15.74,0,54.66
SRWC - coppice,19185,67978,18.35,0,54.93
SRWC - coppice,21161,84895,23.49,0,55.02
SRWC - coppice,34039,1,24.61,0,55.05
SRWC - coppice,39079,34387,15.93,0,55.05
SRWC - coppice,19095,74491,25.4,0,55.06
SRWC - coppice,18059,43,32.83,0,55.08
SRWC - coppice,51161,978,13.4,0,55.09
SRWC - coppice,21167,142769,26.09,0,55.19
SRWC - coppice,39139,69213,30.83,0,55.24
SRWC - coppice,54049,29420,16.25,0,55.26
SRWC - coppice,39013,80126,21.69,0,55.39
SRWC - coppice,19107,178911,26.17,0,55.4
SRWC - coppice,34013,2,26.29,0,55.41
SRWC - coppice,36053,86770,20.74,0,55.42
SRWC - coppice,21181,82407,26.93,0,55.7
SRWC - coppice,39053,56265,16.12,0,55.72
Residues,13167,5076,0,0,55.72
Residues,48315,8615,0,0,55.77
Residues,5135,1220,0,0,55.91
SRWC - coppice,19111,98425,27.39,0,56.07
SRWC - coppice,19115,5818,24.48,0,56.09
SRWC - coppice,18023,3135,28.63,0,56.11
SRWC - coppice,51515,12,26.93,0,56.21
SRWC - coppice,42043,19777,21.59,0,56.27
SRWC - coppice,21223,9955,30,0,56.32
SRWC - coppice,54103,186,22.62,0,56.47
SRWC - coppice,51003,101444,18.4,0,56.49
SRWC - coppice,54091,33835,24.44,0,56.5
SRWC - coppice,18043,1212,34.37,0,56.53
SRWC - coppice,42085,45254,26,0,56.56
Residues,28035,11953,3.16,0,56.6
SRWC - coppice,21239,105767,32.27,0,56.62
Residues,48315,4275,0,0,56.69177544
Residues,5135,4827,0,0,56.72
SRWC - coppice,19135,25688,26.27,0,56.77
SRWC - coppice,29227,7936,22.12,0,56.77
SRWC - coppice,51630,31,14.5,0,56.8
SRWC - coppice,19123,142250,32.73,0,56.9
Residues,51125,872,3.72,0,56.92
SRWC - coppice,18101,25857,36.6,0,56.96
SRWC - coppice,21017,221449,36.16368568,0,56.99677077
SRWC - coppice,50015,127,12.28,0,57.07
SRWC - coppice,39059,55092,27.29,0,57.36
Residues,48201,12183,7,0,57.37
SRWC - coppice,55015,5995,29.47,0,57.43
Residues,48201,3736,7,0,57.45
SRWC - coppice,42127,39412,31.86,0,57.45
Residues,51183,16815,7.75,0,57.52
Residues,21069,6390,0,0,57.54
SRWC - coppice,51019,134128,26.34,0,57.56
Residues,28035,4468,3.16,0,57.57
SRWC - coppice,21173,98746,35.81,0,57.61
Residues,51125,3007,3.72,0,57.61453276
Residues,26071,4110,0,0,57.61612652
Residues,37163,20792,8.16,0,57.67
SRWC - coppice,42039,139814,32.64,0,57.67
SRWC - coppice,29163,101034,16.09,0,57.68
SRWC - coppice,54053,145,21.34,0,57.75
SRWC - coppice,19087,38056,30.0959754,5.908366618,57.75387429
Residues,51183,7466,7.75,0,57.77
SRWC - coppice,34003,5,32.68,0,57.77
Residues,47009,1419,4.39,0,57.83
SRWC - coppice,25017,21,25.76,0,57.89
SRWC - coppice,21185,23450,38.16,0,57.92
SRWC - coppice,51061,150498,25.66,0,57.94
SRWC - coppice,21011,135956,34.5,0,57.95
SRWC - coppice,19125,2600,28.71,0,57.98
SRWC - coppice,42115,62242,34.81,0,58.03
SRWC - coppice,21151,237542,36.78,0,58.09
SRWC - coppice,39157,48610,32.82,0,58.13
SRWC - coppice,36077,85171,33.3,0,58.14
SRWC - coppice,21023,47791,35.95,0,58.15
SRWC - coppice,21097,89298,35.32,0,58.16
SRWC - coppice,54001,57083,35.92,0,58.16
SRWC - coppice,19039,32694,25.29030281,6.098507371,58.18740717
SRWC - coppice,18107,6993,39.64,0,58.19
SRWC - coppice,21045,1002,31.3,0,58.2
SRWC - coppice,26149,10274,32.25,0,58.21
SRWC - coppice,29127,87669,23.43,0,58.3
SRWC - coppice,51047,75214,27.74,0,58.3
Residues,55071,1502,3.29,0,58.35
Residues,28035,1106,3.16,0,58.35
SRWC - coppice,18125,30758,35.09,0,58.36
SRWC - coppice,21049,143763,41.71,0,58.45
Residues,51183,2764,7.75,0,58.54
Residues,51035,6874,10.53,0,58.59
Residues,51035,1947,10.53,0,58.6
SRWC - coppice,21205,269,25.3,0,58.63
