feed_id,sply_fips,used_qnty,avg_total_cost,avg_dist
Miscanthus,20133,531771,57.91,0
Miscanthus,29013,691507,58.27,1.55
Miscanthus,18083,224296,58.41,0
Miscanthus,29011,439254,58.50,0.43
Miscanthus,40035,988626,58.53,0
Miscanthus,29211,440171,58.60,0.15
Miscanthus,19057,151492,58.61,0
Miscanthus,17065,184264,58.64,0.08
Biosorghum,12129,2,58.76,111.36
Miscanthus,29015,355448,58.86,2.83
Miscanthus,21107,124778,58.99,0.63
Miscanthus,19117,139558,59.00,0
Miscanthus,17095,254034,59.05,0.62
Miscanthus,29093,67553,59.05,0
Miscanthus,17151,56217,59.13,0
Miscanthus,27045,396568,59.20,3.47
Miscanthus,29139,251107,59.20,0.49
Corn Stover,46077,338416,59.20,0
Miscanthus,20003,501950,59.21,4.34
Miscanthus,17203,201425,59.22,0
Miscanthus,19083,210643,59.26,0
Miscanthus,29131,239297,59.26,0
Corn Stover,46087,292155,59.30,0.62
Miscanthus,18065,173382,59.32,3.54
Miscanthus,21031,135351,59.33,1.98
Corn Stover,46003,159497,59.33,0.62
Miscanthus,18127,107017,59.34,0.69
Miscanthus,20045,252864,59.37,3.08
Miscanthus,17025,189243,59.47,3.52
Miscanthus,21083,123948,59.48,0.94
Miscanthus,55123,269066,59.53,4.28
Corn Stover,46135,241762,59.55,0
Miscanthus,17021,367160,59.61,3.35
Miscanthus,27123,158,59.84,2.48
Miscanthus,55073,198863,59.85,0
Miscanthus,20197,744675,59.87,0
Miscanthus,29019,269635,59.87,6.35
Miscanthus,29049,205639,59.87,5.51
Miscanthus,29167,487026,59.88,3.26
Miscanthus,17107,292316,59.92,4.08
Miscanthus,47187,191348,59.96,2.99
Miscanthus,29173,238807,59.98,5.2
Miscanthus,29145,373387,60.08,5.56
Miscanthus,39113,74160,60.09,4.45
Miscanthus,55053,99154,60.11,1.41
Miscanthus,18163,55463,60.14,5.5
Miscanthus,5135,144494,60.15,0
Miscanthus,29095,95953,60.21,10.18
Miscanthus,47147,190671,60.23,5.7
Miscanthus,21091,51097,60.23,7.4
Miscanthus,1017,81834,60.26,0
Miscanthus,29023,248445,60.26,4.13
Miscanthus,29175,245736,60.32,9.2
Miscanthus,55071,93562,60.33,3.29
Miscanthus,27047,284873,60.37,8.8
Miscanthus,47055,267560,60.39,4
Miscanthus,5077,215466,60.40,2.08
Miscanthus,17197,190823,60.42,4.99
Miscanthus,17019,498634,60.43,6.99
Miscanthus,21113,17109,60.44,8.54
Miscanthus,27103,84553,60.45,0
Miscanthus,17145,206106,60.48,9.46
Biosorghum,5139,7,60.59,124.86
Miscanthus,19109,197991,60.60,2.96
Miscanthus,29031,289106,60.62,8.56
Miscanthus,20005,247383,60.68,5.35
Miscanthus,26023,133563,60.74,5.37
Miscanthus,18067,112520,60.76,8.08
Miscanthus,19137,197993,60.80,5.01
Miscanthus,19165,202765,60.88,3.05
Miscanthus,18167,96844,60.89,10.26
Miscanthus,39011,162122,60.89,7.2
Miscanthus,48499,249565,60.91,0
Miscanthus,17027,264719,60.95,11.72
Miscanthus,21029,55083,61.01,11.89
Miscanthus,27043,315556,61.09,7.56
Miscanthus,26045,128576,61.10,4.12
Miscanthus,17015,196395,61.13,9.51
Miscanthus,29189,16697,61.14,12.06
Miscanthus,29117,234198,61.17,13.43
Miscanthus,55049,310045,61.18,13.45
Miscanthus,29209,136208,61.19,6.31
Miscanthus,17157,233325,61.25,11.97
Miscanthus,18031,164692,61.25,12.09
Miscanthus,18137,105423,61.25,13.18
Miscanthus,17005,178179,61.27,11.73
Miscanthus,29103,295894,61.28,12.66
Miscanthus,29133,224260,61.33,9.56
Miscanthus,18045,172646,61.34,12.27
Miscanthus,5079,160356,61.34,8.91
Miscanthus,27081,171643,61.35,0
Miscanthus,29199,218289,61.35,12.83
Miscanthus,47045,183754,61.35,10.09
Miscanthus,21199,197355,61.39,10.77
Miscanthus,17101,148677,61.40,14.84
Miscanthus,29081,191337,61.42,11.66
Miscanthus,20149,534973,61.42,5.31
Miscanthus,18121,136772,61.45,14.29
Miscanthus,40097,489345,61.49,10.46
Miscanthus,29195,399586,61.50,15.41
Miscanthus,5111,142935,61.52,8.83
Miscanthus,19069,308479,61.56,12.25
Miscanthus,29075,138971,61.57,11.12
Miscanthus,29155,126207,61.62,13.1
Miscanthus,18179,174348,61.64,10.87
Miscanthus,17053,231594,61.65,10.4
Miscanthus,5055,217258,61.68,8.41
Miscanthus,18097,16608,61.69,14.45
Corn Stover,46091,221626,61.70,11.85
Miscanthus,29183,78781,61.71,15.64
Miscanthus,20041,347912,61.78,3.39
Miscanthus,39149,161860,61.79,13.64
Miscanthus,13167,23927,61.80,0
Switchgrass,40107,415242,61.84,0
Corn Stover,31083,226948,61.86,12.8
Switchgrass,48015,477937,61.87,1.2
Miscanthus,19175,178236,61.87,10.41
Miscanthus,18085,207458,61.90,12.76
Miscanthus,51135,53287,61.90,7.99
Miscanthus,19077,247748,61.92,11.22
Miscanthus,19033,236889,61.93,15
Switchgrass,21083,144468,61.95,0.94
Switchgrass,5077,234721,62.00,2.08
Miscanthus,19099,298015,62.02,14.35
Miscanthus,29137,318891,62.03,16.36
Miscanthus,20111,928266,62.05,14.36
Miscanthus,18099,157034,62.05,13.9
Miscanthus,21101,191227,62.05,14.5
Miscanthus,21093,239465,62.09,17.21
Switchgrass,20133,37419,62.09,0
Miscanthus,17035,138858,62.09,16.81
Miscanthus,19187,314060,62.09,12.71
Miscanthus,19013,249334,62.10,14.36
Miscanthus,18011,196227,62.12,16.47
Miscanthus,19037,248438,62.13,18.16
Miscanthus,17061,231001,62.13,16.84
