feed_id,sply_fips,used_qnty,avg_total_cost,avg_dist
Residues,41033,5734,39.92,0
Residues,41033,5159,40.02,0
Residues,28035,10991,40.56,3.16
Residues,48201,11203,41.33,7
Residues,48201,3435,41.41,7
Residues,51183,15461,41.48,7.75
Residues,8013,4374,41.50,5.76
Residues,28035,4108,41.53,3.16
Residues,26071,3780,41.58,0
Residues,37163,19118,41.63,8.16
Residues,51183,6864,41.73,7.75
Residues,45045,2699,42.21,5.5
Residues,28035,5012,42.30,3.16
Residues,28035,1017,42.31,3.16
Residues,1107,11032,42.42,11.04
Residues,1029,17146,42.46,12.46
Residues,51183,2541,42.50,7.75
Residues,37163,3830,42.60,8.16
Residues,51175,41537,42.75,13.32
Residues,5141,3274,42.91,13.36
Residues,41033,18108,42.96,0
Residues,51175,7478,43.00,13.32
Residues,27163,37,43.22,9.73
Residues,1029,6256,43.28,12.46
Residues,37163,15631,43.29,8.16
Residues,22067,1710,43.35,12.76
Residues,37057,13063,43.36,13.74
Residues,1107,6553,43.37,11.04
Residues,13143,4945,43.44,15.88
Residues,28073,9383,43.47,15.33
Residues,37067,9647,43.71,15.55
Residues,26071,38615,43.72,0
Residues,5141,4945,43.73,13.36
Residues,13045,17255,43.75,16.56
Residues,51175,2741,43.78,13.32
Residues,26093,423,43.85,10.17
Residues,1107,23276,43.97,11.04
Residues,37051,16178,44.01,18.51
Residues,1029,4247,44.03,12.46
Residues,1045,13381,44.31,18.66
Residues,13143,2130,44.34,15.88
Residues,37067,3708,44.56,15.55
Residues,48365,16542,44.56,20.11
Residues,25021,288,44.57,9.66
Residues,53053,6802,44.63,21.75
Residues,13045,1980,44.65,16.56
Residues,5141,31866,44.69,13.36
Residues,45079,18637,44.84,22.04
Residues,53067,3400,44.93,21.82
Residues,53053,23827,44.95,21.75
Residues,47085,502,44.96,15.95
Residues,45085,19100,44.96,20.4
Residues,37051,1996,44.98,18.51
Residues,13143,10520,45.02,15.88
Residues,28111,8903,45.04,20.55
Residues,1045,14865,45.25,18.66
Residues,53067,34197,45.25,21.82
Residues,42069,9391,45.27,9.16
Residues,48401,14646,45.29,24.38
Residues,5143,2850,45.31,22.35
Residues,13045,25119,45.32,16.56
Residues,47085,26938,45.34,15.95
Residues,29189,2568,45.50,12.06
Residues,48365,4356,45.50,20.11
Residues,48339,33081,45.50,27.07
Residues,45017,8057,45.51,25.28
Residues,1109,10333,45.59,25.04
Residues,1005,12200,45.60,25.55
