feed_id,sply_fips,used_qnty,avg_total_cost,avg_dist
Miscanthus,40065,157,52.74,125.46
Corn Stover,46077,269404,59.63,0
Corn Stover,46003,144540,60.35,0.62
Miscanthus,20133,377225,60.36,0
Miscanthus,29013,531754,60.74,1.55
Miscanthus,18083,194094,60.99,0
Miscanthus,40035,786238,61.04,0
Miscanthus,29011,331015,61.06,0.43
Miscanthus,29211,315162,61.12,0.15
Miscanthus,19057,69052,61.15,0
Miscanthus,17065,125977,61.18,0.08
Miscanthus,29015,260503,61.37,2.83
Corn Stover,31079,475552,61.47,6.94
Corn Stover,46135,178719,61.47,5.989577269
Miscanthus,19117,152618,61.54,0
Miscanthus,21107,116679,61.61,0.63
Miscanthus,20003,376527,61.63,4.34
Miscanthus,29093,50869,61.67,0
Corn Stover,31153,74570,61.72,13.01
Corn Stover,31159,313702,61.73,12.44
Miscanthus,17151,45521,61.77,0
Corn Stover,31083,197744,61.77,12.8
Miscanthus,20045,195888,61.81,3.08
Miscanthus,29139,190428,61.83,0.49
Miscanthus,21031,88232,61.88,1.98
Miscanthus,18065,106621,61.89,3.54
Miscanthus,29131,184400,61.90,0
Miscanthus,17025,159648,61.99,3.52
Miscanthus,55123,207646,62.08,4.28
Corn Stover,31089,406397,62.13,13.49
Miscanthus,29049,183318,62.35,5.51
Miscanthus,29019,193900,62.45,6.35
Corn Stover,31137,453054,62.49,11.16
Miscanthus,29167,364641,62.49,3.26
Miscanthus,29173,183964,62.53,5.2
Miscanthus,29145,270479,62.58,5.56
Miscanthus,47187,143143,62.63,2.99
Corn Stover,31185,555553,62.63,13.23
Corn Stover,46091,183587,62.68,17.05107633
Miscanthus,29095,105198,62.69,10.18
Miscanthus,18163,48105,62.71,5.5
Miscanthus,20197,544669,62.75,0
Corn Stover,31043,136664,62.77,16.66
Miscanthus,55073,158443,62.78,0
Miscanthus,29175,184233,62.82,9.2
Miscanthus,47147,190314,62.84,5.7
Corn Stover,31011,244774,62.86,14.24
Miscanthus,55053,86758,62.89,1.41
Corn Stover,46087,210667,63.03,14.76083582
Miscanthus,17145,153981,63.09,9.46
Switchgrass,22003,50446,63.19,0
Miscanthus,29031,189080,63.19,8.56
Miscanthus,5135,83233,63.32,0
Corn Stover,31177,148479,63.40,15.94207342
Corn Stover,31059,485363,63.44,18.74
Corn Stover,46029,156282,63.44,19.4
Miscanthus,17027,184546,63.45,11.72
Miscanthus,18167,82598,63.51,10.26
Corn Stover,31119,262576,63.54,20.68
Switchgrass,48015,355133,63.54,1.2
Miscanthus,20005,175076,63.54,5.35
Corn Stover,31129,199376,63.56,20.96
Corn Stover,31021,261466,63.56,20.3
Miscanthus,29117,232294,63.61,13.43
Miscanthus,21029,41262,63.63,11.89
Switchgrass,40107,307028,63.69,0
Corn Stover,46013,481379,63.70,20.62
Miscanthus,55049,259058,63.74,13.45
Switchgrass,21083,136638,63.75,0.94
Corn Stover,31057,130670,63.75,11.77
Switchgrass,5077,136960,63.76,2.08
Corn Stover,31019,497791,63.81,20.54
Miscanthus,17005,114373,63.83,11.73
Miscanthus,29103,225014,63.84,12.66
Miscanthus,17157,167840,63.85,11.97
Miscanthus,19165,3190,63.85,3.05
Corn Stover,31151,256782,63.86,21.15
Miscanthus,29199,169280,63.92,12.83
Miscanthus,17101,128615,63.92,14.84
Miscanthus,21199,109001,63.97,10.77
Miscanthus,29195,327389,63.98,15.41
Miscanthus,29081,212501,64.01,11.66
Miscanthus,29133,100780,64.01,9.56
Switchgrass,20133,8012,64.03,0
Corn Stover,31095,181145,64.06,22.26
Miscanthus,29209,102208,64.08,6.31
Miscanthus,40097,225938,64.11,10.46
Miscanthus,19069,15480,64.15,12.25
Switchgrass,48039,800013,64.17,4.93092696
Miscanthus,29075,195763,64.20,11.12
Miscanthus,47045,78561,64.20,10.09
Corn Stover,31169,301642,64.28,24.37
Corn Stover,46109,225729,64.33,22.16
Corn Stover,48421,129109,64.37,21.06
Corn Stover,38021,235045,64.40,21.37
Miscanthus,20149,403364,64.41,5.31
Miscanthus,18081,80634,64.42,16.38
Switchgrass,48041,278627,64.45,0.74
Miscanthus,19033,174073,64.45,15
Switchgrass,28017,96199,64.50,5.8
Switchgrass,1119,114051,64.53,0
Miscanthus,29137,246118,64.59,16.36
Switchgrass,48201,257818,64.62,7
Miscanthus,17035,110442,64.63,16.81
Switchgrass,28089,88824,64.66,4.66
Miscanthus,21093,190229,64.66,17.21
Miscanthus,20049,547106,64.67,17.3
Miscanthus,21101,164239,64.67,14.5
Miscanthus,17061,30393,64.69,16.84
Miscanthus,20111,694275,64.71,14.36
Miscanthus,29159,382897,64.71,18.74
Switchgrass,1115,21622,64.72,0
Switchgrass,48481,408376,64.73,5.82
Miscanthus,18027,141375,64.74,17.45
Miscanthus,19175,162403,64.74,10.41
Switchgrass,48217,397941,64.78,1.93
Corn Stover,38073,121455,64.78,18.04
Miscanthus,29033,323141,64.79,18.83
Corn Stover,31093,243664,64.85,25.94
Miscanthus,17087,4241,64.85,13.64
Miscanthus,21009,225142,64.85,15.02
Miscanthus,19105,61753,64.87,16.5
Miscanthus,29143,267945,64.91,16.07
Corn Stover,46115,420993,64.92,27.18
Miscanthus,17071,15348,64.93,16.39
Corn Stover,31001,478122,64.93,25.44
Corn Stover,46099,349423,64.94,31.51
Switchgrass,48225,376596,64.95,1.89
Miscanthus,19159,227486,64.95,13.7
Miscanthus,39061,6131,64.95,12.96
Corn Stover,31081,548600,64.96,23.02
Corn Stover,46035,124396,64.97,31.43134168
Corn Stover,46125,290540,64.99,27.89
Miscanthus,17127,64915,65.02,17.16
Miscanthus,18033,67399,65.02,10.98
Corn Stover,46043,135362,65.05,25.48
Miscanthus,29219,82516,65.08,17.67
Corn Stover,31141,439586,65.13,27.37
Miscanthus,19185,179335,65.13,18.35
Miscanthus,17193,162704,65.14,19.39
Corn Stover,46061,148423,65.16,26.23401238
Corn Stover,31139,309525,65.19,26.17408032
Miscanthus,20037,399430,65.24,23.19
Switchgrass,1103,101083,65.25,4.82
Miscanthus,29163,220608,65.25,16.09
Miscanthus,55027,18592,65.27,16.25
Miscanthus,17137,34417,65.28,19.14
