feed_id,sply_fips,used_qnty,avg_flddep_dist,avg_depref_dist,avg_total_cost
Switchgrass,20031,125,64.17,62.56,64.09
Corn stover,46077,352021,0,0,70.70234983
Corn stover,46087,275270,0.62,5.366587641,72.01069267
Corn stover,31079,621389,6.94,0,72.5
Corn stover,46091,239887,11.85,0,72.61818423
Corn stover,31159,409905,12.44,0,72.75976351
Miscanthus,20133,489116,0,0,72.76
Corn stover,31083,258386,12.8,0,72.79069609
Miscanthus,29013,689480,1.55,0,73.14
Corn stover,31089,531025,13.49,0,73.15009122
Corn stover,31153,97436,13.01,2.341390862,73.16153701
Miscanthus,18083,251666,0,0,73.39
Miscanthus,40035,1019449,0,0,73.44
Miscanthus,29011,429200,0.43,0,73.46
Miscanthus,29211,408643,0.15,0,73.52
Corn stover,46005,401035,14.10977009,0,73.53921565
Miscanthus,17065,163344,0.08,0,73.58
Corn stover,31185,725921,13.23,0,73.65
Corn stover,31137,591990,11.16,1.237858748,73.74135509
Miscanthus,29015,337772,2.83,0,73.76
Corn stover,31011,319838,14.24,0,73.88340141
Miscanthus,19117,197887,0,0,73.94
Miscanthus,21107,151288,0.63,0,74.01
Miscanthus,20003,488213,4.34,0,74.01
Miscanthus,27045,89000,3.47,0,74.06
Corn stover,46023,287153,13.97,0,74.12310253
Miscanthus,17151,59024,0,0,74.17
Miscanthus,20045,253990,3.08,0,74.2
Miscanthus,29139,246912,0.49,0,74.23
Miscanthus,18065,138245,3.54,0,74.27
Miscanthus,21031,114403,1.98,0,74.27
Miscanthus,29131,239096,0,0,74.3
Miscanthus,17025,207004,3.52,0,74.37
Corn stover,31059,634209,18.74,0,74.44
Miscanthus,55123,269236,4.28,0,74.46
Corn stover,31177,194011,13.46690749,2.842336259,74.46392973
Corn stover,31119,343100,20.68,0,74.53898951
Corn stover,31129,260518,20.96,0,74.54614407
Corn stover,31021,341651,20.3,0,74.55692871
Miscanthus,21083,120355,0.94,0,74.56
Miscanthus,17021,12919,3.35,0,74.6
Corn stover,46013,629002,20.62,0,74.68766374
Miscanthus,29049,237694,5.51,0,74.73
Corn stover,31019,650447,20.54,0,74.81
Miscanthus,29019,251414,6.35,0,74.83
Corn stover,31151,335529,21.15,0,74.85341678
Miscanthus,29167,472800,3.26,0,74.88
Miscanthus,27123,151,2.48,0,74.9
Miscanthus,29173,238530,5.2,0,74.91
Miscanthus,29145,350708,5.56,0,74.96
Switchgrass,48015,469566,1.2,0,74.99
Miscanthus,47187,185601,2.99,0,75.02
Corn stover,31097,81133,8.52,0,75.04004203
Miscanthus,29095,136402,10.18,0,75.06
Corn stover,31095,236697,22.26,0.235467877,75.08536238
Miscanthus,18163,62376,5.5,0,75.09
Switchgrass,40107,405960,0,0,75.15
Miscanthus,20197,706226,0,0,75.15
Corn stover,48463,27290,2.08,0,75.15271748
Miscanthus,21091,48874,7.4,0,75.17
Corn stover,46099,456580,27.56922292,0,75.18422195
Miscanthus,29175,238879,9.2,0,75.19
Switchgrass,21083,180664,0.94,0,75.2
Switchgrass,5077,181092,2.08,0,75.21
Miscanthus,47147,246764,5.7,0,75.22
Corn stover,31169,394144,24.37,0,75.26711902
Switchgrass,17151,14293,0,0,75.27
Corn stover,46109,294953,22.16,0,75.32104037
Corn stover,48421,168703,21.06,0,75.35629882
Miscanthus,17145,199652,9.46,0,75.45
Switchgrass,22127,1011,0,0,75.47
Switchgrass,20133,10594,0,0,75.49
Switchgrass,29011,173670,0.43,0,75.51
Miscanthus,47055,170239,4,0,75.51
Miscanthus,29031,245164,8.56,0,75.56
Corn stover,46021,123946,19.79,0,75.56944427
Switchgrass,17065,102095,0.08,0,75.6
Switchgrass,21107,38715,0.63,0,75.6
Switchgrass,48039,1057797,4.93,0,75.61
Switchgrass,5073,100037,0.42,0,75.62
Miscanthus,5077,29082,2.08,0,75.63
Miscanthus,48039,45604,4.93,0,75.73
Corn stover,31003,621574,26.14,0,75.77354944
Corn stover,38073,158700,18.04,0,75.79341172
Miscanthus,17027,239285,11.72,0,75.8
Corn stover,31093,318388,25.94,0,75.81609709
Miscanthus,1017,80290,0,0,75.87
Miscanthus,18167,107098,10.26,0,75.87
Switchgrass,48041,368407,0.74,0,75.91
Miscanthus,19109,23065,2.96,0,75.91
Corn stover,31001,624747,25.44,0,75.91
Miscanthus,20005,227008,5.35,0,75.92
Corn stover,46115,550098,27.22242524,0.100447302,75.9233125
Switchgrass,28017,127196,5.8,0,75.94
Corn stover,31081,716838,23.02,0,75.95
Miscanthus,29117,301195,13.43,0,75.96
Miscanthus,28017,30891,5.8,0,75.98
Miscanthus,21029,53501,11.89,0,75.99
Switchgrass,48201,340892,7,0,76.06
Corn stover,31077,208807,28.54,0,76.06998127
Switchgrass,28089,117445,4.66,0,76.1
Miscanthus,55049,335899,13.45,0,76.1
Switchgrass,48481,539965,5.82,0,76.17
Miscanthus,17005,148298,11.73,0,76.18
Miscanthus,29103,291757,12.66,0,76.2
Corn stover,31175,206984,29.21,0,76.20129884
Miscanthus,17157,217622,11.97,0,76.21
Switchgrass,48217,526166,1.93,0,76.23
Corn stover,31139,404446,24.74557076,2.248516044,76.26924425
Miscanthus,17101,166765,14.84,0,76.27
Miscanthus,29199,219491,12.83,0,76.27
Miscanthus,17001,347561,14.09,0,76.28
Miscanthus,29195,424497,15.41,0,76.32
Corn stover,31051,274725,28.7,0,76.32506143
Miscanthus,21199,141332,10.77,0,76.33
Miscanthus,29081,275533,11.66,0,76.36
Miscanthus,29099,85828,12.48,0,76.36
Corn stover,31027,529314,28.97445274,0.644090351,76.36674887
Miscanthus,29133,130672,9.56,0,76.38
Switchgrass,48225,497944,1.89,0,76.4
Corn stover,31047,695609,29.2,0,76.4
Miscanthus,1103,32203,4.82,0,76.45
Miscanthus,27163,33701,9.73,0,76.45
Miscanthus,40097,292954,10.46,0,76.47
Miscanthus,19069,20074,12.25,0,76.5
Miscanthus,28089,751,4.66,0,76.52
Corn stover,46097,186724,27.56,0,76.53
Miscanthus,29075,253830,11.12,0,76.56
Miscanthus,47045,101863,10.09,0,76.57
Corn stover,31055,72976,23.88402173,4.750067693,76.5965083
Miscanthus,29155,251416,13.1,0,76.6
Switchgrass,47147,14072,5.7,0,76.61
Corn stover,20013,304956,28.86,0,76.62906252
Corn stover,31025,286987,29.67065376,0,76.64900407
Corn stover,46015,214452,31.46,0,76.6709577
Switchgrass,1103,133655,4.82,0,76.69
Miscanthus,21079,47480,13.63,0,76.7
Miscanthus,48499,549,0,0,76.7
Switchgrass,47187,1107,2.99,0,76.71
Switchgrass,47045,210438,10.09,0,76.72
Miscanthus,18081,104552,16.38,0,76.76
Corn stover,31143,437324,31.46,0,76.77
Corn stover,31121,413817,30.24,0,76.78
Miscanthus,19033,225706,15,0,76.79
Miscanthus,20149,523008,5.31,0,76.79
Switchgrass,29139,46844,0.49,0,76.82
Switchgrass,48349,724947,5.49,0,76.82
Switchgrass,48499,192825,0,0,76.85
Switchgrass,47161,42871,7.59,0,76.87
Corn stover,31035,559612,31.86,0,76.91
Miscanthus,29137,319119,16.36,0,76.93
Miscanthus,48315,23,0,0,76.94
Corn stover,46009,220142,27.40008385,5.553642376,76.94372987
Corn stover,31073,259126,32.38592619,0,76.9455461
Corn stover,46089,116777,17.5,0,76.96320414
Corn stover,48369,88032,8.56,0,76.96885735
Miscanthus,17035,143202,16.81,0,76.97
Switchgrass,20003,25089,4.34,0,76.98
Miscanthus,19077,69602,11.22,0,76.98
Switchgrass,37143,62352,3.27,0,76.99
Switchgrass,20197,56707,0,0,76.99
Miscanthus,19013,18855,14.36,0,76.99
Miscanthus,21093,246654,17.21,0,77
Miscanthus,20049,709385,17.3,0,77.01
Miscanthus,21101,212958,14.5,0,77.01
Miscanthus,29159,496470,18.74,0,77.04
Corn stover,31141,574392,27.37,5.392513771,77.0579796
Miscanthus,17073,11585,13.6,0,77.06
Miscanthus,20111,900207,14.36,0,77.07
Miscanthus,18027,183309,17.45,0,77.08
Corn stover,46067,267866,26.5,6.966172041,77.09577901
Switchgrass,40097,137802,10.46,0,77.1
Miscanthus,19175,210574,10.41,0,77.11
Miscanthus,19177,122577,16.04,0,77.12
Miscanthus,29033,418988,18.83,0,77.12
Miscanthus,27081,4303,0,0,77.15
Switchgrass,29031,53123,8.56,0,77.19
Miscanthus,21009,291924,15.02,0,77.19
Miscanthus,17087,5499,13.64,0,77.2
Miscanthus,17159,165958,18.41,0,77.21
Miscanthus,19105,80071,16.5,0,77.21
Corn stover,31037,270212,29.69013093,3.598470645,77.24316781
Miscanthus,29143,347421,16.07,0,77.26
Miscanthus,19159,294961,13.7,0,77.3
Miscanthus,39061,7949,12.96,0,77.3
Miscanthus,51135,56144,7.99,0,77.36
Switchgrass,5055,127495,8.41,0,77.36
Miscanthus,17127,84169,17.16,0,77.36
Miscanthus,21021,23871,16.33,0,77.37
Corn stover,31099,564356,31.62,0,77.37
Miscanthus,18033,87390,10.98,0,77.38
Miscanthus,55055,137919,15.66,0,77.39
Miscanthus,5119,12382,10.76,0,77.42
Miscanthus,29219,106992,17.67,0,77.42
Switchgrass,47023,54454,11.19,0,77.43
Switchgrass,5033,105929,11.3,0,77.44
Switchgrass,12049,261635,11.16,0,77.45
Corn stover,31015,61998,33.81057195,0,77.45466515
Miscanthus,19185,232530,18.35,0,77.46
Miscanthus,17193,210963,19.39,0,77.47
Switchgrass,48351,44466,13.19,0,77.51
Miscanthus,20037,517907,23.19,0,77.56
Switchgrass,22083,76774,11.5,0,77.57
Miscanthus,29163,286044,16.09,0,77.59
Switchgrass,17145,114366,9.46,0,77.59
Miscanthus,55027,24107,16.25,0,77.6
Corn stover,31039,341299,34.60318902,0,77.61220543
Switchgrass,40101,390498,11.71,0,77.64
Miscanthus,20041,239860,3.39,0,77.68
Miscanthus,18109,91353,17.14,0,77.7
Miscanthus,29053,299634,24.63,0,77.7
Miscanthus,21027,254646,18.01,0,77.71
Miscanthus,55105,26895,16.09,0,77.74
Miscanthus,29037,425703,22.08,0,77.77
Miscanthus,17029,145846,18.32,0,77.78
Miscanthus,19055,39252,21.87,0,77.78
Miscanthus,21183,84465,18.92,0,77.78
Miscanthus,29097,361012,21.75,0,77.78
Switchgrass,29155,97495,13.1,0,77.78
Switchgrass,20041,381755,3.39,0,77.79
Miscanthus,29047,166582,21.75,0,77.8
Switchgrass,40077,255501,12.82,0,77.81
Miscanthus,48015,7290,1.2,0,77.82
Miscanthus,19161,16617,12.76,0,77.83
Corn stover,31131,255288,29.79,0,77.83036406
Switchgrass,21029,10999,11.89,0,77.85
Switchgrass,47069,134475,13.71,0,77.86
Corn stover,31135,274351,19.5,0,77.86491243
Switchgrass,22067,35973,12.76,0,77.87
Miscanthus,29073,214875,19.76,0,77.87
Miscanthus,17067,206325,21.25906453,1.359964231,77.88398018
Switchgrass,40029,387248,14.32,0,77.89
Miscanthus,40115,344191,20.75,0,77.89
Miscanthus,18021,122756,19.05,0,77.9
Corn stover,31167,198149,30.42,0,77.93387516
Switchgrass,20005,91956,5.35,0,77.95
Switchgrass,28137,132525,8.09,10.00705806,77.95024139
Corn stover,31181,168062,27.02,11.00025181,77.95156918
Corn stover,46125,379639,27.89,11.553463,77.95208698
Miscanthus,21117,8294,19.95,0,77.97
Switchgrass,48361,86751,12.53,0,77.98
Corn stover,31053,412050,34.80774578,0,77.98426298
Miscanthus,18129,192934,19.74,0,77.99
Miscanthus,18019,50362,19.1,0,77.99
Switchgrass,40013,600948,14.57,0,78
Switchgrass,17087,67229,13.64,0,78.02
Miscanthus,19011,4814,18.7,0,78.03
Miscanthus,18153,6244,21.63,0,78.04
Miscanthus,18173,84166,17.59,0,78.04
Miscanthus,20099,661543,24.83,0,78.04
Miscanthus,13167,5882,0,0,78.07
Switchgrass,37041,22410,8.59,0,78.08
Switchgrass,5119,66568,10.99349057,0.405097044,78.0831099
Miscanthus,31097,73641,8.52,0,78.09
Miscanthus,48225,4314,1.89,0,78.11
Switchgrass,22011,128521,16.07,0,78.14
Miscanthus,28135,44421,15.46,0,78.15
Miscanthus,55043,312358,22.89,0,78.15
Miscanthus,17191,305552,22.96,0,78.16
Corn stover,20081,104113,18.57,0,78.17
Miscanthus,20073,1707898,20.2,0.580553236,78.17210532
Miscanthus,48481,155515,5.82,0,78.18
Miscanthus,20019,703852,21.36,0,78.2
Miscanthus,55023,100504,21.35,0,78.21
Miscanthus,29171,373876,22.56,0,78.22
Switchgrass,17157,152866,11.97,0,78.23
Switchgrass,28135,202647,15.46,0,78.25
Corn stover,20131,161922,31.29,2.379371179,78.25000723
Miscanthus,17055,75673,22.73,0,78.28
Miscanthus,20001,440425,27.12,0,78.28
Miscanthus,18177,142461,23,0,78.31
Switchgrass,1107,61873,11.04,0,78.32
Switchgrass,28161,53494,17.77,0,78.33
Miscanthus,13321,50194,5.34,0,78.33
Miscanthus,19179,131526,19.95,0,78.33
Miscanthus,21213,163400,25.34,0,78.34
Switchgrass,47017,125414,16.05,0,78.37
Miscanthus,20095,153307,4.08,0,78.37
Switchgrass,48257,553316,12.83,0,78.39
Corn stover,31125,220925,39.55546552,0,78.39905389
Corn stover,46011,365161,40.02,0,78.40499451
Miscanthus,20059,427735,24.57,0,78.41
Miscanthus,48351,23,13.19,0,78.44
Corn stover,46127,274351,32.91847928,0.945525987,78.44652992
Switchgrass,20149,10618,5.31,0,78.45
Switchgrass,47167,163025,16.39,0,78.45
Miscanthus,47167,94947,16.39,0,78.47
Miscanthus,21123,158277,26.26791063,0,78.47667336
Corn stover,46107,128359,11.76021268,1.263566715,78.47752
Switchgrass,48149,603975,12.99,0,78.48
Switchgrass,28061,53321,14.48,0,78.48
Corn stover,46057,253774,40.02,0,78.49257855
Miscanthus,29217,567170,27.23008622,0,78.49630957
Switchgrass,29099,3462,12.48,0,78.51
Switchgrass,29143,144298,16.07,0,78.51
Switchgrass,17127,30285,17.16,0,78.53
Switchgrass,48145,492099,13.61,0,78.53
Miscanthus,37145,42022,9.12,0,78.54
Miscanthus,29059,243353,20.73,0,78.55
Switchgrass,5133,129285,15.89,0,78.56
Miscanthus,29085,221623,23.53,0,78.56
Corn stover,46039,228224,40.61820369,0,78.59437807
Miscanthus,29127,104774,23.43,0,78.6
Miscanthus,40071,611927,11.45,0,78.6
Switchgrass,40019,511484,8.57,0,78.61
Switchgrass,48147,582002,17.34,0,78.61
Miscanthus,21067,55523,24.12,0,78.61
Miscanthus,17169,117897,25.39,0,78.62
Miscanthus,20205,433251,26.18198428,1.736919915,78.62969394
Corn stover,46061,193941,22.02980829,20.1699603,78.63227879
Miscanthus,21137,26772,23.36,0,78.65
Miscanthus,22097,7611,19.03,0,78.65
Corn stover,46059,346190,32.89998018,3.920061787,78.65686097
Switchgrass,28067,82674,14.72,0,78.66
Switchgrass,47053,235692,18.36,0,78.67
Miscanthus,17023,185808,25.88,0,78.67
Switchgrass,20095,268171,4.08,0,78.68
Switchgrass,40049,545249,10.23,0,78.7
Miscanthus,13195,54276,10.68,0,78.7
Switchgrass,40075,433051,0.22,0,78.7
Switchgrass,13167,17613,0,0,78.71
Miscanthus,18003,10007,16.4,0,78.71
Miscanthus,47165,102892,20.87,0,78.73
Corn stover,46101,425051,41.71409057,0,78.73176111
Miscanthus,18059,142452,27.54,0,78.74
Miscanthus,20117,420882,12.03,0,78.74
Miscanthus,29119,121962,20.16,0,78.76
Miscanthus,17139,4081,23.43,0,78.76
Miscanthus,21207,66736,21.86,0,78.76
Switchgrass,18123,7609,14.06,0,78.78
Miscanthus,1107,4027,11.04,0,78.78
Switchgrass,12125,26426,10.57,0,78.79
Switchgrass,28107,200209,22.14,0,78.79
Miscanthus,29039,311804,26.15,0,78.79
Miscanthus,29091,281114,17.13,0,78.79
Switchgrass,17005,113061,11.73,0,78.82
Corn stover,20043,217358,32.91,2.528971466,78.83250812
Switchgrass,48277,517329,17.6,0,78.86
Switchgrass,22097,213819,19.03,0,78.89
Miscanthus,19101,148938,24.31119217,0,78.89044099
Miscanthus,47059,179340,12.15,0,78.9
Miscanthus,47159,169442,24.91,0,78.91
Miscanthus,17049,222129,28.62,0,78.93
Miscanthus,40113,1733254,17.79,0,78.93
Switchgrass,40091,310903,21.37,0,78.94
Miscanthus,17119,268732,28.2,0,78.94
Miscanthus,19093,4000,13.52,0,78.94
Miscanthus,21157,26717,22.99,0,78.94
Miscanthus,29001,384024,28.27,0,78.94
Corn stover,48069,218682,33.84136326,6.75519302,78.94828116
Corn stover,48205,344204,37.16614232,5.836309282,78.96709254
Switchgrass,28043,56730,22.08,0,78.98
Miscanthus,37033,33245,12.61,0,78.98
Miscanthus,55065,361708,27.37,0,79
Miscanthus,48041,11626,0.74,0,79
Corn stover,46043,176874,23.23384986,20.6162497,79.00052291
Miscanthus,21233,136959,24.83,0,79.02
Miscanthus,47069,8246,13.71,0,79.04
Corn stover,46135,233526,6.727737383,37.95185577,79.05703095
Corn stover,46079,337714,38.02,6.921836998,79.05787145
Switchgrass,51135,5440,7.99,0,79.07
Miscanthus,37067,30468,15.55,0,79.07
Miscanthus,20079,218181,13,0,79.08
Switchgrass,40079,401521,16.93,0,79.09
Switchgrass,48121,407221,17.67,0,79.09
Miscanthus,28033,36607,23.12,0,79.09
