feed_id,sply_fips,used_qnty,avg_total_cost,avg_dist
Residues,1059,16676,39.56,0
Residues,5073,9734,39.68,0.42
Residues,1059,2931,39.84,0
Residues,8065,309,39.87,0
Residues,5073,1225,40.55,0.42
Residues,1059,1854,40.63,0
Residues,1059,2805,41.43,0
Residues,51183,6235,41.48,7.75
Residues,51183,2374,41.73,7.75
Residues,48457,37287,41.99,10.72
Residues,28005,32571,42.25,11.74
Residues,48457,8461,42.28,10.72
Residues,28005,2605,42.45,11.74
Residues,1029,8065,42.47,12.46
Residues,51183,2312,42.50,7.75
Residues,28061,21033,42.88,14.48
Residues,47147,5724,43.02,5.7
Residues,28061,2679,43.04,14.48
Residues,37101,10377,43.07,13.35
Residues,48457,2441,43.07,10.72
Residues,37057,11718,43.13,13.74
Residues,28067,23765,43.13,14.72
Residues,13143,520,43.14,15.88
Residues,28005,3097,43.17,11.74
Residues,27163,22,43.22,9.73
Residues,1029,4717,43.29,12.46
Residues,28067,3974,43.29,14.72
Residues,37057,4505,43.36,13.74
Residues,13143,1997,43.44,15.88
Residues,13045,4607,43.44,16.56
Residues,5087,2273,43.52,13.05
Residues,1101,2556,43.63,14.67
Residues,37067,3257,43.71,15.55
Residues,13045,6967,43.75,16.56
Residues,51175,2494,43.78,13.32
Residues,26093,123,43.85,10.17
Residues,37101,7110,43.94,13.35
Residues,1001,20826,43.97,16.45
Residues,28061,6761,44.01,14.48
Residues,1029,15861,44.03,12.46
Residues,1101,2310,44.08,14.67
Residues,41067,3112,44.16,17.24
Residues,28067,2815,44.27,14.72
Residues,41067,10673,44.33,17.24
Residues,13143,2138,44.34,15.88
Residues,1001,1815,44.41,16.45
Residues,37067,3375,44.56,15.55
Residues,25021,326,44.57,9.66
Residues,5087,499,44.58,13.05
Residues,5087,32051,44.58,13.05
Residues,53053,8434,44.63,21.75
Residues,13045,1987,44.65,16.56
Residues,5015,1366,44.69,18.17
Residues,1101,2998,44.78,14.67
Residues,28061,10004,44.79,14.48
Residues,28061,471,44.79,14.48
Residues,45079,7839,44.84,22.04
Residues,53067,4216,44.93,21.82
Residues,53053,24127,44.95,21.75
Residues,45085,8034,44.96,20.4
Residues,28157,44761,44.99,23.39
Residues,13143,8669,45.02,15.88
Residues,28067,3341,45.04,14.72
Residues,28067,4751,45.05,14.72
Residues,37195,1555,45.08,22.22
Residues,1001,2166,45.11,16.45
Residues,1051,11398,45.15,23.28
Residues,28157,3660,45.19,23.39
Residues,48373,44428,45.24,24.12
Residues,53067,34626,45.25,21.82
Residues,13045,20699,45.32,16.56
Residues,1085,37820,45.35,22.76
Residues,45017,3389,45.51,25.28
Residues,48373,9046,45.53,24.12
Residues,5027,19397,45.54,24.63
Residues,1051,2891,45.60,23.28
Residues,25021,5958,45.66,9.66
Residues,5015,21355,45.71,18.17
Residues,5015,528,45.75,18.17
Residues,27163,437,45.77,9.73
Residues,1085,927,45.79,22.76
Residues,5057,8786,45.81,26.31
Residues,37183,5091,45.82,27.3
Residues,45079,2904,45.83,22.04
Residues,41071,2036,45.87,25.71
Residues,6093,142394,45.87,30.33
Residues,28157,1357,45.91,23.39
Residues,27163,8559,46.01,9.73
Residues,41071,15289,46.04,25.71
Residues,21117,2590,46.05,19.95
Residues,37059,1319,46.05,27.45
Residues,37159,3925,46.07,26.45
Residues,13097,610,46.08,30.35
Residues,51181,7614,46.10,28.02
Residues,37183,5530,46.14,27.3
Residues,13071,6859,46.16,28.45
Residues,13205,4330,46.17,29.2
Residues,45085,2473,46.17,20.4
Residues,47165,535,46.26,20.87
Residues,51149,5137,46.26,28.7
Residues,1051,2121,46.30,23.28
Residues,48373,5416,46.32,24.12
Residues,37059,287,46.38,27.45
Residues,1033,1417,46.40,27.1
Residues,28129,30640,46.45,29.69
Residues,21037,1069,46.46,21.16
Residues,1085,2135,46.49,22.76
Residues,51149,1233,46.51,28.7
Residues,47021,493,46.53,26.75
Residues,5027,1820,46.54,24.63
Residues,45079,26395,46.56,22.04
Residues,45055,22845,46.64,29.75
Residues,5057,4717,46.68,26.31
Residues,45085,2713,46.68,20.4
Residues,45017,2805,46.70,25.28
Residues,6093,10898,46.71,30.33
Residues,28129,4913,46.73,29.69
Residues,29195,2415,46.75,15.41
Residues,37183,7800,46.75,27.3
Residues,37159,385,46.79,26.45
Residues,13233,2577,46.83,29.75
Residues,45055,12209,46.90,29.75
Wastes,27123,17110,46.91,2.48
Residues,13097,26,46.94,30.35
Residues,12069,894,46.99,32.15
Residues,13071,3547,47.07,28.45
Residues,21213,373,47.08,25.34
Residues,37059,2503,47.09,27.45
Residues,21015,11145,47.10,24.17
Residues,51181,4196,47.13,28.02
Residues,28129,2400,47.15,29.69
Residues,8117,2036,47.23,33.39
Residues,45017,18878,47.23,25.28
Residues,5009,1380,47.27,29.49
Residues,1033,34,47.28,27.1
Residues,29053,634,47.28,24.63
Residues,51149,1235,47.28,28.7
Residues,37127,8416,47.29,33.3
Residues,41067,3691,47.31,17.24
Residues,37069,8574,47.45,33.61
Residues,42059,2692,47.47,25.13
Residues,12119,1002,47.51,35.19
Residues,37127,5113,47.53,33.3
Residues,29159,20,47.59,18.74
Residues,37191,7198,47.60,32.27
Residues,37197,719,47.60,33.12
Residues,13233,1975,47.60,29.75
Residues,5099,7493,47.61,34.93
Residues,13097,17487,47.66,30.35
Coppice wood,19057,128121,47.66,0
Residues,47021,834,47.72,26.75
Wastes,24003,18090,47.72,5.65
Residues,22037,5330,47.73,35.19
Residues,37069,6570,47.77,33.61
Residues,28113,8472,47.78,35.02
Residues,53053,5780,47.79,21.75
Residues,22037,5947,47.81,35.19
Residues,21141,919,47.83,28.81
Residues,55041,42205,47.89,18.23
Residues,51093,539,47.89,34.75
Residues,27003,201,47.90,28.06
Residues,12069,2666,47.94,32.15
Wastes,36047,84578,47.94,5.55
Residues,45055,626,47.96,29.75
Residues,1079,9909,47.96,31.89
Residues,1033,3906,47.99,27.1
Wastes,42125,6846,47.99,7.8
Coppice wood,21069,170997,48.00,0
Residues,28031,18461,48.02,35.62
Residues,28113,3011,48.07,35.02
Residues,53067,2938,48.09,21.82
Residues,24033,1003,48.10,28.22
Residues,13149,2862,48.10,37.64
Residues,47021,15361,48.11,26.75
Coppice wood,18083,208072,48.15,0
Residues,37169,1174,48.16,35.79
Wastes,51183,392,48.17,7.75
Residues,1079,4241,48.24,31.89
Residues,13223,6069,48.26,37.9
Residues,21141,2786,48.27,28.81
Residues,29053,413,48.29,24.63
Residues,5009,9377,48.30,29.49
Residues,28031,1739,48.31,35.62
Wastes,36067,15346,48.32,7.08
Coppice wood,17095,26461,48.33,0.62
Residues,1015,5064,48.34,38.42
Residues,13233,10065,48.35,29.75
Residues,27003,128,48.38,28.06
Residues,13149,3388,48.40,37.64
Residues,28057,14170,48.40,37.95
Residues,12119,2554,48.40,35.19
Residues,25017,7857,48.41,25.76
Residues,13233,196,48.44,29.75
Residues,37127,3435,48.45,33.3
Residues,37191,4837,48.47,32.27
Coppice wood,18065,156989,48.47,3.54
Residues,28113,3157,48.48,35.02
Residues,37169,1127,48.49,35.79
Wastes,26093,6012,48.50,10.17
Wastes,27163,8019,48.50,9.73
Residues,13095,143,48.52,26.31
Residues,45063,16779,48.53,38.08
Wastes,36081,74914,48.54,9.36
Residues,1111,9264,48.56,38.07
Residues,22037,690,48.58,35.19
Residues,28037,20290,48.59,39.56
Residues,28057,3039,48.61,37.95
Residues,5099,3703,48.61,34.93
Residues,37069,1694,48.62,33.61
Wastes,25021,22426,48.64,9.66
Coppice wood,19117,73705,48.69,0
Residues,28031,3718,48.72,35.62
Wastes,25025,24620,48.72,8.12
Residues,13007,5426,48.74,39.78
Residues,37197,5932,48.77,33.12
Residues,45061,2003,48.78,42.05
Residues,28037,1777,48.79,39.56
Residues,47037,407,48.79,34.2
Residues,27053,501,48.81,25.09
Coppice wood,39113,71802,48.83,4.45
Residues,55109,230,48.84,34.17
Residues,8015,3340,48.85,39
Residues,13035,491,48.91,38.79
Residues,51093,435,48.91,34.75
Residues,26125,800,48.98,26.05
Residues,1079,3006,48.98,31.89
Residues,21081,1730,48.99,42.96
Residues,24027,309,48.99,32.1
Residues,13223,1051,49.00,37.9
Residues,27053,1219,49.05,25.09
Residues,41071,2265,49.08,25.71
Residues,28063,10361,49.09,41.51
Residues,28057,6296,49.10,37.95
Residues,37127,13332,49.11,33.3
Coppice wood,21113,99610,49.12,8.54
Residues,28153,15163,49.16,40.21
Residues,45027,2441,49.17,40.63
Coppice wood,42121,22451,49.17,5.75
Residues,29107,3587,49.18,29.54
Residues,1015,2885,49.18,38.42
Residues,27037,103,49.22,35.03
Residues,28129,46,49.24,29.69
Residues,17111,117,49.26,27.51
Residues,27037,6,49.26,35.03
Residues,47125,170,49.27,35.58
Residues,13149,2328,49.28,37.64
Residues,28063,2848,49.29,41.51
Residues,45075,8954,49.29,40.4
Residues,5091,2929,49.30,42.37
Residues,28153,5681,49.32,40.21
Residues,13121,4012,49.32,47.92
Coppice wood,55071,147039,49.32,3.29
Residues,41005,9369,49.33,41.93
Residues,37169,5942,49.34,35.79
Residues,36075,1509,49.43,33.05
Residues,25017,897,49.44,25.76
Wastes,51175,605,49.44,13.32
Residues,51800,10072,49.49,41.84
Residues,41005,20942,49.49,41.93
Residues,50009,490,49.50,34.67
Residues,1111,2306,49.52,38.07
Residues,13007,944,49.52,39.78
Residues,28037,4087,49.52,39.56
Residues,45063,5663,49.52,38.08
Residues,1077,1645,49.53,38.24
Residues,1087,5698,49.53,43.49
Residues,54009,2752,49.54,29.26
Residues,47037,146,49.64,34.2
Residues,24027,1010,49.66,32.1
Wastes,37101,5745,49.67,13.35
Residues,13121,2446,49.72,47.92
Residues,1021,1616,49.74,41.3
Residues,51800,297,49.74,41.84
Residues,1093,34822,49.75,41.63
Residues,28101,11084,49.75,43.85
Coppice wood,26023,146652,49.75,5.37
Residues,1013,3638,49.77,47.51
Residues,13223,5590,49.78,37.9
Residues,47125,818,49.78,35.58
Wastes,39061,26356,49.81,12.96
Residues,1077,653,49.82,38.24
Residues,1079,1154,49.83,31.89
Coppice wood,17019,9032,49.85,6.99
Wastes,37057,5372,49.87,13.74
Residues,5101,1257,49.91,41.44
Residues,41051,1062,49.91,31.07
Residues,28101,2859,49.91,43.85
Residues,1015,16327,49.92,38.42
Residues,24035,1236,49.93,29.53
Residues,6081,2681,49.94,41.51
Residues,8037,1822,49.96,45.73
Residues,1087,5344,49.97,43.49
Wastes,36061,53384,49.97,13.41
Residues,13149,7070,49.98,37.64
Residues,13075,1119,50.00,47.62
Residues,28063,5525,50.02,41.51
Residues,26125,2788,50.02,26.05
Residues,1093,5154,50.03,41.63
Wastes,29195,771,50.06,15.41
Residues,1021,2216,50.08,41.3
Residues,13207,7312,50.10,50.35
Residues,1111,16487,50.11,38.07
Residues,22125,253,50.12,45.64
Wastes,37067,11758,50.12,15.55
Residues,18029,2089,50.14,33.13
Coppice wood,18031,163661,50.16,12.09
Residues,45027,1161,50.16,40.63
Residues,47125,16427,50.16,35.58
Residues,5091,2407,50.17,42.37
Residues,28153,4711,50.17,40.21
Residues,1011,20260,50.20,47.05
Residues,22125,1186,50.20,45.64
Wastes,5073,244,50.20,0.42
Wastes,39025,6544,50.21,13.7
Residues,55085,3936,50.21,38.05
Residues,45063,15516,50.24,38.08
Residues,13077,5120,50.26,44.68
Coppice wood,18167,66559,50.26,10.26
Residues,45075,3129,50.27,40.4
Residues,27003,920,50.27,28.06
Coppice wood,51125,49587,50.33,3.72
Residues,21227,1485,50.33,47.78
Wastes,34017,21576,50.35,15.14
Residues,37097,715,50.37,43.83
Coppice wood,18137,85754,50.41,13.18
Residues,21081,1646,50.43,42.96
Wastes,36085,15470,50.43,17.24
Wastes,6001,51120,50.44,17.27
Residues,1077,756,50.49,38.24
Residues,47169,285,50.49,42
Residues,27003,4105,50.49,28.06
Residues,45061,3414,50.49,42.05
Residues,51800,3175,50.51,41.84
Residues,13019,6257,50.52,47.22
Residues,13077,5183,50.56,44.68
Wastes,55041,302,50.56,18.23
