feedstock,truck_capacity,unit_numerator,unit_denominator
corn stover,17.28,dry short ton,trip
wheat straw,17.28,dry short ton,trip
switchgrass,17.28,dry short ton,trip
miscanthus,17.28,dry short ton,trip
corn grain,17.28,dry short ton,trip
wheat,17.28,dry short ton,trip
soybeans,17.28,dry short ton,trip
sorghum stubble,21.1,dry short ton,trip
forest residues,16.68,dry short ton,trip
forest whole tree,16.68,dry short ton,trip
