from_fips,to_fips
01001,01073
01003,01099
01005,01067
01007,01073
01009,01073
01011,01067
01013,01099
01015,13115
01017,13063
01019,01071
01021,01073
01023,01099
01025,01099
01027,01073
01029,13115
01031,01067
01033,47039
01035,01099
01037,01073
01039,01099
01041,01067
01043,01083
01045,01067
01047,01099
01049,13115
01051,01073
01053,01099
01055,13115
01057,01065
01059,01083
01061,01067
01063,01065
01065,01065
01067,01067
01069,01067
01071,01071
01073,01073
01075,01065
01077,47039
01079,01073
01081,01067
01083,01083
01085,01099
01087,01067
01089,01071
01091,01099
01093,01083
01095,01071
01097,01099
01099,01099
01101,01067
01103,01083
01105,01073
01107,01065
01109,01067
01111,13115
01113,01067
01115,01073
01117,01065
01119,01065
01121,01073
01123,13115
01125,01065
01127,01065
01129,01099
01131,01065
01133,01073
04001,06065
04003,06065
04005,08031
04007,04013
04009,06037
04011,06059
04012,04013
04013,04013
04015,32003
04017,08031
04019,04013
04021,04013
04023,06071
04025,04013
04027,04013
05001,05107
05003,05003
05005,05063
05007,17119
05009,29007
05011,05003
05013,05003
05015,13115
05017,28151
05019,29007
05021,01067
05023,05063
05025,05041
05027,48251
05029,01099
05031,05063
05033,13115
05035,47157
05037,47157
05039,05003
05041,05041
05043,05041
05045,05063
05047,29021
05049,05063
05051,47039
05053,05003
05055,05063
05057,48037
05059,48291
05061,48037
05063,05063
05065,05063
05067,05063
05069,05041
05071,22089
05073,48037
05075,05063
05077,05107
05079,05107
05081,48037
05083,48279
05085,05063
05087,48201
05089,48291
05091,48037
05093,47157
05095,05041
05097,17075
05099,47037
05101,40013
05103,05003
05105,48439
05107,05107
05109,48037
05111,05063
05113,48037
05115,29095
05117,05063
05119,05063
05121,05063
05123,05107
05125,18065
05127,08063
05129,27063
05131,22043
05133,48037
05135,05063
05137,05063
05139,05003
05141,05063
05143,47037
05145,05063
05147,05063
05149,29021
06001,06001
06003,06059
06005,06077
06007,06037
06009,06077
06011,06095
06013,06095
06015,06029
06017,06077
06019,06019
06021,16075
06023,06071
06025,06065
06027,32003
06029,06029
06031,06029
06033,06095
06035,06037
06037,06037
06039,06039
06041,06095
06043,06039
06045,06059
06047,06077
06049,16075
06051,06039
06053,06037
06055,06095
06057,06029
06059,06059
06061,06077
06063,06059
06065,06065
06067,06077
06069,06019
06071,06071
06073,06059
06075,06001
06077,06077
06079,06029
06081,06001
06083,06029
06085,06001
06087,06001
06089,53027
06091,16075
06093,06077
06095,06095
06097,06001
06099,06077
06101,06077
06103,06001
06105,06019
06107,06039
06109,06039
06111,06037
06113,06001
06115,53043
08001,08031
08003,08031
08005,08031
08007,08063
08009,40139
08011,08031
08013,08031
08014,08031
08015,08063
08017,08063
08019,08031
08021,35009
08023,04013
08025,29217
08027,35009
08029,08063
08031,08031
08033,35009
08035,08031
08037,04013
08039,08031
08041,08031
08043,20111
08045,16075
08047,08031
08049,08031
08051,08063
08053,35009
08055,08031
08057,35009
08059,08031
08061,08063
08063,08063
08065,35009
08067,48279
08069,08031
08071,48279
08073,19193
08075,31157
08077,32003
08079,35009
08081,16075
08083,08031
08085,32003
08087,08031
08089,08063
08091,48279
08093,08031
08095,08031
08097,35009
08099,19193
08101,40143
08103,16075
08105,08063
08107,35009
08109,48441
08111,40139
08113,48279
08115,27063
08117,08031
08119,08031
08121,08063
08123,08031
08125,08063
09001,34017
09003,25003
09005,25003
09007,25009
09009,25003
09011,25003
09013,25003
09015,25017
