feedstock,state_fips,activity,equipment_name,equipment_horsepower,irrigation_water_source,acreage_fraction,resource,rate,unit_numerator,unit_denominator
corn grain,01,irrigation,irrigation gasoline,40.98613393,wells,0,time,7.193178808,hours,acre
corn grain,01,irrigation,irrigation diesel,57.18995432,wells,0.245633054,time,7.193178808,hours,acre
corn grain,01,irrigation,irrigation lpg,40.98613393,wells,0,time,7.193178808,hours,acre
corn grain,01,irrigation,irrigation natgas,40.98613393,wells,0.001036943,time,7.193178808,hours,acre
corn grain,01,irrigation,irrigation electricity,37.8333544,wells,0.244869487,time,7.193178808,hours,acre
corn grain,02,irrigation,,,wells,,time,,hours,acre
corn grain,04,irrigation,irrigation gasoline,144.3253154,wells,0.082105531,time,21.51566257,hours,acre
corn grain,04,irrigation,irrigation diesel,201.384161,wells,0.023406401,time,21.51566257,hours,acre
corn grain,04,irrigation,irrigation lpg,144.3253154,wells,0.082105531,time,21.51566257,hours,acre
corn grain,04,irrigation,irrigation natgas,144.3253154,wells,0.026553628,time,21.51566257,hours,acre
corn grain,04,irrigation,irrigation electricity,133.223368,wells,0.340777427,time,21.51566257,hours,acre
corn grain,05,irrigation,irrigation gasoline,134.4451448,wells,0.006992274,time,4.784889868,hours,acre
corn grain,05,irrigation,irrigation diesel,187.5978764,wells,0.440627678,time,4.784889868,hours,acre
corn grain,05,irrigation,irrigation lpg,134.4451448,wells,0.007826031,time,4.784889868,hours,acre
corn grain,05,irrigation,irrigation natgas,134.4451448,wells,0.015686025,time,4.784889868,hours,acre
corn grain,05,irrigation,irrigation electricity,124.1032106,wells,0.388798533,time,4.784889868,hours,acre
corn grain,06,irrigation,irrigation gasoline,103.5167078,wells,2.15149E-06,time,21.56366912,hours,acre
corn grain,06,irrigation,irrigation diesel,144.4419179,wells,0.072430139,time,21.56366912,hours,acre
corn grain,06,irrigation,irrigation lpg,103.5167078,wells,0.003564486,time,21.56366912,hours,acre
corn grain,06,irrigation,irrigation natgas,103.5167078,wells,0.003437548,time,21.56366912,hours,acre
corn grain,06,irrigation,irrigation electricity,95.55388414,wells,0.466821225,time,21.56366912,hours,acre
corn grain,08,irrigation,irrigation gasoline,106.8125701,wells,0.365842074,time,10.51132258,hours,acre
corn grain,08,irrigation,irrigation diesel,149.0407956,wells,0.01231932,time,10.51132258,hours,acre
corn grain,08,irrigation,irrigation lpg,106.8125701,wells,0,time,10.51132258,hours,acre
corn grain,08,irrigation,irrigation natgas,106.8125701,wells,0.029055532,time,10.51132258,hours,acre
corn grain,08,irrigation,irrigation electricity,98.5962186,wells,0.394785029,time,10.51132258,hours,acre
corn grain,09,irrigation,,,wells,,time,,hours,acre
