feedstock,resource,resource_subtype,distribution
corn grain,nitrogen,anhydrous ammonia,0.3404
corn grain,nitrogen,ammonium nitrate,0.0247
corn grain,nitrogen,ammonium sulfate,0.0179
corn grain,nitrogen,urea,0.2542
corn grain,nitrogen,nitrogen solutions,0.3528
corn stover,nitrogen,anhydrous ammonia,0.3404
corn stover,nitrogen,ammonium nitrate,0.0247
corn stover,nitrogen,ammonium sulfate,0.0179
corn stover,nitrogen,urea,0.2542
corn stover,nitrogen,nitrogen solutions,0.3528
wheat straw,nitrogen,anhydrous ammonia,0.3404
wheat straw,nitrogen,ammonium nitrate,0.0247
wheat straw,nitrogen,ammonium sulfate,0.0179
wheat straw,nitrogen,urea,0.2542
wheat straw,nitrogen,nitrogen solutions,0.3528
switchgrass,nitrogen,anhydrous ammonia,0
switchgrass,nitrogen,ammonium nitrate,0
switchgrass,nitrogen,ammonium sulfate,0
switchgrass,nitrogen,urea,0
switchgrass,nitrogen,nitrogen solutions,1
sorghum stubble,nitrogen,anhydrous ammonia,0.3404
sorghum stubble,nitrogen,ammonium nitrate,0.0247
sorghum stubble,nitrogen,ammonium sulfate,0.0179
sorghum stubble,nitrogen,urea,0.2542
sorghum stubble,nitrogen,nitrogen solutions,0.3528
miscanthus,nitrogen,anhydrous ammonia,0
miscanthus,nitrogen,ammonium nitrate,0
miscanthus,nitrogen,ammonium sulfate,0
miscanthus,nitrogen,urea,0
miscanthus,nitrogen,nitrogen solutions,1
forest residue,nitrogen,anhydrous ammonia,0
forest residue,nitrogen,ammonium nitrate,0
forest residue,nitrogen,ammonium sulfate,0
forest residue,nitrogen,urea,0
forest residue,nitrogen,nitrogen solutions,1
forest whole tree,nitrogen,anhydrous ammonia,0
forest whole tree,nitrogen,ammonium nitrate,0
forest whole tree,nitrogen,ammonium sulfate,0
forest whole tree,nitrogen,urea,0
forest whole tree,nitrogen,nitrogen solutions,1
barley,herbicide,generic herbicide,1
corn grain,herbicide,generic herbicide,1
cotton,herbicide,generic herbicide,1
hay,herbicide,generic herbicide,1
oat,herbicide,generic herbicide,1
rice,herbicide,generic herbicide,1
sorghum,herbicide,generic herbicide,1
soybean,herbicide,generic herbicide,1
wheat,herbicide,generic herbicide,1
biomass sorghum,herbicide,generic herbicide,1
energy cane,herbicide,generic herbicide,1
eucalyptus,herbicide,generic herbicide,1
loblolly pine,herbicide,generic herbicide,1
miscanthus,herbicide,generic herbicide,1
poplar,herbicide,generic herbicide,1
switchgrass,herbicide,generic herbicide,1
willow,herbicide,generic herbicide,1
forest whole tree,herbicide,generic herbicide,1
barley,insecticide,generic insecticide,1
corn grain,insecticide,generic insecticide,1
cotton,insecticide,generic insecticide,1
hay,insecticide,generic insecticide,1
oat,insecticide,generic insecticide,1
rice,insecticide,generic insecticide,1
sorghum,insecticide,generic insecticide,1
soybean,insecticide,generic insecticide,1
wheat,insecticide,generic insecticide,1
poplar,insecticide,generic insecticide,1
