fips,polyfrr
1001,3
1003,3
1005,3
1007,3
1009,5
1011,3
1013,3
1015,5
1017,3
1019,5
1021,3
1023,3
1025,3
1027,3
1029,5
1031,3
1033,5
1035,3
1037,3
1039,3
1041,3
1043,5
1045,3
1047,3
1049,5
1051,3
1053,3
1055,5
1057,3
1059,5
1061,3
1063,3
1065,3
1067,3
1069,3
1071,5
1073,3
1075,3
1077,5
1079,5
1081,3
1083,5
1085,3
1087,3
1089,5
1091,3
1093,5
1095,5
1097,3
1099,3
1101,3
1103,5
1105,3
1107,3
1109,3
1111,3
1113,3
1115,5
1117,3
1119,3
1121,3
1123,3
1125,3
1127,3
1129,3
1131,3
1133,5
4001,11
4003,11
4005,11
4007,11
4009,11
4011,11
4012,11
4013,11
4015,11
4017,11
4019,11
4021,11
4023,11
4025,11
4027,11
5001,6
5003,6
5005,5
5007,5
5009,5
5011,4
5013,4
5015,5
5017,6
5019,4
5021,5
5023,5
5025,4
5027,4
5029,5
5031,5
5033,5
5035,6
5037,6
5039,4
5041,6
5043,6
5045,5
5047,5
5049,5
5051,5
5053,5
5055,5
5057,5
5059,5
5061,5
5063,5
5065,5
5067,5
5069,6
5071,5
5073,5
5075,5
5077,6
5079,6
5081,5
5083,5
5085,6
5087,5
5089,5
5091,5
5093,5
5095,6
5097,5
5099,4
5101,5
5103,4
5105,5
5107,6
5109,5
5111,5
5113,5
5115,5
5117,6
5119,5
5121,5
5123,6
5125,5
5127,5
5129,5
5131,5
5133,5
5135,5
5137,5
5139,4
5141,5
5143,5
5145,5
5147,6
5149,5
6001,11
6003,10
6005,10
6007,11
6009,10
6011,11
6013,11
6015,10
6017,10
6019,11
6021,11
6023,10
6025,11
6027,10
6029,11
6031,11
6033,11
6035,10
6037,11
6039,11
6041,11
6043,10
6045,10
6047,11
6049,10
6051,10
6053,11
6055,11
6057,10
6059,11
6061,10
6063,10
6065,11
6067,11
6069,11
6071,11
6073,11
6075,11
6077,11
6079,11
6081,11
6083,11
6085,11
6087,11
6089,10
6091,10
6093,10
6095,11
6097,11
6099,11
6101,11
6103,11
6105,10
6107,11
6109,10
6111,11
6113,11
6115,11
8001,8
8003,10
8005,8
8007,10
8009,8
8011,8
8013,9
8014,9
8015,10
8017,8
8019,10
8021,10
8023,10
8025,8
8027,8
8029,10
8031,8
8033,10
8035,8
8037,10
8039,8
8041,8
8043,8
8045,10
8047,10
8049,10
8051,10
8053,10
8055,8
8057,10
8059,9
8061,8
8063,8
8065,10
8067,10
8069,9
8071,8
8073,8
8075,9
8077,10
8079,10
8081,10
8083,10
8085,10
8087,9
8089,8
8091,10
8093,10
8095,8
8097,10
8099,8
8101,8
8103,10
8105,10
8107,10
8109,10
8111,10
8113,10
8115,9
8117,10
8119,10
8121,8
8123,9
8125,8
9001,1
9003,1
9005,1
9007,1
