feedstock,tillage_type,region_production,region_destination,equipment_group,feedstock_measure,feedstock_amount,unit_numerator,unit_denominator
forest residues,no tillage,05047,29021,south,harvested,3314.2,dry short ton,
forest residues,no tillage,05055,05063,south,harvested,894.8,dry short ton,
forest residues,no tillage,05049,05063,south,harvested,6007.8,dry short ton,
forest residues,no tillage,05053,05003,south,harvested,7842.1,dry short ton,
forest residues,no tillage,05061,48037,south,harvested,3021.6,dry short ton,
forest residues,no tillage,05057,48037,south,harvested,4165.9,dry short ton,
forest residues,no tillage,05051,47039,south,harvested,5594.2,dry short ton,
forest residues,no tillage,05067,05063,south,harvested,366.9,dry short ton,
forest residues,no tillage,05069,05041,south,harvested,1814.5,dry short ton,
forest residues,no tillage,05059,48291,south,harvested,3906.7,dry short ton,
forest residues,no tillage,05075,05063,south,harvested,1378.9,dry short ton,
forest residues,no tillage,05077,05107,south,harvested,415,dry short ton,
forest residues,no tillage,05071,22089,south,harvested,2851.5,dry short ton,
forest residues,no tillage,05073,48037,south,harvested,1334.3,dry short ton,
forest residues,no tillage,05081,48037,south,harvested,3554.9,dry short ton,
forest residues,no tillage,05063,05063,south,harvested,3089,dry short ton,
forest residues,no tillage,05079,05107,south,harvested,1721.4,dry short ton,
forest residues,no tillage,05087,48201,south,harvested,4211.7,dry short ton,
forest residues,no tillage,05089,48291,south,harvested,5724.1,dry short ton,
forest residues,no tillage,05091,48037,south,harvested,948.9,dry short ton,
forest residues,no tillage,05095,05041,south,harvested,217.9,dry short ton,
forest residues,no tillage,05097,17075,south,harvested,2308.3,dry short ton,
forest residues,no tillage,05099,47037,south,harvested,4806.9,dry short ton,
forest residues,no tillage,05101,40013,south,harvested,2012.9,dry short ton,
forest residues,no tillage,05103,05003,south,harvested,5242.2,dry short ton,
forest residues,no tillage,05083,48279,south,harvested,5779.2,dry short ton,
forest residues,no tillage,05065,05063,south,harvested,6961,dry short ton,
forest residues,no tillage,05111,05063,south,harvested,785.6,dry short ton,
forest residues,no tillage,05113,48037,south,harvested,7294,dry short ton,
forest residues,no tillage,05115,29095,south,harvested,4898,dry short ton,
forest residues,no tillage,05119,05063,south,harvested,3224.8,dry short ton,
forest residues,no tillage,05121,05063,south,harvested,3331.4,dry short ton,
forest residues,no tillage,05125,18065,south,harvested,5080.1,dry short ton,
forest residues,no tillage,05127,08063,south,harvested,6122.2,dry short ton,
forest residues,no tillage,05085,05063,south,harvested,366.2,dry short ton,
forest residues,no tillage,05133,48037,south,harvested,2946,dry short ton,
forest residues,no tillage,05135,05063,south,harvested,7918.5,dry short ton,
forest residues,no tillage,05137,05063,south,harvested,6321.4,dry short ton,
forest residues,no tillage,05139,05003,south,harvested,7891.5,dry short ton,
forest residues,no tillage,05141,05063,south,harvested,7373.8,dry short ton,
forest residues,no tillage,05143,47037,south,harvested,4921.4,dry short ton,
forest residues,no tillage,05145,05063,south,harvested,3158.1,dry short ton,
forest residues,no tillage,05147,05063,south,harvested,1002.9,dry short ton,
forest residues,no tillage,05149,29021,south,harvested,6996.7,dry short ton,
forest residues,no tillage,05129,27063,south,harvested,5556.1,dry short ton,
forest residues,no tillage,05131,22043,south,harvested,3253,dry short ton,
forest residues,no tillage,08015,08063,inland west,harvested,1281.8,dry short ton,
forest residues,no tillage,08027,35009,inland west,harvested,246.2,dry short ton,
forest residues,no tillage,08037,04013,inland west,harvested,578.2,dry short ton,
forest residues,no tillage,08043,20111,inland west,harvested,283.6,dry short ton,
forest residues,no tillage,08049,08031,inland west,harvested,1442.2,dry short ton,
forest residues,no tillage,08051,08063,inland west,harvested,2284.1,dry short ton,
forest residues,no tillage,05105,48439,south,harvested,4543.5,dry short ton,
forest residues,no tillage,08013,08031,inland west,harvested,1696.8,dry short ton,
forest residues,no tillage,05045,05063,south,harvested,2169.9,dry short ton,
forest residues,no tillage,18061,05003,north central,harvested,1287.2,dry short ton,
forest residues,no tillage,18071,29217,north central,harvested,1359.9,dry short ton,
forest residues,no tillage,18073,17197,north central,harvested,1125,dry short ton,
forest residues,no tillage,18077,21191,north central,harvested,78.8,dry short ton,
forest residues,no tillage,18085,18085,north central,harvested,50.1,dry short ton,
forest residues,no tillage,18089,17197,north central,harvested,150.5,dry short ton,
forest residues,no tillage,18091,26159,north central,harvested,965.3,dry short ton,
forest residues,no tillage,18093,39139,north central,harvested,572.6,dry short ton,
forest residues,no tillage,18105,05003,north central,harvested,916.7,dry short ton,
forest residues,no tillage,18111,18171,north central,harvested,305.4,dry short ton,
forest residues,no tillage,18117,21059,north central,harvested,494.3,dry short ton,
forest residues,no tillage,18123,21059,north central,harvested,771.6,dry short ton,
forest residues,no tillage,18125,21059,north central,harvested,98.8,dry short ton,
forest residues,no tillage,18127,26099,north central,harvested,439.7,dry short ton,
forest residues,no tillage,18131,18085,north central,harvested,72.8,dry short ton,
forest residues,no tillage,18133,18171,north central,harvested,7.4,dry short ton,
forest residues,no tillage,18149,18085,north central,harvested,793.2,dry short ton,
forest residues,no tillage,18175,17197,north central,harvested,765.8,dry short ton,
forest residues,no tillage,18181,17183,north central,harvested,229.2,dry short ton,
forest residues,no tillage,19005,19061,north central,harvested,119.2,dry short ton,
forest residues,no tillage,19007,19099,north central,harvested,619.8,dry short ton,
forest residues,no tillage,19039,19099,north central,harvested,94.6,dry short ton,
forest residues,no tillage,19047,19161,north central,harvested,727,dry short ton,
forest residues,no tillage,19051,19183,north central,harvested,280.6,dry short ton,
forest residues,no tillage,19053,05003,north central,harvested,1338.3,dry short ton,
forest residues,no tillage,19065,19061,north central,harvested,101.2,dry short ton,
forest residues,no tillage,19067,19033,north central,harvested,685.7,dry short ton,
forest residues,no tillage,19069,19083,north central,harvested,239.9,dry short ton,
forest residues,no tillage,19085,19161,north central,harvested,248.3,dry short ton,
forest residues,no tillage,05109,48037,south,harvested,5364,dry short ton,
forest residues,no tillage,19103,19183,north central,harvested,136.2,dry short ton,
forest residues,no tillage,19117,19099,north central,harvested,520.8,dry short ton,
forest residues,no tillage,19121,19099,north central,harvested,213.2,dry short ton,
forest residues,no tillage,19123,19099,north central,harvested,478.8,dry short ton,
forest residues,no tillage,19125,19099,north central,harvested,169.8,dry short ton,
forest residues,no tillage,19127,19099,north central,harvested,440.3,dry short ton,
forest residues,no tillage,19131,27047,north central,harvested,97.4,dry short ton,
forest residues,no tillage,19133,19193,north central,harvested,192.5,dry short ton,
forest residues,no tillage,19135,19099,north central,harvested,251.4,dry short ton,
forest residues,no tillage,19153,19083,north central,harvested,678.7,dry short ton,
forest residues,no tillage,19159,08063,north central,harvested,510.8,dry short ton,
forest residues,no tillage,19161,19161,north central,harvested,34,dry short ton,
forest residues,no tillage,19165,19027,north central,harvested,128.3,dry short ton,
forest residues,no tillage,19169,19083,north central,harvested,138.7,dry short ton,
forest residues,no tillage,19181,19099,north central,harvested,550.4,dry short ton,
forest residues,no tillage,19185,19099,north central,harvested,73.2,dry short ton,
forest residues,no tillage,19191,19061,north central,harvested,404.9,dry short ton,
forest residues,no tillage,20001,20111,north central,harvested,34.5,dry short ton,
forest residues,no tillage,20011,29217,north central,harvested,91.4,dry short ton,
forest residues,no tillage,20015,20111,north central,harvested,6.7,dry short ton,
forest residues,no tillage,20021,29217,north central,harvested,630.8,dry short ton,
forest residues,no tillage,20035,19099,north central,harvested,48.6,dry short ton,
forest residues,no tillage,20037,29217,north central,harvested,53.9,dry short ton,
forest residues,no tillage,20045,29021,north central,harvested,299.9,dry short ton,
forest residues,no tillage,20049,20111,north central,harvested,14,dry short ton,
forest residues,no tillage,20057,19033,north central,harvested,226.8,dry short ton,
forest residues,no tillage,20061,20111,north central,harvested,165.4,dry short ton,
forest residues,no tillage,20073,20111,north central,harvested,1211.6,dry short ton,
forest residues,no tillage,20075,19193,north central,harvested,81.7,dry short ton,
forest residues,no tillage,20089,48279,north central,harvested,171.1,dry short ton,
forest residues,no tillage,19087,19183,north central,harvested,119.7,dry short ton,
forest residues,no tillage,19097,19061,north central,harvested,110.2,dry short ton,
forest residues,no tillage,01001,01073,south,harvested,3909.8,dry short ton,
forest residues,no tillage,01003,01099,south,harvested,15935.1,dry short ton,
